,Name,Review Rate,Review Time,Review Text
0,La Boutique del Caffe Torrefazione, 5 stars ,3 months ago,A nice cafe run by Italians. Their coffee menu is very detailed in coffee bean origin and taste. They also offer a range of hot meals.
1,La Boutique del Caffe Torrefazione, 3 stars ,4 months ago,"Comparing to Italian restaurants it's pretty low quality.
Coffee is sour. Cannoli ( Italian dessert ) is empty inside also way to sweet and price went up from €4 to €5 definitely not worth."
2,La Boutique del Caffe Torrefazione, 5 stars ,4 months ago,"An absolutely amazing Cafe! Great coffee, pastries, and panini! The atmosphere is casual yet fun and still quiet enough to sit down and study, couldn't recommend enough :)"
3,La Boutique del Caffe Torrefazione, 5 stars ,5 months ago,Very nice place for breakfast or brunch. Seems like maybe the owners are Italian. Coffee is amazing! Roma blend was terrific and I have enjoyed my food and service too. Recommend!
4,La Boutique del Caffe Torrefazione, 5 stars ,7 months ago,"Great coffee, wide variety choice. Amazing cannolo"
5,La Boutique del Caffe Torrefazione, 5 stars ,4 months ago,perfect coffee and sweets. didn’t find this in any of the best of lists in amsterdam even though they beat every third wave coffee joint in town. highly recommended to everybody and a must-visit for coffee enthusiasts
6,La Boutique del Caffe Torrefazione, 4 stars ,3 years ago,"Food and coffee are delicious but the chairs are pretty uncomfortable and the environment is not that cozy. The cat is cute, but was jumping on the tables to drink from water glasses from patrons who had left. This is pretty unsanitary—particularly for pregnant women."
7,La Boutique del Caffe Torrefazione, 4 stars ,4 years ago,"Real Italians making your coffee! Great taste and different selection of coffee beans, also some typical Northern Italian lunch choices (variations with bread). No queue compared to their neighbors."
8,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"I bring anyone who visits me here.

Cozy space, good coffee, solid food, and a cute and chubby cafe cat. The staff …"
9,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"The Chemex coffeemaker in the shop-window already made it for me when passing by, so we stopped and had an amazing breakfast there.
Run by an italian family and a cat who occupied the cosiest spot during our …"
10,La Boutique del Caffe Torrefazione, 4 stars ,3 months ago,"Nice selection of specialty coffee.
Vegan milk options and home made pastries."
11,La Boutique del Caffe Torrefazione, 5 stars ,4 months ago,"Great coffee, delicious biscuits and friendly staff ! 100% would return when i come back to amsterdam !"
12,La Boutique del Caffe Torrefazione, 5 stars ,4 years ago,Quality coffee place! Super friendly bartenders and a cook making meal with love and attention :) everyone is welcome to pet the cat :P
13,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"Cozy place. Great staff. Beautiful cat :)
We ordered breakfast. It included smoothy, orange juice, coffee, croissant with jam/nutella, eggs with pieces of hamon, cheese and toasts, yogurt with granola.. So everything was great and fast! I want visit this place in my next journey to Amsterdam."
14,La Boutique del Caffe Torrefazione, 5 stars ,2 months ago,Awesome Italian style coffee to drink paired with delicious biscuits and tarts
15,La Boutique del Caffe Torrefazione, 5 stars ,a year ago,Lovely place with a nice atmosphere and friendly Italian owner. There’s a good variety of coffee and gluten free and vegan delicacies.  Lots of funny decor as well. The place also adapted to COVID-19 well. 10/10 would recommend.
16,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"One of the best coffee in Amsterdam. They used the SANEREMO coffee machine, which is one of the best machines. Also, they sell some Italian snack, beverage, olives oil and cheese."
17,La Boutique del Caffe Torrefazione, 5 stars ,7 months ago,Great coffee and tasty chocolate croissant. I especially liked the feeling of a local neighborhood cafe with very friendly environment
18,La Boutique del Caffe Torrefazione, 3 stars ,4 months ago,"It's okay. Better to go there, when it's not overcrowded. Don't order omelette. It's small and on a bread."
19,La Boutique del Caffe Torrefazione, 5 stars ,7 months ago,Great place! The coffee is exquisite and the staff is very friendly and helpful. Thank you.
20,La Boutique del Caffe Torrefazione, 5 stars ,4 months ago,"Nice place with friendly staff, excellent paninis and tasty coffee!"
21,La Boutique del Caffe Torrefazione, 5 stars ,8 months ago,A cozy Italian Cafe close to Market and the museum. The coffee and snacks were fresh and delicious 😋.  The service was impeccable 👌.  Definitely will be returning soon again.
22,La Boutique del Caffe Torrefazione, 4 stars ,a year ago,"Different selection of special coffee beans from all over the world. italian vibe of the personnel, you are transported in Italy as soon as you enter. Gluten free cake available"
23,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"After 4 years of living in Amsterdam, trying more than 50 places all over town, this is one of the best places to get high quality coffee. Period."
24,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"We will be back. Lovely welcoming atmosphere, friendly Italian staff. Extensive coffee menu. I chose a Mexican bean, espresso macchiato. It was divine, as was the lemon and almond cake. My daughter was equally impressed with her choices. …"
25,La Boutique del Caffe Torrefazione, 5 stars ,a year ago,"Always a fan of this place — the coffee, atmosphere, and lovely staff."
26,La Boutique del Caffe Torrefazione, 5 stars ,8 months ago,"Amazing coffee, great dulce, also arancini, this place has everything.
The staff is also really nice"
27,La Boutique del Caffe Torrefazione, 3 stars ,2 years ago,"When looking for a good coffee in the area, this is my preferred place to go. They make a strong coffee, with the exact decent amount of foam when ordering a cappuccino, which are also extremely reasonably priced. The place might smell a …"
28,La Boutique del Caffe Torrefazione, 5 stars ,a year ago,Amazing coffee... Super friendly staff :)
29,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"Exquisite Italian coffee, friendly staff and a very cute cat!"
30,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"Amazing coffee! Found it on the way to Starbucks because in Amsterdam the coffee was very bad generally and expensive. This coffee shop is amazing, authentic small batch roasting, coffee from all around the world! The barista knows how to …"
31,La Boutique del Caffe Torrefazione, 4 stars ,4 years ago,Great food and a friendly cat to keep you company.
32,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"Wonderful coffee and had truly the best sandwich I’ve ever had in my life here. Focaccia with buffalo mozzarella, truffle, prosciutto and arugula. Would highly recommend coming here for a nice easy delicious breakfast!"
33,La Boutique del Caffe Torrefazione, 5 stars ,4 years ago,"Nice cafe, with a really relaxed atmosphere and a very friendly cat. The staff is friendly and welcoming. The coffee is very good, as is their tea. I saw a gluten-free caprese cake on the menu but didn't have time to try it. Will go back for that one, for sure"
34,La Boutique del Caffe Torrefazione, 5 stars ,6 months ago,Perfect coffee and tasty Italian paninis for breakfast or small lunch (vegetarian options too)
35,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"Went to Amsterdam with 5 other friends, found this place on the first day and went everyday after. Coffee is the best we've had with authentic Italian home roasted coffee fresh every day, the food is very nice with amazing bruschetta and very friendly staff. Definitely coming back when visiting again!"
36,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"For a coffee connoisseur is always a pleasure to find a place where coffee is not only high quality but the service is outstanding, Boutique del Caffe is that place, they roast their coffee there and also have a great selection of specialty …"
37,La Boutique del Caffe Torrefazione, 5 stars ,8 months ago,"Lovely Place! Great coffee, fair prices, very nice staff."
38,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"AMAZING breakfasts. And I don’t use that word so often. Perfect coffee, excellent focaccia, toasts and heavenly Italian Cannolis with mascarpone. Best breakfast in A’dam. Seriously...and a very friendly owner. 3rd breakfast in a row"
39,La Boutique del Caffe Torrefazione, 5 stars ,10 months ago,"Coffee is GREAT! Amazing staff and always happy vibes.
Authentic italian"
40,La Boutique del Caffe Torrefazione, 5 stars ,a year ago,"The best Italian coffee in Amsterdam (Italian owner and staff), lots of locals visit this shop. It's a shop but you can drink a cup of coffee here and have breakfast or lunch. …"
41,La Boutique del Caffe Torrefazione, 5 stars ,3 weeks ago,My only stop for coffee in de pijp
42,La Boutique del Caffe Torrefazione, 5 stars ,3 years ago,"What a great place! The coffee was one of the best I've had in Amsterdam, the staff is warm, friendly and welcoming and the food was excellent. Many places in Amsterdam should take note of how they run this place. I hope to come back soon."
43,La Boutique del Caffe Torrefazione, 4 stars ,2 years ago,The best coffee in Ámsterdam and I tried a loooot of coffee places here in town. Feels like you are in Italy for a moment (until you get the bill) …
44,La Boutique del Caffe Torrefazione, 3 stars ,3 years ago,"It’s okay but no highlight. Power breakfast totally overpriced (€16.-) for what you get (mini granola yogurt, mini scrambled eggs and ham and cheese also in dwarf size. It also comes with a croissant with nutella and jam, a very small not …"
45,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,"A wonderful, authentic Italian place run by Italians. Great breakfast, delicious lunch, amazing coffee and friendly and flexible staff. Limited but cozy outdoor seating on a beautiful and calm street."
46,La Boutique del Caffe Torrefazione, 1 star ,4 years ago,"I have been to this place last weekend. When we entered (4 people) we asked the young girl waitress if we can sit on the sofa. She asked how many are we in a very cold way. At the end, even if we were 4, we decided to sit at a table because …"
47,La Boutique del Caffe Torrefazione, 5 stars ,a year ago,"The beat coffe I had in NL, living 3 years here already! Lovely area and friendly service. Sweets were also delicious. Top!"
48,La Boutique del Caffe Torrefazione, 5 stars ,2 years ago,Really amazing cappuccino! Staff is Italian which gives a great atmosphere. Nice coffee bar to go with somebody or to read or work.
