,Name,Review Rate,Review Time,Review Text
0,La Casona, 1 star ,5 months ago,"A joke, takes long, definitely not good service!
The little time I have available for leisure and enjoyment, and they let us wait 30 minutes for drinks and 1 hour for food: there were more people working(4+) …"
1,La Casona, 1 star ,5 months ago,"Came here recently and one of the worst service I’ve had. Came in and sat down for at least 10 min until they notice us and it wasn’t even busy, we sat next to the cash register where the waitress and owner were. It was constant …"
2,La Casona, 5 stars ,3 years ago,"Very nice and cozy place. Everything was perfect, soft atmosphere and food was great, meat was cooked In the way I like (medium rare). There were a pianoforte too! Thanks to the owner, Jolanthe,  I've found the best wine, just to fill me like I drink a good one in Italy. I look Forward to come back to eat here again."
3,La Casona, 5 stars ,2 years ago,"Excellent meal, great service 🙂. Hadn't tried Argentinian before but happy we did. Bottled Argentinian beer hit the spot and the Red was a nice drop too"
4,La Casona, 4 stars ,2 years ago,Amsterdam has an overload of steakhouses labelled Argentinian Steakhouses. We decided to try La Casona due to its atmosphere and offers by the window. …
5,La Casona, 5 stars ,a month ago,👍 the rating should be higher! Lovely grill combo for 2 and house wine 🍇
6,La Casona, 3 stars ,4 months ago,"Another overpriced resturant. Food wasn't bad but not what I would consider good. Service is ridiculously slow, no wonder the place was so empty."
7,La Casona, 5 stars ,2 weeks ago,"Good food, friendly service"
8,La Casona, 5 stars ,4 months ago,"Great Staff, Great Meat, Great wine....if you are looking for a Cozy, Familiar and qualitative Place in Amsterdam...i Will suggest definitely to come here!!! +++++++++++"
9,La Casona, 5 stars ,2 years ago,"Very nice atmosphere, great meat, great wine, between ribeye and entrecôte I recommend the first one. Very friendly and warm treatment."
10,La Casona, 1 star ,2 weeks ago,"Totally to avoid , food quality belove the normal standard"
11,La Casona, 5 stars ,4 months ago,"Very goed I am impressed it was very good service , food , prices were very good it is a very nice restaurant we will be back for sure
From Scotland"
12,La Casona, 5 stars ,5 months ago,"Very nice place, nice interior and good service"
13,La Casona, 4 stars ,5 years ago,"I ordered the ribeye steak and it was delicious. Soft meat. The only thing is that they didn't ask how I liked my meat: rare, medium rare, etc. That was odd for me."
14,La Casona, 5 stars ,2 years ago,Extremely Good! The Bife Ancho was soft and tasty! The service great and I general the restaurant is cozy and lovely!
15,La Casona, 3 stars ,2 years ago,"Good service when there are a few customers. When it became crowded one lady can't manage it all. Good quality bof meat, but my medium was more raw, than wife's medium-well. Fine wine"
16,La Casona, 2 stars ,3 years ago,I was really looking forward to this because we don't have very many Argentine restaurants where I live.   Had I noticed the number of them here. I would have done more research before I tried this one.   We're ordered the meat combination …
17,La Casona, 5 stars ,4 years ago,"Absolutely amazing food! I definitely recommend the sangria. It was light and perfectly fruity, a perfect addition to the meal. Also, you must try the empanadas to start! The filling apparently changes slightly daily, but they were …"
18,La Casona, 1 star ,2 years ago,The zalm was raw and cold. The spare ribs really too small for 21 euros. I asked for sparkling water and I got normal water. The spinach were without any taste. Maybe it was a wrong evening for them but I don't want to try again.
19,La Casona, 1 star ,3 years ago,"Most disappointing meal I ever had. Don't get me wrong, service is great and the place looks great. However, I'd be really hard pressed to call whatever they try to pass for Bife de Chorizo a steak. Thin, cooked in a pan/gril that was to …"
20,La Casona, 5 stars ,5 months ago,"Delicious, really good restaurant."
21,La Casona, 5 stars ,5 months ago,"Carpaccio & ribs 👍👍👍
Staff is friendly & motivated!"
22,La Casona, 2 stars ,7 years ago,"The meat is good, but it's served without any garnish whatsoever. The service will of course recommend ordering it separately, which is of course a sensible thing to do. But it's just their way of hiding how much more expensive a normal …"
23,La Casona, 1 star ,6 years ago,"It is just a trap, dont go: too expensive. I ordered shrimp as apetizer and beef as main dish. They gave me 6 shrimps and cold beef and they charged me 50 euro. If you go to the dustbin of burger king, you will probably find better food."
24,La Casona, 1 star ,6 years ago,"Beef and mais were cold when served! And this is the worst roasted mais ever, it is cold inside and outside is soft! Never in my life ever tried a soft roasted mais. Almost like they just smashed it in microwave and serve it. And mushroom …"
25,La Casona, 5 stars ,3 years ago,Delicious food and great service! We were looking for a nice and cosy restaurant to enjoy dinner and we found the perfect place! We'll definitely come back.
26,La Casona, 4 stars ,4 years ago,"Nice atmosphere. Attentive service. Generous portions of steak. Overall, good value and quality."
27,La Casona, 5 stars ,4 years ago,"Great place! Small and cozy, the personell is friendly and professional, the steaks are just amazing! 10/10"
28,La Casona, 5 stars ,5 years ago,It's amazing place and amazing food and service I was there with my girlfriend two weeks ago and we eat there its really argentinain meat it's really amazing I love this place I'm there week after week advice you all to go there
29,La Casona, 5 stars ,5 years ago,I was there many times with my friends I ate there steak it's amazing steak really Argentina steak the service there are friendly they try to do their best to make us enjoy I advice all of you to go and spend your time there
30,La Casona, 5 stars ,5 months ago,Very good
31,La Casona, 2 stars ,2 years ago,"No real atmosphere, ordered a medium rare steak, served blue with cold midfle"
32,La Casona, 4 stars ,2 years ago,"Good food, nice atmosphere and friendly staff"
33,La Casona, 3 stars ,8 years ago,"great food, fair price, unfortunately the service was disappointing"
34,La Casona, 4 stars ,3 years ago,Friendly restaurant.foos for families
35,La Casona, 5 stars ,5 years ago,Best steak ever!
36,La Casona, 4 stars ,5 years ago,Good meat
37,La Casona, 5 stars ,5 years ago,eats very very very well......wonderful
38,La Casona, 4 stars ,2 years ago,Nice
39,La Casona, 5 stars ,2 years ago,Excellent service
40,La Casona, 5 stars ,5 years ago,Fantastic
41,La Casona, 4 stars ,6 months ago,"(Translated by Google) Spontaneously went out for dinner via social deal. It was a very nice restaurant, cozy decor, very friendly staff. Delicious food. The spare rib was super tender and the ribeye was really good. Delicious chocolate …"
42,La Casona, 4 stars ,2 weeks ago,"(Translated by Google) Meat was very well done, salad was a bit lean, appetizer good. Wine offer with only 3 sorts also lean.
Service was friendly. …"
43,La Casona, 4 stars ,3 months ago,"(Translated by Google) Nice cozy restaurant, nice staff, the food is good but nothing special. …"
44,La Casona, 2 stars ,2 months ago,"(Translated by Google) The restaurant looks nice. Friendly service, but in terms of catering experience, it can still grow. An empty glass regularly and refilling took a while (it was not very busy in the restaurant) …"
45,La Casona, 2 stars ,4 months ago,"(Translated by Google) Booked through Social Deal because of the good reviews but alas. Food was cold, portions were significantly less than the other diners in the restaurant and the prawns were cremated. We had to beg for a drink, even …"
46,La Casona, 5 stars ,4 months ago,"(Translated by Google) Had a 3 course meal here via Groupon. Was very tasty, also the staff was very nice and think along well. I don't eat pork and that was taken into account. Very large portions for little money. It is also not a …"
47,La Casona, 4 stars ,7 months ago,"(Translated by Google) We were helped by a friendly gentleman. The restaurant is attractively decorated. Nice background music.
The platter for 2 people was more than adequate. It's just a pity that it is not …"
48,La Casona, 5 stars ,5 months ago,"(Translated by Google) Delicious food very friendly staff . Tasty desserts

(Original) …"
49,La Casona, 2 stars ,6 months ago,(Translated by Google) Nice restaurant nice staff the meat was good but you get very little we had tenderloin with a little lettuce and tomato 1 bowl of fries for 3 people and dessert 3 scoops of vanilla ice cream with aerosol whipped cream …
50,La Casona, 5 stars ,3 months ago,"(Translated by Google) Nice food, very good taste. Very nice service, good atmosphere, definitely recommended …"
51,La Casona, 5 stars ,5 months ago,(Translated by Google) Delicious eaten! The benieding the food and the decoration everything is top! When we are back in Amsterdam we will definitely come back! Thanks for everything!! …
52,La Casona, 5 stars ,4 months ago,"(Translated by Google) Very cosy, super friendly staff. And the most important supper tasty food. …"
53,La Casona, 5 stars ,4 months ago,"(Translated by Google) Great restaurant, the food is great and so is the service.
Definitely suitable for a romantic evening 👍 …"
54,La Casona, 4 stars ,6 months ago,"(Translated by Google) Were here yesterday with six. Good service, good food and nice restaurant. Only remark is that the desserts are simple and not according to the menu. Otherwise fine and recommended. …"
55,La Casona, 5 stars ,a month ago,"(Translated by Google) Had a wonderful dinner and the staff was super friendly!

(Original) …"
56,La Casona, 5 stars ,a month ago,"(Translated by Google) Cozy tent. Food was very tasty and friendly staff.

(Original) …"
57,La Casona, 5 stars ,7 months ago,"(Translated by Google) Delicious food, it is a cozy and cozy restaurant. The service was very customer friendly and were in for a chat. The fun was definitely there!! …"
58,La Casona, 5 stars ,a month ago,"(Translated by Google) Super food, good wine and a pleasant host.

(Original) …"
59,La Casona, 5 stars ,5 months ago,(Translated by Google) Excellent meat and very kind staff ... and delicious tangerine liqueur! …
60,La Casona, 4 stars ,4 months ago,"(Translated by Google) Delicious eaten! Very hospitable and good atmosphere

(Original) …"
61,La Casona, 4 stars ,6 months ago,(Translated by Google) Highly recommended. Great food topped off with very friendly service. …
62,La Casona, 5 stars ,3 months ago,"(Translated by Google) Very nice little place where you can eat well, very kind staff …"
63,La Casona, 5 stars ,6 months ago,"(Translated by Google) Delicious food, cozy atmosphere and very nice service.

(Original) …"
64,La Casona, 5 stars ,5 months ago,"(Translated by Google) Very fine food, cozy atmosphere and nice staff.

(Original) …"
65,La Casona, 3 stars ,2 years ago,"(Translated by Google) We went to this restaurant as a last resort because we were a group of 8 and everything was booked around.
We were a little disappointed with the whole. First, the food was not great. The …"
66,La Casona, 4 stars ,3 months ago,"(Translated by Google) Beautiful place, friendly service, delicious food

(Original) …"
67,La Casona, 5 stars ,4 years ago,(Translated by Google) Very very good restaurant. Were more than happy with our food. The meat was sensational and fried to the point. The service was very friendly and helpful. …
68,La Casona, 5 stars ,6 months ago,(Translated by Google) Delicious food and very friendly service! Highly recommended :) …
69,La Casona, 2 stars ,2 years ago,"(Translated by Google) It is certain that when one has been in Argentina, one is likely to be very disappointed.
The meat is pretty good. The requested cooking was rather respected. But the …"
70,La Casona, 5 stars ,3 years ago,"(Translated by Google) Excellent meat parillade ...
Slightly high price on desserts …"
71,La Casona, 2 stars ,2 years ago,"(Translated by Google) We requested spa red, got spa blue. The empenada was cold. The fish and meat were not very special and the fries were from the freezer. As a decent restaurant you can no longer arrive with fries that are not fresh. …"
72,La Casona, 2 stars ,2 years ago,(Translated by Google) Eaten today. Osseshaas was good in terms of cuison. Rack of lamb was overdone. No vegetables with the dish. Fries must be ordered separately. Frozen fries. Too badly baked too. Mayonnaise was not a mayonnaise but that …
73,La Casona, 1 star ,5 years ago,"(Translated by Google) The meat is to the point and very good.
The wine also good.
The tomato soup turned out very bold as a bag soup! …"
74,La Casona, 3 stars ,3 years ago,"(Translated by Google) New Year's Eve menu for 2 people. Including the drinks, we were 90 € for 2x sirloin steak + starter. That was definitely too much for the taste on offer. …"
75,La Casona, 5 stars ,3 years ago,"(Translated by Google) Fabulous Argentinean restaurant. The meat is the best in town! Pleasant atmosphere. Friendly staff speaking Russian, Spanish, Dutch and English. At least during our time these languages ​​were spoken. …"
76,La Casona, 5 stars ,5 months ago,"(Translated by Google) Great food and very kind staff

(Original) …"
77,La Casona, 4 stars ,6 years ago,"(Translated by Google) Good Argentinian steak, the boss knows his trade. The side dishes are also well prepared. Large range of wines.
Small restaurant with a pleasant atmosphere, only a few steps away from the …"
78,La Casona, 5 stars ,3 years ago,(Translated by Google) Owner Lithuania very nice service feeling as if you were at home.Superinis food.not wanted to leave.🌝🌚 …
