,Name,Review Rate,Review Time,Review Text
0,La Cubanita, 3 stars ,2 weeks ago,"It's was just ok. Not much flavor, and the meat was dry( Asado). Others in my party said the flavor just wasn't there. I love Cuban food,  but this was $82 for a non enjoyable meal for 3 people. This did include an appetizer.  Wish I could have given a great review"
1,La Cubanita, 1 star ,4 months ago,"I'm sorry. I was so excited to find your place driving around 10/24. Tried to substitute sides from what was there, requested black beans and it seemed like all of 10 mins to tell me you all don't have black beans, which was clearly a side …"
2,La Cubanita, 2 stars ,2 years ago,"Every time I came to eat at this place I was confuse about the amount they was charging, today finally I saw and review the receipt before paying and I noticed that for every thing that we order she added an extra dollar or two. …"
3,La Cubanita, 5 stars ,2 years ago,It feels like home when you walk in. The food is delicious the atmosphere is Cuban. Come to eat here and enjoy athletic Cuban food.
4,La Cubanita, 1 star ,2 months ago,"Bad food , worst service , gratuity is imposed very loud Latin music only for my self I think this place launder money I don’t think is profitable yet remains open"
5,La Cubanita, 1 star ,10 months ago,"I brought a party of 4 on a Sunday afternoon. We ordered empanadas and meals, waited 45 minutes to receive our drinks and empanadas, and was informed over an hour after ordering that the kitchen ran out of bread for our sandwiches. There …"
6,La Cubanita, 5 stars ,6 months ago,Omg the beeeest lemonada eva!!!
7,La Cubanita, 5 stars ,a year ago,Waitress were awesome!  Even though they didn’t speak English very well they were very accommodating because we don’t speak Spanish.  Food was very good!  Will definitely be coming back to try the pizza!
8,La Cubanita, 1 star ,a year ago,I really wish I could give this place zero stars this place is horrible the food was terrible im cuban and this was not cuban food my sandwich that I ordered was missing all the ingredients not to mention food tasted stale and old now to …
9,La Cubanita, 3 stars ,2 years ago,"Very expensive when compared to other Cuban restaurants, but then again that's the only in the Odessa/Midland area. The Sunday I visited they only had one server tending the floor and it was really busy, I ordered and surprisingly the food …"
10,La Cubanita, 5 stars ,2 years ago,This place is SO GOOD! First time having Cuban food and I will definitely be back. We went in an hour before closing and our Food was still fresh. Can’t wait to go back!
11,La Cubanita, 1 star ,3 years ago,"I am born and raised in Cuba, I lived most of my life in Cuba, let's be honest,  this is not authentic cuban food, quality of the food was poor,  over priced,  precooked food. I feel so bad that this place is trying to represent cuban culture. Not recommended at all."
12,La Cubanita, 5 stars ,a year ago,Excellent place The food was delicious and the portions are huge.  The staff made us feel welcome.  Good job La cubanita restaurants
13,La Cubanita, 1 star ,2 years ago,"At least of what I ordered it was salty, burned and expensive no worth the money, stuff not rude but unfriendly for sure, if I would go back to this place NO, if I would recommend it NO, now good luck with your experience... …"
14,La Cubanita, 1 star ,a year ago,"The pork on the cuban sandwich was so tough and stringy, I couldn't eat it. The fries were crispy and the sandwich did have good bread."
15,La Cubanita, 5 stars ,a year ago,"Great place to eat, a little cuba in odessa, the food was excellent, great favor, service was excellent, Excellent place for good lunch or dinner, the place is really nice inside."
16,La Cubanita, 1 star ,2 years ago,"Expensive food and the total was $41, when it got processed in my bank she gave herself a $10 tip! When I had already left her one! I do not recommend, go somewhere else"
17,La Cubanita, 5 stars ,a month ago,Great food and atmosphere.
18,La Cubanita, 5 stars ,11 months ago,"Great place and great service, recommend the ropa vieja main plate or the cuban sandwich."
19,La Cubanita, 5 stars ,3 years ago,"I just walked in and I'm loving this atmosphere, definitely a most visit."
20,La Cubanita, 4 stars ,4 years ago,"La Cubanita was a great place to divulge in some authentic Cuban cuisine. There were many different options offered on the menu from appetizers, to entrees, to drinks and desserts."
21,La Cubanita, 2 stars ,2 years ago,Had the Cuban sandwich and the ham was mostly fat. The pork was over cooked. Definitely not the Cuban sandwich that I’m used to.
22,La Cubanita, 1 star ,2 years ago,Worst customer service and food in town. My first and last time trying Cuban food. No flavor what so ever. Do not go the food taste like disappointment.
23,La Cubanita, 5 stars ,4 years ago,"A great experience, really good quality food, good service, great humility, very Caribbean and the authentic taste of Cuban food, thank you for preserving the roots of that great culinary culture, thank you for your nice attention"
24,La Cubanita, 4 stars ,2 years ago,Very delicious wish there was more lighting. It's a very relaxing environment and it was our first time there.
25,La Cubanita, 5 stars ,a year ago,Well my son made some green enchiladas they were good and hot.
26,La Cubanita, 4 stars ,3 years ago,"The place is nice, cozy and clean but the food I ordered was kind of tasteless, specially the steak a la Uruguaya."
27,La Cubanita, 5 stars ,3 years ago,"Amazing ambiance, service amd friendly people. Its one of the best place to spend some time on a weekend. worth the drive from Kermit !"
28,La Cubanita, 5 stars ,2 years ago,Great food. I gave it 5 stars even though they dont have iced tea.
29,La Cubanita, 1 star ,2 years ago,"It says that it is supposed to be open from 12pm-8pm, I got there at 7pm and the gates are closed and no one is here. 👎👎 …"
30,La Cubanita, 5 stars ,4 years ago,"The best, now be prepare to pay little bit than usual, now I recommend the Cuban sandwich, they served plenty food is really worth the money."
31,La Cubanita, 1 star ,2 years ago,Horrible customer service ! Food was flavorless and saturated in old grease🤢 I will definitely not be back.
32,La Cubanita, 5 stars ,2 years ago,"Definitely,  a place to visit for some good Cuban food!"
33,La Cubanita, 5 stars ,3 years ago,Very clean and good place to eat. I highly recommend
34,La Cubanita, 5 stars ,2 years ago,I like it and for my little one how dosent like spicy was perfect!!
35,La Cubanita, 5 stars ,3 years ago,"a nice afternoon and very good food, I think we will go to Cuba"
36,La Cubanita, 5 stars ,3 years ago,Traditional Cuban food. Delicious. Try the tosrones rellenos.
37,La Cubanita, 2 stars ,11 months ago,"Music too load , its not a barber shop."
38,La Cubanita, 5 stars ,3 years ago,Best cuban food and that's coming from someone  whos cuban
39,La Cubanita, 2 stars ,a year ago,I had been told very well about this place but I think that very little communication failed
40,La Cubanita, 5 stars ,3 years ago,fantastic food and fantastic people the best of around here!
41,La Cubanita, 5 stars ,a year ago,The staff and food were outstanding!!
42,La Cubanita, 5 stars ,3 years ago,Nice quiet ambiance and cuban dishes
