,Name,Review Rate,Review Time,Review Text
0,La Favola, 5 stars ,5 years ago,Great Italian restaurant which is run by mother and her son. The food is of great quality. Be sure to make a reservation because you'll be waiting for a long time if you don't. It takes a bit if time before the food came out but the kitchen …
1,La Favola, 4 stars ,6 years ago,"Exquisite Italian food made by an Italian mom in the kitchen, son serves and when it's quiet plays the piano. He's really good too! No pizza at this place, but that's not a problem at all. Affordable too."
2,La Favola, 1 star ,7 years ago,"Really unimpressed, in fact, quite disgusted with this restaurant. We came upon it by walking past it during the day and fancied Italian for the evening. Not sure what it was going to be like but thought we would give it a go. It was busy …"
3,La Favola, 2 stars ,4 years ago,"Am here now, good food but very bad service. The sides came half way through the main, we our drinks were empty but we were not asked if we want another drink. There are just 4 full tables and the staff are too busy chatting away with customer friends than serving . I would give 4 stars for the food but 0 for service."
4,La Favola, 5 stars ,5 years ago,"By far the best Italian restaurant in Amsterdam. Feels like coming home - Benni is the best host. Good food, amazing housewine (primitivo) and the tortelloni is without a doubt the best - simply delicious."
5,La Favola, 5 stars ,5 years ago,Great food at a very reasonable price. Welcoming staff and quick serving. Will be back if coming to Amsterdam again!
6,La Favola, 5 stars ,4 years ago,Very warm staff and a great and cozy location. Also excellent food and great wine all at a reasonable price.
7,La Favola, 5 stars ,7 years ago,Excellent Italian food and extremely friendly service. The restaurant is very cosy and intimate.
8,La Favola, 5 stars ,4 years ago,"Super friendly and professional service; Romantic, intimate and Cozy. Yummy food.
We will be back !"
9,La Favola, 5 stars ,4 years ago,Interesting and friendly staff and wonderful food.  I'll be going back
10,La Favola, 5 stars ,4 years ago,Exceptional food and wonderful atmosphere.
11,La Favola, 5 stars ,5 years ago,"Great place, great attention, great service... La cuocca e bravissima"
12,La Favola, 4 stars ,5 years ago,Good place to have romantic dinner
13,La Favola, 1 star ,6 years ago,Terrible
14,La Favola, 4 stars ,6 years ago,Good food.
15,La Favola, 5 stars ,5 years ago,(Translated by Google) On Friday 12 August the three of us ate delicious food at La Favola. In recent years I have regularly taken relatives and friends to this restaurant especially for the antipasti that is so varied and rich in flavors. …
16,La Favola, 5 stars ,4 years ago,"(Translated by Google) We have been coming here for years. Delicious food and super nice people in a cozy atmosphere, highly recommended! …"
17,La Favola, 5 stars ,5 years ago,(Translated by Google) Top Italian restaurant both antipasta and monkfish top. Finished off with a delicious cappuccino with beautiful figs. …
18,La Favola, 5 stars ,5 years ago,(Translated by Google) Nice place to sit. Good food with delicious wine! We will definitely be back! …
19,La Favola, 4 stars ,8 years ago,(Translated by Google) Deliciously fresh and pure food prepared with love. Tasty antipasti. Service and service good. …
20,La Favola, 5 stars ,6 years ago,"(Translated by Google) delicious food. great appetizers, tasty sea bass. far too long been here. …"
21,La Favola, 5 stars ,10 years ago,"(Translated by Google) Delicious fresh food, nice service and very good value for money …"
22,La Favola, 5 stars ,4 years ago,(Translated by Google) Top top top! Super service. Good atmosphere and food was good! …
23,La Favola, 5 stars ,4 years ago,"(Translated by Google) And an all-Italian restaurant and cuisine is 10

(Original) …"
24,La Favola, 4 stars ,3 years ago,"(Translated by Google) Good and honest food. Friendly service.

(Original) …"
25,La Favola, 5 stars ,4 years ago,"(Translated by Google) Great food, good atmosphere

(Original)
Heerlijk eten, goede sfeer"
26,La Favola, 5 stars ,4 years ago,
27,La Favola, 5 stars ,5 years ago,
28,La Favola, 4 stars ,6 years ago,
29,La Favola, 4 stars ,4 years ago,
