,Name,Review Rate,Review Time,Review Text
0,La Pampa, 5 stars ,2 years ago,"Four years in a row; still coming back.

Food is good quality and usually pretty quick; staff friendly. …"
1,La Pampa, 5 stars ,3 years ago,"Great place with fast service and delicious meals, for example this grilled chicken was lip-licking. Comfortable too, with friendly staff. Would recommend, and it's really close to the Dam Square."
2,La Pampa, 5 stars ,3 years ago,"Wonderful food at great prices, good service, and a delightful romantic experience. My wife and I enjoyed it immensely in our first visit to Amsterdam and I returned to be even more delighted by the wonderful live music and great view of City center"
3,La Pampa, 3 stars ,2 years ago,"Food tasted good but we ordered two fillet steaks and were clearly not given fillet. The waiter presented us our rump steaks, declaring they were indeed fillet. The meal was rescued by the meat being high quality. Won't be going back in a hurry. £55 for two overcooked rump steaks isn't good value."
4,La Pampa, 5 stars ,3 years ago,Great steaks. Warm welcome. Nice people
5,La Pampa, 5 stars ,3 years ago,"Amazing place. Cheap and delicious food, but the main thing is, this place is very warm. People, live music etc. Amazing staff and good food. There are menus with food combos so you can choose a menu with a lot of food, mostly 17-18 euro …"
6,La Pampa, 5 stars ,4 years ago,So good I ate here three times in a week. Friendly staff and efficient service. The steak is excellent and was perfectly cooked to my liking. I highly recommend their caramel pancakes! …
7,La Pampa, 4 stars ,a year ago,"The food was ok, nothing exceptional but decent. The prices are normal too, according to the location of the restaurant and the average prices in Amsterdam. One of the waiters were a bit rude but altogether it was a positive experience"
8,La Pampa, 3 stars ,2 years ago,"We were there last week. The food was amazing, the waiters perfect, price reasonable but... Suddenly the owner start a fight in the back with his employees and he ruined the moment for my family and myself. That kind of behavior, screaming …"
9,La Pampa, 4 stars ,3 years ago,"The restaurant is really beautiful and cosy. The food is just delicious, I have never eaten such good meat !
I just remove a star because the chips are not craft.
The staff is friendly."
10,La Pampa, 1 star ,4 years ago,"Absolutely not worth the price! Typical tourist trap! Food was just average, proportions were small, service was terrible (yes, waiters were very friendly to welcome us in, but took ages to serve us!). Wasted 2+ hours and almost 60 EUR …"
11,La Pampa, 1 star ,2 years ago,"👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻
The worst restaurant I've ever been in my life!!!
Yesterday at the end of the dinner, me and my friends we saw a rat...yes...A …"
12,La Pampa, 5 stars ,3 years ago,"Being french tourist, I highly recommend this restaurant, the meat is succulent, it melts in your mouth...
The staff is friendly! …"
13,La Pampa, 5 stars ,3 years ago,"It was amazing. Me and my boyfriend had spent the day in Amsterdam, and were really hungry. The Food was amazing, and there was a really cute cat walking around the restaurant. We will definitely come back."
14,La Pampa, 3 stars ,4 years ago,"This was recommended by my date and it was awesome, nice service , nice atmosphere and music, food was yummy, wine was good as well. great after shopping lunch and nice location caught the tram to AMS CS very easily. And love the fact it …"
15,La Pampa, 5 stars ,4 years ago,"The staff was friendly, the food was AWESOME! Had the empinadas and mushrooms, then had the ribeye with mushroom sauce - the steak was cooked perfectly, and it was juicy and delicious. Had a great experience at this restaurant!"
