,Name,Review Rate,Review Time,Review Text
0,La Piazza, 5 stars ,a month ago,"We came for a quick dinner, but La Piazza is surely also suitable for fine dining! Unfortunately we had to leave early because of the restrictions (they were very strict with the rules). Nonetheless overall a fantastic restaurant!"
1,La Piazza, 5 stars ,a month ago,"After a long day it was finally time to wind down and enjoy an Italian dinner. From outside it looks a bit old, but the interior inside is beautiful! The vegetarian lasagna was perfect (just a little bit much for me) and the service was spot on."
2,La Piazza, 5 stars ,2 months ago,"The restaurant was full, but nonetheless we were able to sit within minutes after a waiter (I think his name is Mart) got an extra table and chairs. The atmosphere was great, the service was excellent and the food fantastic. Definitely one of my favorite restaurants in Amsterdam."
3,La Piazza, 5 stars ,2 months ago,"Celebrated my birthday at La Piazza and it didn’t disappoint! We came with a big group and were seated upstairs. Not only did we have a private area, the food was excellent and so was the service!"
4,La Piazza, 5 stars ,2 months ago,"Overall, I had a great experience the restaurant, but what I’ve enjoyed the most is the special taste of the pizza I had. The toppings were nothing out of the ordinary, but the mozzarella cheese is possibly the best one I’ve ever tasted!"
5,La Piazza, 5 stars ,a month ago,Went for a pizza pesto and a glass of the red house wine. Besides the garlic on the pizza (I prefer without but I forgot ask) everything was great! Also the staff was of great help (they helped me with some directions to some sites). Thanks a lot!
6,La Piazza, 5 stars ,2 months ago,"Completely renovated since our last visit! Even though the restaurant became more modern, it didn’t lose its authenticity. Great food and service despite the touristic location."
7,La Piazza, 4 stars ,4 months ago,"It's not easy to find a good Italian restaurant in Amsterdam.

Even if the offer is large, one is often disappointed. …"
8,La Piazza, 4 stars ,3 weeks ago,"Really good restaurant for Italian food. Cozy place right at ""De dam"". Waiter was really friendly and kind and overall wasn't too pricey (:"
9,La Piazza, 5 stars ,3 weeks ago,"I was in here the other day. It was great, we tried the main dishes of Italian cuisine and we liked everything. Many thanks to the team of chefs for the masterpieces !"
10,La Piazza, 5 stars ,a month ago,"Thank you La Piazza for the amazing dinner! The garlic bread was delicious, the gnocchi gorgonzola even better. Fast service and very reasonable prices."
11,La Piazza, 5 stars ,a month ago,I came here last month the celebrate my job promotion and we all had an amazing evening. Thank you so much for the great food and service. I hope to see you soon.
12,La Piazza, 5 stars ,a month ago,Actually planned to go to a different restaurant but as that placed was temporally closed because of a lack of employees we chose to go to Pizzeria La Piazza. The Penne Arrabbiata was perfectly spiced and with the Parmesan cheese that came …
13,La Piazza, 5 stars ,2 months ago,"Nice, fairly priced cocktails and a classic Italian pizza quattro formaggio. We already had lunch short before unfortunately but we’re definitely coming back to try a pasta and steak dish. Special thanks to Nissim for the great service and the recommendations for things to do in Amsterdam."
14,La Piazza, 5 stars ,2 months ago,"Unlike most restaurants in the area, La Piazza combines good food with fair prices and makes you feel like you are in Rome! The waiters were very patient and polite and the ambiance was amazing."
15,La Piazza, 5 stars ,a month ago,"Perfect place for a tasty and simple dinner. Nothing pretentious, just quality food and decent service. Can definitely recommend!"
16,La Piazza, 5 stars ,3 weeks ago,The warm hospitality of the staff is amazing. I really enjoyed my dinner and the pizza is fantastic. Would visit again for sure!
17,La Piazza, 5 stars ,a month ago,"The restaurant is located in a touristic area, but there’s nothing touristic about it! Had a great pizza napoletana and the house wine is amazing too."
18,La Piazza, 5 stars ,a month ago,"A lot of options, so we all ordered something different and shared. Every dish came out great! Top restaurant."
19,La Piazza, 5 stars ,3 weeks ago,Amazing atmosphere and delicious food. Waiter is a talented amateur singer and entertains clients with his voice during his work <3
20,La Piazza, 5 stars ,a month ago,"Beautiful interior, real Italian vibes and proper food. Nothing pretentious, just what you want when going to an Italian restaurant. Prices were fair considering the location and quality of the food."
21,La Piazza, 5 stars ,2 months ago,"I was reluctant to go as I’m a difficult eater, but the employees were very flexible when it came to dish modifications and very clear about what’s inside every dish! Another big plus is the huge servings of the glasses of wine!"
22,La Piazza, 5 stars ,a month ago,"The food was delicious and the service was wonderful, but what I liked the most is the old photos on the wall of the restaurant and its employees. La Piazza is more than just a restaurant!"
