,Name,Review Rate,Review Time,Review Text
0,La Roca, 5 stars ,10 months ago,"La Roca is a great club! Amazing qualified dedicated coaches. Organized and well managed. Top notch training facility. Some Coaches can be intense but all clubs have those🤦🏼‍♀️ Tyler Hunsaker, Heidi Wheelwright and Tyler Henley have been amazing coaches!"
1,La Roca, 1 star ,7 months ago,Moved to North Salt Lake area and my boys played with team north La Roca for a few months. Maybe people have had a different experience with other La Roca teams and age groups but our experience was negative. Politics and parent coaching …
2,La Roca, 5 stars ,a year ago,Really great fields compared to other Northern Utah  fields we have played on. Short manicured grass and very few divots. We didn't get to experience the indoor field but took a quick peek. Kudos to a high class club and their facilities. Wish we had something similar!
3,La Roca, 1 star ,2 years ago,"In your quest to find a decent soccer development club for your youth, you always hear of the horror stories of politics in youth soccer, but once you actually experience it first hand, (and you will for sure at La Roca), it's actually …"
4,La Roca, 5 stars ,3 years ago,Awesome  Club best in Utah. Both my kids have grown so much playing for La Roca. Adolfo has done a wonderful job over the years growing this club. Also great new facility in South Weber...
5,La Roca, 5 stars ,a year ago,On my 3rd child going through the club. Best club in the state. They truly develop players. There's a reason why they have more teams in the top premiere leagues than any other club by far!
6,La Roca, 5 stars ,5 years ago,La Roca has great ownership with many years of experience. All of the coaches that we have had experiences with have been incredible. Very knowledgeable and passionate for the game of soccer.
7,La Roca, 5 stars ,5 months ago,Awesome facility!
8,La Roca, 4 stars ,a year ago,Nice soccer facility. Three fields. Restroom. No shade. Ample parking.
9,La Roca, 4 stars ,a year ago,"We played on the outside field, pretty clean and nice. The map was a little off though, beware."
10,La Roca, 5 stars ,2 years ago,The best soccer club in the state. You won't find a club in the state with coaches that have as much experience.
11,La Roca, 5 stars ,a year ago,"Nice field. Great indoor sporting facility, clean restrooms"
12,La Roca, 5 stars ,3 years ago,This is such a great facility. Full size outdoor field that you can use outdoor shoes on is pretty amazing.
13,La Roca, 5 stars ,5 months ago,Incredible facility and Incredible club
14,La Roca, 5 stars ,4 years ago,Best coaches and program in Utah. Compare state cup wins and you'll see that it's the truth.
15,La Roca, 4 stars ,2 years ago,Nice indoor soccer facility. Excellent coaches.
16,La Roca, 5 stars ,3 years ago,Great practice place and has a lot of space for kids adults and every possible soccer need.
17,La Roca, 4 stars ,a year ago,Great fields and awesome views.  Sometimes it gets windy
18,La Roca, 5 stars ,a year ago,Nice indoor facilities.  Covid compliant.
19,La Roca, 4 stars ,a year ago,Good facilities.  Need more parking.
20,La Roca, 5 stars ,a year ago,Nice facility and well taken care of
21,La Roca, 5 stars ,a year ago,"Great club, great venue."
22,La Roca, 5 stars ,3 years ago,Best club! Amazing coaches!
23,La Roca, 1 star ,4 years ago,I would never let my child play for Chris Wren
24,La Roca, 5 stars ,9 months ago,Nice facility.
25,La Roca, 4 stars ,9 months ago,Nice facilities
26,La Roca, 5 stars ,2 years ago,GREAT SOCCER CLUB!!
27,La Roca, 5 stars ,4 years ago,Great coaches
28,La Roca, 5 stars ,3 years ago,Nice facility
29,La Roca, 5 stars ,5 months ago,"(Translated by Google) Excellent...

(Original)
Excelente..."
30,La Roca, 3 stars ,11 months ago,"(Translated by Google) Very good

(Original)
Muy bien"
31,La Roca, 5 stars ,7 months ago,"(Translated by Google) Like

(Original)
Como si"
32,La Roca, 5 stars ,2 years ago,
33,La Roca, 5 stars ,2 years ago,
34,La Roca, 5 stars ,4 years ago,
35,La Roca, 5 stars ,a year ago,
36,La Roca, 5 stars ,a year ago,
37,La Roca, 5 stars ,4 years ago,
38,La Roca, 5 stars ,2 years ago,
39,La Roca, 5 stars ,2 years ago,
40,La Roca, 5 stars ,a year ago,
41,La Roca, 1 star ,a year ago,
42,La Roca, 1 star ,5 years ago,
43,La Roca, 5 stars ,2 years ago,
44,La Roca, 3 stars ,a year ago,
45,La Roca, 5 stars ,9 months ago,
46,La Roca, 4 stars ,a year ago,
47,La Roca, 4 stars ,3 weeks ago,
48,La Roca, 5 stars ,4 months ago,
49,La Roca, 3 stars ,10 months ago,
