,Name,Review Rate,Review Time,Review Text
0,Labyrinth Cocktail, 5 stars ,a week ago,Such a warm and lovely place. Great vibe and fantastic cocktails!
1,Labyrinth Cocktail, 5 stars ,3 weeks ago,The best cocktail I've ever had in my life!
2,Labyrinth Cocktail, 5 stars ,4 months ago,"This cozy spot has an truly amazing vibe.  The food was fantastic , I recommend the plantains with the peanut sauce. The cocktails were delicious the staff and the owner are very friendly and accommodating. The live performing artists were …"
3,Labyrinth Cocktail, 5 stars ,a year ago,Incredibly delicious/authentic dinner paired with tempting cocktails 🍸 a truly one of a kind experience in Amsterdam. …
4,Labyrinth Cocktail, 5 stars ,9 months ago,Very nice staff. Amazing drink and food. Nice energy and lots of fun.
5,Labyrinth Cocktail, 5 stars ,4 months ago,"Some of the best cocktails I've had, anywhere.  We ordered 6 different drinks and 5 of them were fantastic - the only disappointing one came from my friend asking for 'extra spicy'. …"
6,Labyrinth Cocktail, 3 stars ,3 months ago,"I know this place have good reviews but we were disappointed. The place definitely needs more staff. We ordered cocktails and when we wanted to order some more food, the owner walked away. The food was tasty though. Be mindful if you are being late 5min you need to call and let them know"
7,Labyrinth Cocktail, 5 stars ,4 months ago,Now this is the kind of place you dont cross very often. The atmosphere is very chill...the food is amazing...the waiters are friendly and attentive....but the owner was the one who made biggest impression. Sam is so dedicated to every …
8,Labyrinth Cocktail, 5 stars ,5 months ago,"The names of the cocktails are a whole experience of their own! Very intriguing and poetic concepts-a lot of creative thought went into the names and descriptions. Then the drinks themselves?? Quite a few levels, way beyond the norm! This …"
9,Labyrinth Cocktail, 5 stars ,2 months ago,Best cocktails in Amsterdam. Staff is so friendly and competent. Thank you so much. :)
10,Labyrinth Cocktail, 4 stars ,3 years ago,"Great cocktail bar, variety of interesting cocktails, friendly people and good service. Definitely worth the try to get the taste of cocktails offered here."
11,Labyrinth Cocktail, 4 stars ,2 years ago,Lovely spot. Went here for an open mic poetry afternoon with a few friends. Excellent mint tea. Very very nice bar.
12,Labyrinth Cocktail, 5 stars ,5 months ago,American style service was top notch. Cocktails were hit or miss but the atmosphere and service was 5 stars.
13,Labyrinth Cocktail, 5 stars ,4 years ago,"nice homemade iced tea with ginger and lemongrass. and amazing Jamaican food on Mondays, really authentic!! it brought me back memories from holidays in Jamaica... they cooked the best rice & peas I've ever had and the saltfish fritters were mind blowing! great concept, my congratulations to the chefs!"
14,Labyrinth Cocktail, 5 stars ,5 years ago,"Owner was lovely, so was the cocktail (White Russian for me) You can tell the place is just opened but it really deserves a chance. Prices are a bit high for cocktails, although I suppose he uses the best liquor and ingredients in everything he makes. Would go again!"
15,Labyrinth Cocktail, 5 stars ,3 weeks ago,The best cocktail I've ever had in my life!
16,Labyrinth Cocktail, 5 stars ,2 years ago,"Came only for drinks without a reservation, we had a seat in the bar immediately even though it was new year's eve. The cocktails were really nice and the service fast. We left very satisfied."
17,Labyrinth Cocktail, 5 stars ,2 months ago,Best cocktails in Amsterdam. Staff is so friendly and competent. Thank you so much. :)
18,Labyrinth Cocktail, 5 stars ,6 months ago,Great place to chill or have a conversation. All the shareable food is above average. Yes I have tried them all over a 3 week period. The special  drinks are decent but make sure the ingredients are ones you like.
19,Labyrinth Cocktail, 5 stars ,2 years ago,"So I went here for an open mic and was blown away by all the talented ppl who showed up. The food is good, drinks are great, staff is super friendly. Definitely worth it if you want to explore Amsterdam. I will be going back!"
20,Labyrinth Cocktail, 5 stars ,6 months ago,"This is a hidden gem.
Amazing place, nice environment and great service. Definitely a must for good cocktails 🍹"
21,Labyrinth Cocktail, 5 stars ,5 months ago,Nice cocktails. Friendly staff. Went there after eating in Blauw
22,Labyrinth Cocktail, 4 stars ,2 years ago,"Creative cocktails, which look stunning! Food is fresh and tasty."
23,Labyrinth Cocktail, 5 stars ,9 months ago,Very nice staff. Excellent cocktails and food. I loved the cosy and suggestive atmosphere and will definitely visit again.
24,Labyrinth Cocktail, 5 stars ,9 months ago,"Nice place for cocktails. Not the usual IBA cocktails, but interesting compositions that seem well thought.
It's worth returning to try a few more."
25,Labyrinth Cocktail, 5 stars ,2 years ago,"Best cocktails of Amsterdam and the only place in the city that serves them for a relatively modest price. The food (Caribbean/West-African) is just jummy, we rarely over eat but we had to keep ordering more. It's not a super chic cocktail …"
26,Labyrinth Cocktail, 5 stars ,a year ago,Really unique spot with great soul food and cocktails to go along with it. The cocktail menu is really funky (which is an excellent thing) - They had one that was literally served out of a box with smoke coming out of it like it was the Undertaker from WWE or something :D
27,Labyrinth Cocktail, 4 stars ,2 years ago,"Great place with African food. Cocktails are great too and the guy behind the bar is from Cameroon I believe. Not keen on the banana dessert though but hey that's me :-) We visited on the night they had poetry on. Not my thing, will go back …"
28,Labyrinth Cocktail, 5 stars ,a year ago,"Usually I'm a boring old fashioned type of guy, but Labyrinth has very innovative and interesting cocktails. Best place to experiment! Love the theme (poetry) nights as well."
29,Labyrinth Cocktail, 5 stars ,2 years ago,Amazing bar with a very strong cultural heritage and the best staff one can experience! Everyone there is friendly and the owner makes the best cocktails in Amsterdam! Good music and great food too! You’ll love it!!!
30,Labyrinth Cocktail, 5 stars ,a year ago,"Me and my boyfriend went to Labryrinth last night to try something new. I am delighted to say it surpassed my expectations. First off, the soul food and drinks were amazing. I am definitly a fan of the Southern fried chicken and cassava! We …"
31,Labyrinth Cocktail, 5 stars ,3 years ago,I was there with 3 friends tonight to have cocktails and we were surprised by what a gem we found by pure chance. Probably the best and most friendly service in Amsterdam. And the cocktails are amazing in names and taste. Next time I might …
32,Labyrinth Cocktail, 5 stars ,a year ago,"Beautiful place, wonderful cocktails (super big variety of tastes and mixes). Food amazing! We had a wonderful night, thank you so much!"
33,Labyrinth Cocktail, 5 stars ,5 months ago,"Super tasty drinks,pleasant sphere, friendly staff"
34,Labyrinth Cocktail, 5 stars ,a year ago,Love this bar. Delicious Carribean snacks with good portion size. Cocktails are fantastic. Def should try the Rusty Bell if you are into whiskey drinks like me
35,Labyrinth Cocktail, 5 stars ,8 months ago,You come for the Jazz and/or the poetry nights... And you stay for the amazing food and the beautiful cocktails. …
36,Labyrinth Cocktail, 5 stars ,5 months ago,Fantastic environment and truly customer-centric atmosphere. Thanks Sam and team for great fun.
37,Labyrinth Cocktail, 5 stars ,9 months ago,"Cocktails are devine. I had a ""Wild Nights"" aaaand a ""Dreamcatcher"". My first drinks after the lockdown. My tastebuds are still dancing with joy."
38,Labyrinth Cocktail, 5 stars ,3 years ago,"We were planning on having an early dinner nearby the park but the place we wanted to go to was closed.
We randomly passed by this place and wanted to give it a try. We were very …"
39,Labyrinth Cocktail, 5 stars ,2 years ago,"I came here because of an article on Travel Noire, it was a great decision! My friend and I went once twice in one week during our trip to the Netherlands. The food is excellent and it’s nice that they have shareable plates. The drinks were …"
40,Labyrinth Cocktail, 5 stars ,a year ago,"Cute little gem in Amsterdam, found it by accident, bartending friendly and professional, cocktails crazy and delicious"
41,Labyrinth Cocktail, 5 stars ,2 years ago,Food was finger licking good. Mocktail was very tasty. Good amount of vegan choices on the menu. We went on a poetry night and the atmosphere was just phenomenal.
42,Labyrinth Cocktail, 5 stars ,3 years ago,"An unpretentious, friendly and uncrowded gem of a cocktail bar hidden away from the bustling center. Drinks are delicious, with great food way beyond your standard bitterballen nonsense you'd expect from a bar - and kitchen is still open at 10pm! Also, poetry evening/open mic on Mondays, great for a relaxed weekday event."
43,Labyrinth Cocktail, 5 stars ,3 years ago,"Best cocktails of Amsterdam!! I have been looking for a decent place for cocktail for ages and theirs are just amazing! The manager is super friendly and passionate about what he does 👌🏽, nibbles are also super tasty, especially those ribs 😍!!"
44,Labyrinth Cocktail, 5 stars ,2 years ago,"This place had amazing cocktails ! I have been Amsterdam a few times so i wanted to venture instead of going to the typical bars in Dam Square. Amazing chef, staff and the manager/bartender was extremely friendly."
45,Labyrinth Cocktail, 5 stars ,7 months ago,Delicious cocktail and tasty food although all the foods are varietions lf standard appetizers
46,Labyrinth Cocktail, 5 stars ,2 years ago,"Super friendly vibe and service. The cocktails are special and very well done!
Monday's poetry open mics and Sunday's jazz sessions are just wonderful!"
47,Labyrinth Cocktail, 5 stars ,2 years ago,"Such an amazing place. Fantastic vibe and service, only to be topped by the cocktails."
48,Labyrinth Cocktail, 5 stars ,2 years ago,"Good food, great cocktails :) and paintings on the walls."
49,Labyrinth Cocktail, 5 stars ,3 years ago,"Without doubt the best cocktail bar in Amsterdam, and also the best I’ve been to in Europe so far! The bartender was an absolute magician when coming up with any cocktail you ask for, and the cocktail tastes simply amazing."
50,Labyrinth Cocktail, 5 stars ,6 months ago,"Fantastic mix of cocktails, service and soul food!"
51,Labyrinth Cocktail, 5 stars ,3 years ago,"Great service, great food and unique drinks, chill atmosphere"
