,Name,Review Rate,Review Time,Review Text
0,Landmarkt Restaurant, 5 stars ,a year ago,"I was very pleased with this restaurant. The chef was very kind and knowledgeable about the celiac diseases, offered to prepare me a gluten free dinner (the octopus) and even showed me how and where it's made. …"
1,Landmarkt Restaurant, 1 star ,4 months ago,"Very poor service.
After working a full day there I can Honestly tell you that better to avoid this location. …"
2,Landmarkt Restaurant, 4 stars ,a month ago,"Nice place, good food and sometimes good service. Free parking."
3,Landmarkt Restaurant, 5 stars ,2 years ago,"Great place to shop and to eat. Very nice, informal and relaxed vibe. Family friendly."
4,Landmarkt Restaurant, 5 stars ,2 years ago,"The restaurant and terrace are totally renewed (I also believe they have a different chef) it looks great and there is now more space. Food and drinks are often local and or bio. It's not pretentious, but they are friendly and serve good food."
5,Landmarkt Restaurant, 4 stars ,7 months ago,"Hidden gem!
Very nice place to make a stop, beautiful garden, friendly staff, good pies!"
6,Landmarkt Restaurant, 5 stars ,2 years ago,"We had a lovely dinner in the renewed restaurant at the backside of the shop, with fine views over the terrace and the playing garden for children. The food was delicious and the staff very helpful. We defenitely come back!"
7,Landmarkt Restaurant, 5 stars ,4 years ago,De Proeverij is the restaurant at the local-produce Landmarkt supermarket. Delicious food and friendly service with good options for vegetarians and various dietary needs and wants. Especially good for kids in good weather with a small playground and some goats to feed.
8,Landmarkt Restaurant, 2 stars ,3 years ago,"I had the Ribeye and it was tender and delicious, the broccolini was also well done though I preferred a bit of the sea salt they had on the table with it. The sweet mash that came on the side I also salted; however, I found a rather large …"
9,Landmarkt Restaurant, 5 stars ,a year ago,Nice place for a lunch or dinner after grocery shopping.
10,Landmarkt Restaurant, 4 stars ,2 years ago,Great selections of food and drinks in the supermarket and restaurant. Lovely terrace. Would be 5 stars if the coffee was up to standards 😊
11,Landmarkt Restaurant, 5 stars ,4 years ago,"Great place for Bio Food. Small restaurant with frequently changing menu. So far, the best cakes I found in Amsterdam."
12,Landmarkt Restaurant, 5 stars ,2 years ago,"Organic food, nice grocery store and also excellent restaurant! Good service! Thank you."
13,Landmarkt Restaurant, 3 stars ,3 years ago,The restaurant and the market are nice but I always have problems with the hours. The hours written here are not the good ones and every time I call they say something different.
14,Landmarkt Restaurant, 5 stars ,a year ago,Unbelievable food. The chefs are artists and the view is amazing!
15,Landmarkt Restaurant, 5 stars ,4 months ago,Beautiful servings.
16,Landmarkt Restaurant, 3 stars ,3 years ago,"The Shopping Area was pretty good,the Food in the Restaurant also,but the Employees needs to lern how to be Flexible"
