,Name,Review Rate,Review Time,Review Text
0,Le Pub, 5 stars ,a month ago,"One of the most important venues for bands and artists in South Wales. Have always felt well looked after and safe here, due in part to their zero tolerance of d***heads. Always doing something good for the wider community and will always be one of my favourite places to play. Plus, their vegan food is top ranking… LOVE"
1,Le Pub, 5 stars ,a month ago,"Absolutely fantastic venue! Superb live acts, excellent drinks selection (including the famous Trevor Nelson - must be sampled!), awesome staff, lovely atmosphere. Fun fact: their hot-dogs made me vegan. In a good way."
2,Le Pub, 5 stars ,3 months ago,"Newport has seen a tough few years for live music venues, (even before C19) Le Pub is helping to keep the bar high, constantly serving high quality food drink and live music."
3,Le Pub, 5 stars ,a month ago,Incredible bar with a great selection of beers and spirits. Super friendly and helpful staff and is one of the very best music venues in the local area.  I’ve had some amazing times and made the greatest memories here and will always recommend Le Pub.
4,Le Pub, 5 stars ,a month ago,"Love this place but can't get there often enough unfortunately.
A great selection of beers from small breweries, fantastic bands and a really friendly, welcoming atmosphere. …"
5,Le Pub, 5 stars ,a month ago,I wish I lived closer so that I could come more often. I'm very grateful to Sam and her team for always making my band feel welcome when we play there. She always tries to make it worth our while despite us being utterly dire and bringing in an average of four extra punters per gig. True community pub.
6,Le Pub, 5 stars ,a month ago,"A unique and welcoming venue with great service and beers. I’m not a vegan, but their food appeals to everyone. Great music venue who are celebrating 30 years of being at the heart of a reviving local music scene. …"
7,Le Pub, 5 stars ,2 months ago,"My favourite place to go in Newport, amazing atmosphere, I feel accepted and comfortable here with a very open environment. Always quick to respond to any questions on social media. Also lush secret cocktail Trevor Nelson :))))) especially love lisha xx"
8,Le Pub, 5 stars ,a month ago,"I’ve experience of Le Pub as a customer, a performer, a promoter and a member of staff, and can honestly hand-on-heart say it’s the most inclusive, fair and welcoming place I’ve ever worked. Sam puts her heart and soul into the place, and I’m so happy to see the place enter it’s 30th year. Long Live Le Pub! ❤️"
9,Le Pub, 5 stars ,a month ago,"Great beer selection and awesome atmosphere. I've only sampled the food a couple of times but it was lovely, even for non-vegans. Always worth a visit."
10,Le Pub, 5 stars ,a month ago,One of the best places to go. Super friendly. Very welcoming. Le pub is for lovers.
11,Le Pub, 5 stars ,5 months ago,"Le Pub is a gem in Newport. The atmosphere is always good, and the selection of food and drinks is generous, with food served until 10PM. It’s rarely too busy to find a seat, and prices are very reasonable. The staff are always friendly and helpful."
12,Le Pub, 5 stars ,a month ago,"Great staff, great selection of drinks. Superb established, live music venue. Staple of Newport."
