,Name,Review Rate,Review Time,Review Text
0,Lellebel, 5 stars ,2 weeks ago,Lellebel is great for trans people to show and improve their stage performance infront of a friendly environment composed of lgbt community but also cis people who enjoys being a friend of us and supports our rightfull cause against social …
1,Lellebel, 4 stars ,3 months ago,Fun place with napkins!  The staff is super friendly and the atmosphere is awesome on Friday. Check it out
2,Lellebel, 5 stars ,5 months ago,"I've never felt more welcome, by staff or patrons. Good folks here."
3,Lellebel, 5 stars ,6 months ago,Hi party peeps i really like your bar Just because you can be who you wanne greetings from me Herald Michel Rijkland xxxjes
4,Lellebel, 5 stars ,2 years ago,Amazing little place with such a lovely guy behind the bar
5,Lellebel, 4 stars ,2 years ago,Great show while we were there. Nice atmosphere.
6,Lellebel, 5 stars ,2 years ago,Cute and friendly staff. Nice atmosphere
7,Lellebel, 5 stars ,a year ago,Currently the space has been taken over by new owners and they're re- Vamping everything should be amazing..
8,Lellebel, 5 stars ,4 years ago,My mates and I Found this place by accident turned out to be one of the best bars we'd been to definitely check it it's great laugh
9,Lellebel, 4 stars ,4 years ago,"Great little place , little being the objective word but generally great experience with friendly people."
10,Lellebel, 5 stars ,4 years ago,"Very friendly staff, fun, laid back atmosphere."
11,Lellebel, 5 stars ,4 years ago,Had a great evening here tonight.  An extremely friendly bar with great staff. We will be back to see Suki and the rest of the staff! 😀
12,Lellebel, 5 stars ,2 years ago,"My favoriete queer bar in Amsterdam, love the Tuesday Karaoke night 🧪🧜‍♂️🌷"
13,Lellebel, 4 stars ,2 years ago,This place is TINY!! I mean so tiny you have to walk across the drag queen stage to get to the pay toilet. Not a fan of that really.  But it’s Europe so... the queens were fun. Drag-bartender was super sweet and fast. I’d give this place 5 …
14,Lellebel, 5 stars ,2 years ago,Amazing drag bar! Fun for the whole family. Lots of character and characters. Love it.
15,Lellebel, 5 stars ,2 years ago,"Fab.
Local dragqueens. Very relaxed and friendly"
16,Lellebel, 1 star ,3 years ago,Super small for a cafe the toilets are really so filthy. Boring music was there on a Wednesday no drag queens.Also is very expensive!!!
17,Lellebel, 5 stars ,4 years ago,Best tiniest drag show bar near Rebrand Square. Amazing! Worths a visit.
18,Lellebel, 5 stars ,4 years ago,Great place to dance and watch a drag show with the best drag queens in town!
19,Lellebel, 5 stars ,3 years ago,We had so much fun it was one big blackout. Something about karaoke?
20,Lellebel, 4 stars ,2 years ago,"It's very cosy... but it could be a bit bigger, I always feel a bit trapped (pun not intended)"
21,Lellebel, 5 stars ,2 years ago,Cozy bar right in heart of Amsterdam. Welcome personal and prices
22,Lellebel, 5 stars ,2 years ago,It was great we went today for the bingo and it was really fun 👍👍👍
23,Lellebel, 4 stars ,4 years ago,Nice music. Cool boys. Looks too small for a big event
24,Lellebel, 5 stars ,3 years ago,"Fun spot, but ridiculously drag show..."
25,Lellebel, 5 stars ,3 years ago,Cosy drag show bar with live music and singers.  Great atmosphere and maxing jazz on the night we visited.
26,Lellebel, 4 stars ,6 years ago,Great little drag bar.  Lots of stuff all over the walls and mellow lighting to add to that certain Amsterdam atmosphere.  It was quiet when we went in so the friendly bar man put whatever music we wanted on the system.  We went for eurovision classics!
27,Lellebel, 5 stars ,4 years ago,It's fun with great people working there cool performance
28,Lellebel, 5 stars ,2 years ago,"Always nice, always full of lovely people"
29,Lellebel, 4 stars ,6 years ago,The greatest small LGTBQ and drag queen bar. Great atmosphere and good live music.
30,Lellebel, 5 stars ,4 years ago,Fun drag bar. The bartender is awesome and is ready to sing at the drop of a hat.
31,Lellebel, 5 stars ,3 years ago,Great ambiance and wonderful singing
32,Lellebel, 5 stars ,5 years ago,Loved it!! Had a very random fantastic night in there
33,Lellebel, 5 stars ,4 years ago,"My favorite little drag bar in Amsterdam. During weekdays it's calm and cozy, you get to know everyone inside. At the end of the week and during weekends, it gets busy and with a cheerful crowd, and karaoke performances take over. Always a nice place to meet new people!"
34,Lellebel, 3 stars ,3 years ago,"Drag Queen bar in Amsterdam, browncafe feeling, very cozy."
