,Name,Review Rate,Review Time,Review Text
0,Lime Bar, 5 stars ,2 months ago,The bar staff are what really make this place special! They are generally super busy but still super friendly...and they always remember your name and your beverage of choice. …
1,Lime Bar, 5 stars ,a month ago,"Very fun place to visit. Great atmosphere, friendly staff, music. The food is good! Comparable pricing of the general area. Cannot wait to return!  I will say, having friendly, competent staff goes a long way and this place does fantastic."
2,Lime Bar, 4 stars ,a week ago,"Good food every time and great drinks. The staff, fabulous! Caitlin made the Lime a winner when she moved there and today Curtis added the cherry! Fantastic bar!"
3,Lime Bar, 4 stars ,6 months ago,Went on a Saturday night around ten PM. They had a bouncer out front who checked ID and they didn't make me or my friends wear a mask when inside. …
4,Lime Bar, 1 star ,3 months ago,"A big group of us planned to be there for the amazing 80’s cover band, Mixdate Prom Date.  Everyone was looking forward to this event for weeks.  We showed up and to our surprise, the venue had also booked a UFC showing. Talk about the …"
5,Lime Bar, 4 stars ,2 weeks ago,Went there for a UFC fight. The parking lot was packed that night. Some people had to park across the street. …
6,Lime Bar, 5 stars ,2 months ago,Great service and awesome food.  Nice pool tables.
7,Lime Bar, 5 stars ,2 months ago,Awesome place to chill and grab a beer with great food and they also have beautiful caring people serving I almost forgot the pool 🎱 table  and the of course Live Bands 😀
8,Lime Bar, 4 stars ,5 months ago,Food is great for the area and venue. The servers are awesome (the ones that have been there for a while) They really want you to relax and just enjoy yourself for the time you are there. Prices are still extremely reasonable in the current climate.
9,Lime Bar, 4 stars ,4 months ago,Try getting away from the downtown Kirkland crowd and have fun on 85th.  Super cute and quick servers.
10,Lime Bar, 4 stars ,2 years ago,"Nearby bar in Kirkland which is open till 2am. Food and drinks were ok. We had onions rings, chicken wings, fries and three pitchers of beer. The was a band named ""The Rebel Yell"" playing from 9:30pm. Staff were nice and responsive. We had fun at the bar. Will visit again"
11,Lime Bar, 3 stars ,7 months ago,"We decided to go for a girls brunch over at the Lime. We kinda ordered most of the food in the appetizers section - Pulled pork sliders, chicken tenders, mozz bread, bacon wrapped prawns and a sample platter. …"
