,Name,Review Rate,Review Time,Review Text
0,Lin Wah, 4 stars ,3 years ago,Ive been coming here with my family since I was a lot younger. The staff is always super friendly and the food is good depending on what you order. The dim Sum takes a bit longer but is worth the wait. Their specialties are also very Good.
1,Lin Wah, 5 stars ,5 months ago,Very nice food and hospitality! One of the best restaurants in Almere area. Food and ambiance is worth the price. Lot of options for vegetarians as well. Highly recommended.
2,Lin Wah, 2 stars ,2 years ago,"Good traditional Chinese interior design. Flavors of the food are decent, but very very salty. Also the price is way too high compared to most famous Chinese restaurants in Amsterdam. Services are okay."
3,Lin Wah, 5 stars ,7 months ago,Too bad they dont sell dark soy saus nassi  Surinaamse style
4,Lin Wah, 1 star ,4 years ago,"In all fairness, I do not personally eat Chinese meals. But, thought I would compare their curry to Indian curries. Result. They just do not compare. They CANNOT prepare a half decent curry. And they charge a lot more for the privilege"
5,Lin Wah, 4 stars ,4 years ago,This is a good place to eat chinese. The ambience is quiet especially on a saturday afternoon. The host is very polite and understands your request and makes real good suggestions. They also help with customizing your meals to your liking.
6,Lin Wah, 5 stars ,3 years ago,"A must go if you like good food.  Nice and cozy place, the host was super dedicated, the food was extremely good and tasty.  Totally recommended! I'm definitively coming back."
7,Lin Wah, 1 star ,a year ago,They only deliver via Thuisbezorgt....but they don't deliver when you order by phone....because our suburb is just one to far... 🤷‍♂️
8,Lin Wah, 3 stars ,2 years ago,"EXPENSIVE! Food was ok but not as abundant as one usually gets in Chinese restaurants, and €14 ($18) for a portion of fried rice is excessive in any country."
9,Lin Wah, 4 stars ,3 years ago,"Pretty good Chinese and Indonesian food. I especially like the 'loempia's', large eggrolls."
10,Lin Wah, 5 stars ,4 months ago,Ok
11,Lin Wah, 5 stars ,3 years ago,very good food and very gentle people
12,Lin Wah, 4 stars ,2 years ago,excellent food. friendly service
13,Lin Wah, 5 stars ,8 months ago,Top👌
14,Lin Wah, 5 stars ,7 months ago,Lovely food
15,Lin Wah, 4 stars ,a year ago,Good food
16,Lin Wah, 4 stars ,a year ago,Good tasty Chinese
17,Lin Wah, 4 stars ,2 years ago,Nice food
18,Lin Wah, 5 stars ,a year ago,Love it
19,Lin Wah, 5 stars ,2 years ago,Loved it
20,Lin Wah, 4 stars ,3 years ago,Awesome chinese food
21,Lin Wah, 3 stars ,3 years ago,Ok
22,Lin Wah, 4 stars ,a year ago,Service  okay
23,Lin Wah, 5 stars ,5 years ago,👌🏼👌🏼
24,Lin Wah, 4 stars ,2 years ago,Chinese resturant
25,Lin Wah, 1 star ,a month ago,"(Translated by Google) Impossible. Neat restaurant and friendly. Food is very bad. The meat was super dry and tough. Spring roll content was mediocre. Vegetables from tjap tjoy too raw and the dishes just really not tasty. Too bad, wasn't …"
26,Lin Wah, 5 stars ,3 months ago,"(Translated by Google) We went here for dinner, hubby, my elderly mother and I on the day she and I became grandmothers and great-grandmothers of a miracle of a (great) granddaughter (on November 5, 2021). …"
27,Lin Wah, 1 star ,2 months ago,"(Translated by Google) What a bad food. Tomato Soup, noodles and noodles disappointing. A bowl of duck filled with bean sprouts and a few pieces of duck on top. Unknown. Never experienced. It said enough when my dog ​​didn't eat the noodles …"
28,Lin Wah, 5 stars ,3 weeks ago,"(Translated by Google) Delicious food, friendly service, good price and food ratio. We will definitely eat there again …"
29,Lin Wah, 5 stars ,a month ago,"(Translated by Google) Delicious meal with my family
great service. And another Valentine's gift.
Service from lily was super great very sweet lady! …"
30,Lin Wah, 1 star ,2 months ago,"(Translated by Google) What a bad food. Tomato Soup, noodles and noodles disappointing. A bowl of duck filled with bean sprouts and a few pieces of duck on top. Unknown. Never experienced. It said enough when my dog ​​didn't eat the noodles …"
31,Lin Wah, 1 star ,a month ago,"(Translated by Google) Impossible. Neat restaurant and friendly. Food is very bad. The meat was super dry and tough. Spring roll content was mediocre. Vegetables from tjap tjoy too raw and the dishes just really not tasty. Too bad, wasn't …"
32,Lin Wah, 2 stars ,a month ago,(Translated by Google) Too bad the food that is brought is lukewarm. The noodles are almost cold and that if you live 3 minutes away from them. Look for another restaurant next time. …
33,Lin Wah, 2 stars ,3 months ago,"(Translated by Google) Lived in the area for years so ate there regularly but hadn't been there as often as I moved a few years ago.
Have to say that unlike years ago it was now very disappointing. Vegetarian …"
34,Lin Wah, 2 stars ,a month ago,(Translated by Google) Not really my restaurant. I don't like the food. Bland in taste. Not recommended. …
35,Lin Wah, 5 stars ,a month ago,(Translated by Google) Very good Chinese good service and food super tasty food highly recommended …
36,Lin Wah, 4 stars ,3 months ago,"(Translated by Google) Friendly staff, and good food. Almost always order the combination menu consisting of 2 dishes …"
37,Lin Wah, 5 stars ,3 months ago,"(Translated by Google) Very tasty food, nice and fast service. A nice traditional Chinese restaurant. And the desserts are delicious too.
Had a nice evening again …"
38,Lin Wah, 5 stars ,3 weeks ago,"(Translated by Google) Good food. Recommended

(Original)
Lekker gegeten. Aanrader"
39,Lin Wah, 4 stars ,4 months ago,"(Translated by Google) Good meal, friendly service. Not great, but certainly not bad. Great choice in menu. …"
