,Name,Review Rate,Review Time,Review Text
0,Lion Noir, 4 stars ,a month ago,"A bit expensive, but you get what you pay for. It’s a nice restaurant to go for a fancy lunch/dinner"
1,Lion Noir, 3 stars ,7 months ago,Great drinks and super nice back garden. Food was not that special - I was a bit disappointed to be honest.
2,Lion Noir, 5 stars ,a year ago,"Great upmarket dining in a very beautiful, relaxing atmosphere with excellent, friendly service. Every dish was a great combination of flavours.
We went two days in a row for a three and four course dinner respectively, …"
3,Lion Noir, 5 stars ,6 months ago,"Loved it, nicely decorated restaurant, menu and food selection were  nice as well friendly team members"
4,Lion Noir, 4 stars ,6 months ago,"I will say, the food is good. I had the fish. With couscous, and it was nice. The couscous done well. My date had the steak, with risotto and it was very tender. The white wine was really good. I was a little disappointed about the oysters. …"
5,Lion Noir, 4 stars ,6 months ago,"Lovely restaurant with great location in the city centre, interior is nice, wonderful and friendly service, you don't need to wait long and waitresses help you with menu, they can cook bigger portion for you if you like the dish that goes …"
6,Lion Noir, 3 stars ,5 months ago,i wish it's as tasty as it looks(( nice place but not for good food
7,Lion Noir, 5 stars ,2 years ago,"Very friendly ,professional and accommodating staff, Easy and relaxed. The Gentleman by the name of Koen, just excellent! Food was Great & the restaurant with it's diverse deco styles matched up has a very warm & cosy atmosphere.I wish the …"
8,Lion Noir, 4 stars ,3 years ago,"We had a lovely dining experience here about a week ago. The food was delectable, even for a discerning foodie, and the courtyard in the back was just beautiful. Of note, the soy ginger oysters were utterly delicious and the Plaice filet …"
9,Lion Noir, 5 stars ,3 years ago,"Fantastic! Cocktails, food, atmosphere.....

Read numerous recommendations about Lion Noir before going there and the …"
10,Lion Noir, 3 stars ,a year ago,"Lion Noir has very good steaks, perfectly cooked, nice service, not the most clean bathrooms. Also, I was disappointed by the desert. But in rest is a good place to go out in the city center."
11,Lion Noir, 5 stars ,3 years ago,"When I was looking for the restaurant, I passed by it first since there is no clear sign/restaurant name, so had to walk back. …"
12,Lion Noir, 5 stars ,5 months ago,Delicious food at a reasonable price.
13,Lion Noir, 4 stars ,3 years ago,Gorgeous food - really can’t fault it and the cocktails were great too. The service was disappointing thought - staff were very slow did not seem to have a system of which zone they were serving.
14,Lion Noir, 3 stars ,4 months ago,Luxurious dining with luxurious service and tableware. Food was good but not that special for the price. Same goes for the decoration on the top floor.
15,Lion Noir, 5 stars ,3 years ago,"Love that place. One of most splendid ambiences in Amsterdam I think, with super cute staff, very nice manager and great music. Awesome bites and coctails. Bloody mexican is a killer, alice delicious as well. Try blines with kaviar and tempura shrimps - Ill run back for them anytime! Next month we are throwing my bf bday there!"
