,Name,Review Rate,Review Time,Review Text
0,Little Collins, 5 stars ,7 months ago,You cannot go wrong with food at Little Collins. Whoever is designing their menu - and making the food - is ace at combining flavours in wonderful ways. I always look forward to trying their new dishes
1,Little Collins, 5 stars ,7 months ago,"Super nice place for lunch. Extraordinary menu with lots of smoked, pickled and fresh ingredients. The dishes are delicious, but pretty small and not too cheap. But it's worth it!"
2,Little Collins, 5 stars ,7 months ago,Amazing food! Good flavors and seasoned very well!! It was an amazing lunch!
3,Little Collins, 4 stars ,9 months ago,"Delicious, Savory Brunch

If you’ve got a sweet tooth and like options this may not be the place for you. …"
4,Little Collins, 5 stars ,4 months ago,"Fresh flavours and ingredients, recently expanded their brunch menu with new offerings!"
5,Little Collins, 5 stars ,a month ago,"The food is always spectacular–their menus change frequently and are so inventive and delicious. We went for a company brunch and Kelle and the rest of the staff took amazing care of us, and were even great with our youngest guest (a toddler of 2 years!) Cannot recommend enough."
6,Little Collins, 5 stars ,8 months ago,"Michelin-star quality in a humble setting!
Every dish we ordered was packed with exquisite flavors.. from the bread to the brisket. The deserts on the other hand missed the mark somehow. A special mention to probably the cutest & lovely staff we’ve come across in Amsterdam!"
7,Little Collins, 5 stars ,3 months ago,"Amazing menu with surprising combinations of really good quality products.
The sourdough bread with butter is insanely good.
The vibe is okay, they could play some music. …"
8,Little Collins, 5 stars ,a month ago,Had a really lovely dinner here. The server was great. She had some awesome recommendations and even had some great cocktail recipes up her sleeve.
9,Little Collins, 5 stars ,2 years ago,"Super delish lunch! Humble yet sophisticated menu, full of stimulating flavors. Great vegetables and super friendly service in a relax atmosphere. Looking forward to eat again some “spiced pumpkin fritters” YUM Great relax fine dining."
10,Little Collins, 4 stars ,2 years ago,"I wanted to try this and luckily we got a table after a trip to the park. Interesting menu. The latte was quite tasty (small but good). The grilled halloumi with guacamole, black beans (mashed), pickled onions, and corn tortillas was spicy …"
11,Little Collins, 5 stars ,9 months ago,Such a great place to have a brunch in Amsterdam. The service was really good and the food is super tasty 😋. Well done guys !
12,Little Collins, 4 stars ,4 months ago,"Great food, very friendly staff.. it was a bit busy so it took a bit longer for our food. We were told the dishes are a bit bigger than a usual starter, we didn't really have that idea, the food was rather small in our opinions. We did try …"
13,Little Collins, 4 stars ,2 years ago,"super cool menu, nice reinterpretations of classic dishes. Good cocktails, good prices...
i would implement the indoor ventilation. After brunch you need a shower to loose the food smell."
14,Little Collins, 5 stars ,4 months ago,"Great stuff. The team was very friendly from the get-go and got us a spot at the bar - on a Sunday morning, when it was fully booked. Food was great as per usual (Omelette with 'nduja and brisket flat bread this time). Efficient service and great vibes. Biceps emoji!"
15,Little Collins, 5 stars ,6 months ago,"Super delicious food! Full of flavor! They recommend 3 or 4 dishes to share between 2 people, and I think if you are really hungry, it's the right amount of food. We were not that hungry so we took 2 and the bread and it was enough! Totally recommend this place!!"
