,Name,Review Rate,Review Time,Review Text
0,Locatie NRD, 5 stars ,3 months ago,"Are you looking for a coffee?
Do you have to send a package?
Do you need a print? …"
1,Locatie NRD, 3 stars ,3 years ago,"5 star atmosphere
5 star service
1 star menu …"
2,Locatie NRD, 2 stars ,7 months ago,Unprofessional staff. I was there for a monday breakfast and they had no pastry in their kitchen. I ordered a muffin which was delivered cold to me at the end.
3,Locatie NRD, 4 stars ,a year ago,"Went here a lot during lunch breaks from school, good coffee, nice atmosphere and the food is more than decent."
4,Locatie NRD, 4 stars ,a year ago,Good lunch spot with varied food. Surinamese broodjes are lovely
5,Locatie NRD, 5 stars ,2 years ago,"Friendly staff, and good food. The chicken and cheeseburger I can recommend ☺️"
6,Locatie NRD, 5 stars ,3 years ago,I had the best caramel macchiato in my life at this cute little place that was less than a block away from my houseboat.
7,Locatie NRD, 5 stars ,2 years ago,"Briljant place, with honest food and prices! Oh, and a post office!"
8,Locatie NRD, 5 stars ,3 years ago,It was a great place to make a party with every thing in it. I love it
9,Locatie NRD, 3 stars ,3 years ago,"Good place for lunch ,but very noisy"
10,Locatie NRD, 5 stars ,5 years ago,Fresh good coffee and tasty snacks
11,Locatie NRD, 5 stars ,4 years ago,Open early and gives great service!
12,Locatie NRD, 3 stars ,6 months ago,(Translated by Google) Delivery is quick. Croquette and bitterballen sandwich were delicious but the gyros sandwich tasted very weird. …
13,Locatie NRD, 5 stars ,8 months ago,"(Translated by Google) Do you live or are you in Amsterdam, visit this restaurant! Good and fast service. Nice people and a nice atmosphere. The food is good. You get value for money …"
14,Locatie NRD, 5 stars ,6 months ago,"(Translated by Google) Fine. Good coffee and sandwiches. Excellent service.

(Original) …"
15,Locatie NRD, 4 stars ,4 years ago,"(Translated by Google) Good lunch and good workplaces, if you want to discuss things or work on your laptop yourself. Post office and professional copy service included. Normal tent for normal people, where almost no ff is present. …"
16,Locatie NRD, 4 stars ,3 years ago,"(Translated by Google) Affordable, unusual, yet good!

Who does not know that: on a city tour, the train to the plane late and the day …"
17,Locatie NRD, 4 stars ,4 years ago,"(Translated by Google) Nice spot. Fine coffee and food. Not too expensive, not too busy. There are a few outlets available for a workplace. …"
18,Locatie NRD, 5 stars ,3 years ago,(Translated by Google) Nice place for a cup of coffee and a nice sandwich. Thursday is the regular pizza day here. …
19,Locatie NRD, 5 stars ,3 years ago,"(Translated by Google) Great food, nice staff and a 2 minute walk from work. Super! …"
20,Locatie NRD, 4 stars ,2 years ago,"(Translated by Google) Excellent service nice people, the room unfortunately sounded a bit ""loud"". There is still room for improvement. …"
21,Locatie NRD, 4 stars ,3 years ago,"(Translated by Google) Great place for a cup of coffee, some work and a great lunch. Only the acoustics are less pleasant. …"
22,Locatie NRD, 5 stars ,3 years ago,(Translated by Google) Nice place to celebrate your birthday good service and a nice owner. …
23,Locatie NRD, 5 stars ,3 years ago,(Translated by Google) Nice and cosy. Very useful if you don't want to work at home. And affordable …
24,Locatie NRD, 4 stars ,2 years ago,"(Translated by Google) Fast, friendly service and normal affordable prices.

(Original) …"
25,Locatie NRD, 4 stars ,2 years ago,"(Translated by Google) Great lunch dishes for a great price

(Original) …"
26,Locatie NRD, 5 stars ,4 years ago,"(Translated by Google) Cozy place and good food

(Original)
Gezellie plek en lekker eten"
27,Locatie NRD, 3 stars ,3 years ago,"(Translated by Google) Fine environment and friendly service

(Original) …"
28,Locatie NRD, 3 stars ,3 years ago,"(Translated by Google) Quality food could be better

(Original)
Kwaliteit eten kan beter"
29,Locatie NRD, 5 stars ,a year ago,"(Translated by Google) Friendly, welcoming

(Original)
Vriendelijk, gastvrij"
30,Locatie NRD, 5 stars ,3 years ago,"(Translated by Google) Nice work and good coffee

(Original)
Fijn werken en goede koffie"
31,Locatie NRD, 5 stars ,2 years ago,"(Translated by Google) Amsterdam taxi central AMSTAXIHOLLAND

(Original) …"
32,Locatie NRD, 5 stars ,4 years ago,
33,Locatie NRD, 3 stars ,3 years ago,"(Translated by Google) Cozy workplace

(Original)
Gezellig werkplek"
34,Locatie NRD, 1 star ,3 years ago,"(Translated by Google) Aggressive employee

(Original)
Agressieve medewerker"
35,Locatie NRD, 5 stars ,9 months ago,
36,Locatie NRD, 5 stars ,3 years ago,
37,Locatie NRD, 1 star ,3 years ago,
38,Locatie NRD, 5 stars ,4 years ago,
39,Locatie NRD, 4 stars ,4 years ago,
