,Name,Review Rate,Review Time,Review Text
0,Luciën’s, 5 stars ,a month ago,"Great venue for celebrating weddings in South Jersey! From the perfectly manicured grounds, or dancing in one of three grand ballrooms, each with their unique character, your wedding day will be a royal experience from start to finish."
1,Luciën’s, 5 stars ,a month ago,"GREAT venue for a wedding!! Photogenic grounds, professional staff, good food and tons of space for wedding day fun!!"
2,Luciën’s, 4 stars ,2 weeks ago,As the owner of Heimlich's karate I belong to the Business association in Berlin New Jersey we had our cocktail party here at this beautiful facility great service amazing food and wonderful people had a great time highly recommend if you need a banquet room he should give them a try
3,Luciën’s, 5 stars ,3 months ago,"Surely, if you're looking for a venue to have  a function and/or event - please consider this venue. The staff, food, and the place in itself are amazing!"
4,Luciën’s, 5 stars ,2 weeks ago,We went to Lucien’s for a party. This venue is absolutely stunning with gorgeous rooms. The staff is so friendly and courteous. The food was so good! We had a wonderful time! You will not be disappointed if you choose this venue for your next event.
5,Luciën’s, 5 stars ,3 weeks ago,"Lucien’s was a 10/10 experience from start to finish!! As you know, searching for a venue can be an exciting yet overwhelming experience. We met with Robin from Lucien’s and she was so welcoming and friendly. She really made us feel like we …"
6,Luciën’s, 5 stars ,6 months ago,"All I can say about this hall is WOW. Just absolutely outstanding. Everyone who works here is an absolute gem. Planning a wedding is rough, but throughout a pandemic is a nightmare. Everyone at Lucien’s has been nothing but kind, …"
7,Luciën’s, 5 stars ,2 weeks ago,"Amazing food! Mike the DJ was incredible, we danced all night. Beautiful atmosphere and entire staff were extremely attentive  Bartenders Frank and Tony were spot on and never once had to wait for a drink!! On a scale from 1-10 we give  Lucien’s Manor a “12” would definitely highly recommend!!!!!!"
8,Luciën’s, 5 stars ,2 weeks ago,"We just attended a 50th Birthday party at Lucien’s Manor that was absolutely amazing! Every detail, including the service was impeccable! The staff, bartenders, waiters & waitresses were friendly, courteous & gave the most attentive …"
9,Luciën’s, 5 stars ,3 weeks ago,"WE CANNOT SAY ENOUGH!

Planning a wedding in the middle of a pandemic was STRESSFUL and Luciens worked …"
10,Luciën’s, 5 stars ,7 months ago,This place is stunning and my girlfriend's wedding reception was amazing!
11,Luciën’s, 5 stars ,5 months ago,"Went to a wedding there. We had a great time. The food, staff, and valet guys were great. We made the 2 valet guys run back to our car 2 times because we forgot 2 things in it. They were understanding and got our things with no complaint …"
12,Luciën’s, 5 stars ,3 years ago,"Gorgeous place for any event; whether a small intimate gathering, a private business meeting,  a medium size birthday party, or a grand fairytale wedding or huge fundraising gala.. they have the ballroom for any event and a knowledgeable, helpful staff for all your needs."
13,Luciën’s, 4 stars ,2 weeks ago,"RECENTLY ATTENDED A 50TH BIRTHDAY CELEBRATION.  WE HAD AN AMAZING TIME!  THE FOOD WAS INCREDIBLE, BEAUTIFUL ROOM AND PRESENTATION. THE STAFF WAS SO ATTENTIVE, I DONT THINK I EVER HAD TO MOVE AN EMPTY PLATE OR GLASS-THEY WERE ON TOP OF IT IMMEDIATELY!!!"
14,Luciën’s, 5 stars ,2 years ago,"If anyone is looking for a wedding venue, they should choose Lucien’s! Besides the beautiful chapel, ballrooms, and gardens, the staff is wonderful. They’ve been doing weddings and large catered events for a long time, and it sure does …"
15,Luciën’s, 5 stars ,2 years ago,"Wow ... what an experience to he had ... i felt like we were royalty .. i attended a wedding sept.2019 from 4pm to 10pm ... the service was exceptional. The staff was not bad ... the food did not stop and the drinks kept refilling all evening .i felt like i was in a new show called ""heavens kitchen"""
