,Name,Review Rate,Review Time,Review Text
0,Luden, 3 stars ,4 years ago,"Casual dining in the heart of Ansterdam. Reasonably priced and decent food, there are set menus offered that are good value."
1,Luden, 4 stars ,4 years ago,Had an amazing and well priced goats cheese salad. Super cosy with friendly staff. Menus in English as well as Dutch
2,Luden, 4 stars ,3 years ago,"We went as part of a large party @30 heads in mid March. Normally when work colleagues go out for dinner together in such a big group, the service and food can be pretty bad. Have to say I was pleasantly surprised at how good the service …"
3,Luden, 4 stars ,3 years ago,Had a cosy atmosphere when I went there for a quick bite. I was already really under the weather and just wanted something warm so ordered the soup & it really hit the spot. …
4,Luden, 2 stars ,4 years ago,Food was ok but the service was poor.  The waitress never brought our drinks the entire meal.  She didn't stop long enough when she brought our food for me to ask for our drinks.  She never came back the entire meal.  I had to flag her down …
5,Luden, 1 star ,5 years ago,Very slow service (had to go inside to order because we didn't see anyone outside). And when asking for a hot snack platter at 1715 they say you can't order until 1730. Wow. The bill was also presented without asking for it. I guess they wanted us gone. Job well done!
6,Luden, 1 star ,4 years ago,"Worst service ever. I ordered a hamburger with special directions because of allergies. First time they got it wrong, second time too and also  the third time and by then I had to ask for new fries too because mine were cold. After about 35 …"
7,Luden, 3 stars ,5 years ago,"Good atmosphere and decent food. I had a pretty good hamburger, my wife had a rather bad caesar salad; also, we had a small table overlooking the kitchen pickup area so we were watching the plating being done for more than an hour - at some …"
8,Luden, 1 star ,4 years ago,Terrible Service!!   As a group of 4 we were brought to a table where we were ignored for at least a half an hour (the restaurant was not very busy). We grabbed menus off an other table as none were brought to us.  After our order was …
9,Luden, 5 stars ,4 years ago,"The food was amazing (caramelised salmon, chocolate mousse), and staff were friendly and attentive. Lovely atmosphere and good for coeliacs like myself, they made sure my meal was gluten free. Excellent!"
10,Luden, 1 star ,5 years ago,"Good service but low quality food. Probably the worst burger I ever had at a restaurant. Boring bread, half warm and no crispy falafal, plus non fresh veggies. The fries were not close to well fried. Ps: am not type that complains in general."
11,Luden, 2 stars ,4 years ago,"Went there with a group of friends to have a drink outside, the owner made an ass of himself and was quick unfriendly, the waitress tried to save the day but it was still not a really nice experience. I'll let others' reviews judge the …"
12,Luden, 4 stars ,4 years ago,Went there for drinks. Nice selection and friendly service.
