,Name,Review Rate,Review Time,Review Text
0,Lunchroom Wilhelmina, 5 stars ,4 months ago,"Friendly staff, good coffee and good food. It's a small menu with options for sandwiches, soup, and sweets (carrot cake. Scones etc.). I picked the 'Rueben Vega'. Lovely big sandwich, very tastful."
1,Lunchroom Wilhelmina, 5 stars ,a month ago,"28 euros: two big sandwiches, two hot teas, one cake and one coffee...everything  was amazing."
2,Lunchroom Wilhelmina, 4 stars ,5 months ago,"Simple yet delicious chicken sandwich, restoring ginger infusion, and mouth watering apple pie 🤤. …"
3,Lunchroom Wilhelmina, 5 stars ,9 months ago,Nice spot for brunch. The staff was very friendly and attentive. The food was really good as well! Regular pricing for Amsterdam. The area is really nice and away from the most tourist-y spots.
4,Lunchroom Wilhelmina, 5 stars ,a week ago,Their pumpkin soup is fantastic. I've already had it thrice and love it every time. Good place for a friendly and healthy brunch.
5,Lunchroom Wilhelmina, 5 stars ,3 years ago,"A nice and cozy place where to have breakfast. I had croissant once and the full boiled egg set menu the second time, both delicious. They have soy milk for vegans. The tables outdoors are the perfect spot for a sunny or warm day and they …"
6,Lunchroom Wilhelmina, 5 stars ,2 years ago,"A small, cosy place on the corner; sufficient offerings for breakfast and lunch. Food and portions and excellent; well seasoned and filling. Popular amongst locals in the area and often busy. Definitely a regular place to keep returning to."
7,Lunchroom Wilhelmina, 5 stars ,2 years ago,Great and delicious breakfast away from tourist paths. Well cooked and served. Highly recommended place to visit.
8,Lunchroom Wilhelmina, 5 stars ,2 years ago,Nicely delicious spot! Cosy & friendly atmosphere. It has already become my favorite!⭐5
9,Lunchroom Wilhelmina, 5 stars ,8 months ago,If you want to experience the Dutch sandwich culture this is the place to go. Small but incredibly tasty menu with very yummy home made cakes and friendly staff.
10,Lunchroom Wilhelmina, 5 stars ,7 months ago,Very good sandwiches ! The scones were so good that I want to quit my job and start baking in my own store
11,Lunchroom Wilhelmina, 5 stars ,6 months ago,"Good fried eggs, sandwich and carrot cake. And also excellent coffee"
