,Name,Review Rate,Review Time,Review Text
0,Maenaam Thai, 4 stars ,a month ago,Nice restaurant in the heart of Amsterdam. Food is good and well presented. Service is simple but nice and friendly . Prices are honest and affordable. The venue is small and cozy.
1,Maenaam Thai, 5 stars ,8 months ago,"This is still the best Thais restaurant in Amsterdam so far. The food is delicious, good service! Make sure you make reservations if you wanna come at dinner time because it’s always busy there. We enjoyed our dinner (again). Thank you ❤️"
2,Maenaam Thai, 5 stars ,6 months ago,"Food is very good, the service and the staff are superb. The restaurant is small but the atmosphere is cozy."
3,Maenaam Thai, 4 stars ,3 weeks ago,"We booked dinner here as a result of a Google search and Google reviews.
The Chicken Satay skewers were off-the-scale delish!
Tasty food in a nice, informal setting with very pleasant staff.
No hesitation to recommend!"
4,Maenaam Thai, 5 stars ,a month ago,"Very tasty food, many vegetarian options. What we liked the most is the amazing waiter, who was super kind and helpful. Great experience, we will come back for sure!"
5,Maenaam Thai, 5 stars ,2 years ago,Excellent Thai restaurant in a small and cozy space. The food is authentic and full of flavor. We asked for extra spicy and it actually was which is usually not the case in Europe. The soup was fresh and bursting with flavor. Vegan-friendly and staff go out of their way to help.
6,Maenaam Thai, 4 stars ,5 months ago,"I read that this is the best Thai restaurant in the city, I haven't got others to compare it to, but have eaten a lot of Thai food in Thailand and it measured up! The menu was authentic (though a lot more expensive than in SE Asia!!) The …"
7,Maenaam Thai, 5 stars ,3 weeks ago,"I was quite impressed. Didn't expect it to be authentic since it was in the middle of touristy Amsterdam. But was greeted by the owners who were having also having dinner, just like I was in Bangkok. …"
8,Maenaam Thai, 5 stars ,8 months ago,"Really great Thai dishes, beautiful presentation and delicious!  Our server was very attentive. Wonderful experience."
9,Maenaam Thai, 5 stars ,4 months ago,Probably the best curry I’ve ever had. Would highly recommend this place. On a Tuesday night there wasn’t an empty table left. Quick service and well priced. Will come back next time if I’m Amsterdam.
10,Maenaam Thai, 5 stars ,6 months ago,"Very very recommended! Very fresh and yummy
A must place!"
11,Maenaam Thai, 4 stars ,3 months ago,"super nice service, good price for Amsterdam but portions not too big. They were so so nice and helped us out with all our off-menu additons and wishes as we are also Thai!"
12,Maenaam Thai, 5 stars ,6 months ago,"Excellent Thai
I had a a marvelous and beautifully presented phad Thai vegetarian
Very nice place and friendly good service"
13,Maenaam Thai, 5 stars ,5 months ago,Really amazing Thai food - came here twice on my stay in Amsterdam because it was so delicious. And I’m from a city with lots of great food options and Thai restaurants and none of them I enjoyed like here. Friendly staff also.
14,Maenaam Thai, 4 stars ,4 months ago,Tiny jewel. Food is beyond delicious. Make your reservation because the place is tiny and always packed. Good sized portions
15,Maenaam Thai, 4 stars ,3 years ago,"Food:
We had chicken Phad Thai with rice and chicken fried spring rolls that really took me back to Thailand last year. …"
16,Maenaam Thai, 5 stars ,2 years ago,Great authentic Thai food in amsterdam. Inexpensive and extremely tasty. The owner was very courteous and accommodated all 10 of us comfortably. Dishes are big and filling. Do NOT miss the pad-thai!! After the first time we came back for more. A true gem.
17,Maenaam Thai, 5 stars ,4 years ago,I have just spent 21 days on a 5 star cruise ship and have been hanging out for good Thai food. After reading comments here I thought we would try it out.  The food was fantastic and tastier than anything on our ship. We were delighted and …
18,Maenaam Thai, 5 stars ,3 years ago,food was delicious. Enough said. But I'll add awesome service and reasonable prices. I love the Thai food here.
19,Maenaam Thai, 5 stars ,2 years ago,"My favorite Thai restaurant in Amsterdam. Been there multiple times, and never got disappointed. The waiter is fun, sometimes a bit random, but it makes the experience more fun. I like really spicy food, and when asked for it here they …"
20,Maenaam Thai, 5 stars ,4 months ago,"Incredible food, wonderful service, overall a great experience and would recommend to anyone who loves a cozy atmosphere for dinner!"
21,Maenaam Thai, 4 stars ,4 months ago,A lovely atmosphere! Great food and very friendly and knowledgeable staff. Enjoy!
22,Maenaam Thai, 5 stars ,2 years ago,"The food is delicious and the best I’ve tasted since leaving Thailand! Loved being served our rice at the table in a traditional pot, such a lovely experience will return when in Amsterdam"
23,Maenaam Thai, 5 stars ,2 years ago,This place had very tasty food in a unique environment. I loved the family atmosphere and diligence in service. the food had a proper level of spice and promoted fantastic flavors.
24,Maenaam Thai, 4 stars ,3 years ago,"The place is really small but the food is good and also the portion. The staff is very nice and polite, I appreciate that the owner is there taking care of the service and serving."
25,Maenaam Thai, 5 stars ,3 years ago,Very tasty and decent serving sizes (this is coming from a North American who is used to massive servings everywhere).  The decorative flower was a nice touch.  Excellent service too.
26,Maenaam Thai, 5 stars ,2 years ago,"Small restaurant, only a few people were inside so it looks empty. Great food, just like in Thailand. Try tom yum kong, mango salad and pad thai. …"
27,Maenaam Thai, 3 stars ,4 years ago,"I didn't like coriander I asked without it, they forgot . But generally food was ok. Staff are nice and friendly . But I would like to try other Thai restaurants in Amsterdam."
28,Maenaam Thai, 5 stars ,4 years ago,"Authentic thai food!
I had the clear tomyum soup with chicken and mushroom! It feels healthy and it wasn’t spicy but it was sourish! I love it to be sour, gives me better appetite. …"
29,Maenaam Thai, 5 stars ,5 years ago,Unbeliveble good Thai Food and the Service is soooo cute and Beautiful and amazing!!! You have to try - it is worth it! Thank u soo much for this beautiful Service!
30,Maenaam Thai, 4 stars ,3 years ago,"Lovely little place, with an authentic feeling decor.  The food is completely ok, nothing extraordinary or special, just proper food that's quickly prepared. And the staff is very friendly. Certainly would recommend this establishment if you are looking for a quick meal that's not too expensive."
31,Maenaam Thai, 5 stars ,4 years ago,So lovely to eat Thai food here. Friendly and helpful staffs and food was so tasty. The restaurant is very popular...and the seating is limited. I recommend you to make a reservation.
32,Maenaam Thai, 5 stars ,3 years ago,Aroy mak mak! Great authentic Thai food served by friendly service minded staff. Khob khun na krab 😊
33,Maenaam Thai, 4 stars ,3 years ago,"Thai food was ok, but not exquisite. Comfy plase and nice stuff. Best time to eat at 3-4 pm workdays."
34,Maenaam Thai, 5 stars ,3 years ago,Great food and excellent service. Quick food and welcoming atmosphere. They have great vegetarian options and a nice spice to the dishes
35,Maenaam Thai, 5 stars ,4 years ago,"Fantastic food for an amazing price. The outside of the restaurant may look a bit generic, but the food certainly isn't. Very kind staff too!"
36,Maenaam Thai, 4 stars ,3 years ago,Very nice place to enjoy thai food. ALERT: Do NOT use Google  to reserve the table.. they do not honor ut.. use local apps to book.
37,Maenaam Thai, 5 stars ,a year ago,Best Thai outside of Thailand that I have tried. Green curry was perfect! Very friendly people!
38,Maenaam Thai, 5 stars ,2 years ago,"Really tasty food, friendly and accommodating staff and good prices! I had the Massaman curry."
39,Maenaam Thai, 5 stars ,4 years ago,Lovely thai restaurant tucked away just off the main Street. Good fresh food and generous portions.
40,Maenaam Thai, 5 stars ,4 years ago,"Love this restaurant, food so delicious, price is good! And customer service is amazing!"
41,Maenaam Thai, 2 stars ,a week ago,"Not worth visit, only for tourists. Service slow and food not tasty enough. Especially for the price."
42,Maenaam Thai, 5 stars ,2 years ago,Great Thai restaurant! Really good food. Reasonable price.
43,Maenaam Thai, 4 stars ,3 years ago,"Very good Thai kitchen, lovely people, small and cozy place. The dishes are quite spicy"
44,Maenaam Thai, 5 stars ,4 years ago,Actually not a big place but quite kind service and nice Thai food with big portion
45,Maenaam Thai, 5 stars ,4 months ago,Really excellent aurhentic food and awesome staff. Highly recommended :)
46,Maenaam Thai, 5 stars ,a year ago,I absolutely loved the Pad Thai! Great portion and very filling!
47,Maenaam Thai, 5 stars ,2 years ago,"Very good food with a large selection of dishes, a small cramped space and it gets pretty busy in the evening
Recommended"
48,Maenaam Thai, 5 stars ,4 years ago,"The food was just delicious. The place was packed when I was there and I had to wait longer than usual to order but
There was a reason for that."
49,Maenaam Thai, 5 stars ,2 years ago,"Yummy experience,  authentic flavors and gracious hospitality!!! Worth the trip!"
50,Maenaam Thai, 5 stars ,2 years ago,Delicious food. Good service. Good price. Reservation needed.
51,Maenaam Thai, 1 star ,2 years ago,"We had dinner on 25 Dec 2019 for 4 people - my husband, 2 children and me. We order 4 dishes including starter and soup, but they charged all double. My bad not checked the bill properly. Food taste was nice and not too long to wait until …"
52,Maenaam Thai, 5 stars ,3 years ago,"The food was really good! I haven't been to a Thai place in Amsterdam yet, that was this authentic. The waiter was also very friendly. I will definitely go here again! For 2 people we paid 70 euro with starters, main course and desert and 2 drinks"
53,Maenaam Thai, 5 stars ,2 years ago,"Very tasty thai food and good prices. Take number 80, on the foto 😊"
54,Maenaam Thai, 5 stars ,2 years ago,Great authentic Thai food accommodated us without a booking. Fast service and eat and much rice as you want with your mains. Friendly waiters. Totally recommend it. Great vegan options.
55,Maenaam Thai, 5 stars ,2 years ago,"Amazing restaurant, very nice staff! The food was absolutely delicious!"
56,Maenaam Thai, 5 stars ,2 years ago,"Some of the best Thai food I have eaten. I am writing this half way through my meal because it is both that tasty and that generous, I need a break. The sticky ribs were some of the most tender and juicy ribs have ever had. For main I am …"
57,Maenaam Thai, 1 star ,2 years ago,I just had the most unprofessional experience with a restaurant so far. I order food via UberEats at Maenaam Thai restaurant. I waited for more than 2 hours and tried to check the order status through the app. Nothing. I decided to contact …
58,Maenaam Thai, 5 stars ,a year ago,"What a discovery! I love it! Definitely best Thai place in Amsterdam. The food was so so delicious. This restaurant is family run business and they are so gentle, polite and friendly. Highly recommend"
59,Maenaam Thai, 5 stars ,3 years ago,"Really great little Thai-run spot that’s definitely worth a visit if you’re missing Thai food. I only had the Pad Thai, but it was pretty authentic. A little sweeter than your get in Thailand, and they add thick-julienned carrot, but it’s really good. I’d definitely come back. :)"
60,Maenaam Thai, 1 star ,2 years ago,"There is a lot of amazing Thai food in Amsterdam, skip this restaurant. My wife and I had dinner there while visiting Amsterdam. Although the food was decent, the service was absolutely TERRIBLE. At one point, the waiter left us with his …"
61,Maenaam Thai, 5 stars ,4 years ago,I was looking for a Thai restaurant in Amsterdam. Did a search on Google Maps and I found this one. I walked five mins from my hotel and found the place. It was nearly full but found s table. Ordered the coconut shrimp soup and another …
62,Maenaam Thai, 4 stars ,4 years ago,It's a cosy place with warm ambience and good thai food. The staff also is friendly and helpful.
63,Maenaam Thai, 5 stars ,3 years ago,"As a completely confused tourist, not only did all of the employees treat me with a smile but they went so far to explain everything I had questions about. Now I am not exactly a n00b when it comes to Thai food but they had a huge menu so I …"
64,Maenaam Thai, 5 stars ,a year ago,"We ordered yesterday and the food was so delicious !!
Delivery was quicker than expected, everything was fresh and hot
Loved the chicken with white pepper, garlic & koriander"
65,Maenaam Thai, 5 stars ,3 years ago,"Best Thai food outside Thailand, serves and quailty of food was superb."
66,Maenaam Thai, 5 stars ,2 years ago,"This is a small and cozy restaurant, one of those places were the moment you step inside and you smell the food you know by heart that is going to be great. The service was excellent and friendly, and the food is just incredible. This was an amazing discovery."
67,Maenaam Thai, 4 stars ,2 years ago,"Good food, but pretty packed and they put another duo next to us on the same table."
68,Maenaam Thai, 5 stars ,9 months ago,"Great taste and good commitment to pick up time, certainly going back to some of those shrimp curry and chicken bamboo starter"
69,Maenaam Thai, 4 stars ,3 years ago,"Don’t get repelled by the outside appearance
We found the place only via online search and user reviews. We must admit we would never have entered the restaurant when just passing by: the entrance looks …"
