,Name,Review Rate,Review Time,Review Text
0,Mankind, 4 stars ,a month ago,"Nice local bar. Quality and price ok. We wanted a small place to taste local snacks. You definitely have to try the fried meatballs with cheese.
Staff were nice but a bit too stressed at the beginning.
They have french menu available with QR code."
1,Mankind, 5 stars ,2 weeks ago,"Very nice and cozy place to seat and enjoy a drink or a sandwich. Nice small terrace and family service, very much appreciated."
2,Mankind, 5 stars ,3 weeks ago,Great sandwiches. Cool staff. Good prices. Nice cozy spot that I plan on visiting again.
3,Mankind, 1 star ,5 months ago,"don't enter this place if you are looking for an inclusive and safe space to just relax. It is not safe to order from the middle aged white guy behind the bar (has blue eyes, roughly 1.80 tall, worked on thursday the first of october around noon ). He is rude and will make you uncomfortable. The 'poffertjes' are stale."
4,Mankind, 5 stars ,2 years ago,"This was a great little bar to stop in the afternoon for a quick drink before a boat tour. The bar is small, cute, and has outdoor seating right on the water. They served us a cold coke and a tasty iced coffee and we relaxed in the sun. The …"
5,Mankind, 5 stars ,5 months ago,"The staff was really friendly and helpful. The sandwiches were awesome, and this was the first time we tried bitterballen, and it became an instant favourite!"
6,Mankind, 5 stars ,2 years ago,"Honest homemade tasty and cheap food.

Calm and charming location near the canals and not far from museums. …"
7,Mankind, 5 stars ,5 months ago,Super nice place. The best is having a table near the canal. Their IPAs are also very good !
8,Mankind, 5 stars ,2 years ago,"Found this place on an Amsterdam Gay guide but it’s not any more gay, or straight than anywhere else in this great city. It is , however, a great little restaurant/cafe with outdoor seating by a canal on a quiet street. I loved to come here everyday and have a delicious sandwich and a coffee and watch the neighborhood go by."
9,Mankind, 5 stars ,5 months ago,The lady was really nice and friendly and i loved the food. This was the first time i tried bitter ballen and it was awsome <3
10,Mankind, 5 stars ,2 years ago,"This Cafe is located in a quiet street, so you can enjoy sitting outside next to the Canal.
The Coffee is excellent aswell. …"
11,Mankind, 5 stars ,7 months ago,"Excellent food, very affordable. The location is pretty, close to the canal. The staff is friendly and does speak English. I strongly recommend this place!"
12,Mankind, 5 stars ,2 years ago,Stumbled here by accident but absolutely loved it. Bartenders and cooks were amazing. Had a sandwich that I would eat again any day.  I look forward to coming back
13,Mankind, 4 stars ,4 years ago,"Had the Caprese and turkey bacon sandwiches and a couple beers after escaping to the top deck during a rain storm. Good service, decent food, and good beer."
14,Mankind, 5 stars ,2 years ago,"A really cozy and affordable place to eat in Amsterdam, the food was delicious and had free water, definitely going back when we return to Amsterdam."
15,Mankind, 5 stars ,4 months ago,Friendly local cafe/bar by a canal. Good selection of sandwich options and tastey bitterballen
16,Mankind, 5 stars ,3 months ago,"Warm and friendly staff, yummy bitterballen and cozy atmosphere"
17,Mankind, 4 stars ,4 years ago,Came here just for a quick coffee but the staff were so friendly and welcoming! Beautiful location too right on the canal. Would definitely come back again.
18,Mankind, 5 stars ,2 years ago,"Best sandwich I've ever had. Would fly back 5,460 miles just for this place."
19,Mankind, 5 stars ,2 years ago,"Awesome place to relax on the channel’s side. Cheap prices and very big portions.  Not far from the museums, but outside of touristic roads;)"
20,Mankind, 5 stars ,2 years ago,This place was advertised in Google maps as LGBTQ+ but in reality it is very mixed with local workers and some tourists (although not many) attending as well as some gay people. …
