,Name,Review Rate,Review Time,Review Text
0,Mayur, 5 stars ,a month ago,Mayur cuisine has opened for over 38 years in this location. Over this time it is safe to say the food present is nothing less of perfection. Each meal has a particular blend of spices to fit its medium. The restaurant offers a variety of …
1,Mayur, 5 stars ,4 months ago,"I recently moved to OC and have been looking for good Indian food in my area. After trying 3 other places closer to us, we tried Mayur Cuisine of India. This was it! what I had been looking for! the food was fantastic! I had the lamb curry …"
2,Mayur, 1 star ,a month ago,The prices are high for the colored food that they offer. The taste is off even though some dishes look a little more authentic. Hate eating this kind of indian food as I'm from India. …
3,Mayur, 5 stars ,4 months ago,Owner was magnificent along with attentive service staff. The food was fabulous and fresh. The Naan bread was phenomenal. Assisted with pairing wine for our dinner. It is rare for us to have such a great experience and welcoming conversation in a new experience. Highly recommend.
4,Mayur, 5 stars ,3 months ago,"We love Indian food and have recently discovered this gem. The food is excellent and very high quality. After going 4 times, both my wife have decided this is our favorite Indian restaurant!"
5,Mayur, 5 stars ,2 years ago,"LOVE this place!
You’ll have to come during the weekday all you can eat buffet because wow, the food is worth it and you’ll get an amazing deal for it at just $14.95! …"
6,Mayur, 5 stars ,3 months ago,"We moved to California in February and this is my go to Indian restaurant. It’s my favorite Indian food in the world and I lived in India for three months. Stop everything and head over! My favorites are the bartha (eggplant), matar paneer …"
7,Mayur, 5 stars ,6 months ago,Mayur Cuisine of India has THE BEST food! The owner is so humble and sweet. She always comes to check on her customers and you can tell that they take pride in their food and in their service. Love this place! :)
8,Mayur, 2 stars ,3 weeks ago,The chicken was dry and tough and the shrimp was rubbery.  Food was expensive.  Still looking for a good Indian restaurant.
9,Mayur, 5 stars ,a month ago,"Loved this place and the service. Aside from the great food, customer service was amazing. The food arrived quickly and was very flavorful."
10,Mayur, 2 stars ,3 months ago,"The food isn’t worth the price. Nice vibe, great service but far from what I was expecting. I’ve paid half of what I did there and got twice as good food elsewhere."
11,Mayur, 5 stars ,7 months ago,Everything was amazing and this is the best Indian food I've had in years! We came very hungry and left more than satisfied. The garlic naan is to die for as well as the masala.
12,Mayur, 5 stars ,9 months ago,"Love this spot, been here for years. Excellent Indian food."
13,Mayur, 5 stars ,4 years ago,"We stopped by here randomly because we were so hungry and totally lucked out. Everything we ordered was absolutely delicious -  Chicken Tikka Masala, Bartha, Lentil Soup, Saag, and Mango Lassi. We especially loved the Tikka which had a …"
14,Mayur, 5 stars ,a year ago,"Healthy, tasty, and a Zagat award 👏
Wow !! Hitting on all points!! Plus supporting children's awareness by supporting the only candidate for a truly free America!! TRUMP 2020"
15,Mayur, 5 stars ,a year ago,"I hardly ever post reviews, but the second that  we walked up to this restaurant, the owner’s warm attitude was so inviting and every single bite of the food was absolutely incredible. The staff made sure that we were well taken care of. It …"
16,Mayur, 5 stars ,a year ago,"My fiance first brought me here about 2 years ago for me to try Indian food for the first time...I fell in L🧡VE! We are regulars here and we never leave disappointed. We purposely order too much because the leftovers are still so delicious! Aside from all of this, they have such a friendly staff and welcoming energy. 💫"
17,Mayur, 5 stars ,a month ago,"Excellent food and service. Taken care of by Rigo, great suggestions and service!"
