,Name,Review Rate,Review Time,Review Text
0,Meat & Greek, 5 stars ,a month ago,We had an incredibly delicious meat and pita meal! Not traditional Greek but a modern take on a gyro that was absolutely incredible. Also a very generous portion size.
1,Meat & Greek, 5 stars ,5 months ago,"Great spot for a very quick and tasty bite to eat. I love the veggie meat substitute and am hooked on the Chefs Choice with Fig Jam and Feta! The northern soul and classic soul music is great too. Big shout out to their staff, they are super friendly, it's a blessing"
2,Meat & Greek, 3 stars ,2 months ago,"Very delicious food, the Classic and the one with fig Jam are delicious. The (new) prices are too high though, 11 euros for a pita and 16 euro for the dish... There are similar places further up the street with the same quality and a much better price.."
3,Meat & Greek, 5 stars ,5 months ago,Lovely and cozy place with great staff! As soon as we arrived they offered us some appetizers with their great sauces in order to allow us to make up our mind on our order. Great gyro and delicious sauces. …
4,Meat & Greek, 5 stars ,3 months ago,"The chef’s favorite in Pita is out of this world.
Everything tastes fresh specially the bread.
Highly recommended."
5,Meat & Greek, 4 stars ,7 months ago,nice place to grab a quick lunch. you can pick your own mix or order their signature mixes. friendly staff
6,Meat & Greek, 4 stars ,5 months ago,Very tasty and well prepared greek food. Great for a quick and easy bite in the city to relax and enjoy some delicious food. Highly recommend adding the fig jam to your order. It adds a lovely touch to the already great food :) Dining in …
7,Meat & Greek, 5 stars ,4 months ago,"Very nice place in the center of Ansterdam! The pita-gyros sandwich comes in variety of fillings. The meat is great!!! The sauces are handmade , so don't expect any ketchup or fried potatoes, cause here only quality food is served! The owner is very friendly!"
8,Meat & Greek, 5 stars ,6 months ago,"I had the MOST AMAZING TIME. Seriously. I biked all day, I was tired and hungry. We took two specials with pork and sausage. The dishes were prepared quick, we didn't really wait and the food was perfect. Great meat, really generous …"
9,Meat & Greek, 4 stars ,6 months ago,"Tasty and not pricey, great fit for on the go lunches. The vegan option is good."
10,Meat & Greek, 5 stars ,9 months ago,"I brought a colleague here who has never had any food like this before and we both thought it was delicious. The restaurant is a little small but has great ambiance and fantastic staff, highly recommend."
11,Meat & Greek, 5 stars ,4 months ago,A small but welcoming place where you can find delicious food. Super friendly staff serve you big portions here. …
12,Meat & Greek, 5 stars ,5 months ago,"I almost don’t want to publish a review, because I don’t want this place to be flooded with people, but they really deserve all the cred in the world. Not only do they have the most delicious food (I’m looking at you chef’s choice), but the …"
13,Meat & Greek, 5 stars ,4 months ago,"👌🏼 recommend!! Great menu, i tried the Hot Greek Pita and it has a great spicy kick to it. Meat was tender, awesome portion size.  Great staff, fast service."
14,Meat & Greek, 5 stars ,a year ago,Best Gyros in Amsterdam. Freshly sliced gyros and fresh toppings. Staff wear masks and gloves.
15,Meat & Greek, 3 stars ,4 months ago,"Gyros were over priced, cold and lacked flavour but was edible unlike a lot of the other places I had visited. Not sure if you can really call it a gyro, no fries and you have to pay extra for tzatziki."
16,Meat & Greek, 5 stars ,8 months ago,"Very good gyros. It has much more ingredients then the ones you can eat in Greece, whether it's good or bad I guess it's personal. We ordered with extra meat and it didn't really look that big, I'd think that's more of a regular amount. Nevertheless if you're searching for gyros that's the place to check out."
17,Meat & Greek, 5 stars ,5 months ago,"Just a really good gyro pita. The best part about this place is the consistency. I've ordered a dozen times and the pita is always stuffed, always the way I order, and always delicious!"
