,Name,Review Rate,Review Time,Review Text
0,Meghna, 5 stars ,6 months ago,"Great service, great food.
We came there on a weekday night and the waiter was very skilled and so so attentive. The food was delicious, we had the massala, and the price was appropriate …"
1,Meghna, 5 stars ,8 months ago,"Already 6 years in a row, every year on our anniversary on the 23rd of June we come here for dinner! Great food and service as always! Great value (and volume) for money, it's sooo much delicious food!"
2,Meghna, 5 stars ,4 years ago,Delicious Indian food in a small but nice restaurant on walking distance from Rembrandt Square. Very popular by locals.
3,Meghna, 5 stars ,4 months ago,"Amazing food and service! Deserves more than 4,2 stars."
4,Meghna, 1 star ,2 years ago,"This restaurant is a great place if u want to get ill treated and neglected over Europeans by an Indian restaurant. Would not recommend to other Indians, as this restaurant doesn't want you there based on the unwarmth and angry faces of …"
5,Meghna, 4 stars ,a year ago,The food was fresh and very tasty! The service was great and the price was very good too considering the location. Would highly recommend and will go back there when next in Amsterdam.
6,Meghna, 4 stars ,2 years ago,"Meghna is a nice Indian restaurant with a friendly and professional staff.
The food was good and the quantity was good too, even if they are smaller than in many Indian restaurants I went to. However the nans and especially the cheese …"
7,Meghna, 1 star ,2 years ago,This place is definitely a bad choice to have Indian food. The quantity of the food is less with its over priced menu. The waiter and the manager didn’t treat us good. They just take your plate as soon as you complete without even asking your permission. Please look for other Indian restaurants.
8,Meghna, 5 stars ,2 years ago,Lovely little restaurant in Amsterdam. Had a range of curries including familiar ones and others. We finished all of our food and it was delicious. Waiters were friendly and the atmosphere was good.
9,Meghna, 4 stars ,3 years ago,"Nice restaurant. Food is average and prices are a bit high but it is expected since its an Indian restaurant. Seats are very limited, the place is congested but i have no problem to go back there. I tried the king prawns with coconut cream, it was good 👍🏻"
10,Meghna, 1 star ,2 years ago,"If you are an Indian, please don't go to this place. Its just a waste of time and money as per the food.
The service was good. The place is very small, so very congusted. The food didn't tasted near to Indian food."
11,Meghna, 5 stars ,2 years ago,"Authentic Indian cooking, friendly service and very affordable. Meghana is family owned and definitely worth a visit if you are a fan of Indian cuisine."
12,Meghna, 5 stars ,3 years ago,"We took chicken Tandoori and Lamb meat. Excellent the food was really good. A little advice for the staff, please wait till the client finishes eating before clearing the table. That would be great 😉"
13,Meghna, 5 stars ,a year ago,Lovely family owned restaurant with super tasty food and the service is always with a smile. One of my favorite indian spots in the city center
14,Meghna, 2 stars ,2 years ago,"Nice atmosphere, pleasant music and nice staff. Only problem was the food which was really undercooked and we did not get enough rice for two people."
15,Meghna, 5 stars ,4 years ago,If you like indian food this place is a must stop in Amsterdam! Its a lovely indian restaurant with very nice and friendly staff. I have eaten a lot of indian and this would be my 2nd best indian in my life. (Chicken makini) is the dish i bought
16,Meghna, 5 stars ,2 years ago,"A family favorite. Wonderful and authentic Indian food, and the staff is absolutely lovely! The chicken tika and panner kurma (vegetarian) are our favorites."
17,Meghna, 4 stars ,4 years ago,"Nice, small and warm restaurant. The menu is Indian but the food is an European version. Quite good though. The service is nice and welcoming."
18,Meghna, 4 stars ,2 years ago,"Nice and attentate staff, meals come quickly and taste quite well. Moderate prizes for Amsterdam.
You can sit inside only."
19,Meghna, 4 stars ,3 years ago,We stopped by this restaurant for dinner. Tried lamb biryani and chicken curry. Loved it. Tasty and reasonable prices. Would definitely recommend.
20,Meghna, 4 stars ,8 months ago,"Excellent food, affordable prices, good services."
21,Meghna, 1 star ,3 years ago,"The staff was not friendly, i found a hair in my Sambousa, and although they did change it, however they tried to convince me that it was a skin of vegetables or whatever which is totally unprofessional and they didn't even try to apologies for that."
22,Meghna, 5 stars ,4 years ago,Great food! Really light. And great value. Hidden gem! And staff (Hussain) was very welcoming! Thanks guys.
23,Meghna, 5 stars ,4 years ago,Very good food. I had chicken tikka and the soup was very good too. Price is average like any other restaurants in that area.
24,Meghna, 5 stars ,2 years ago,"Absolutely brilliant Indian food for a good price. If you love Indian food, this is a MUST. Stop reading this, go eat."
25,Meghna, 4 stars ,3 years ago,"Decent food, just the chicken madras was below expectations. Service was really fast and the personnel friendly."
26,Meghna, 5 stars ,4 years ago,"Amazing.. Rice pudding, sheek kebab and rogan josh is good.. Good value for money.. Highly recommended. I am an indian so trust me i know my indian food 😊"
