,Name,Review Rate,Review Time,Review Text
0,Mei Wah, 4 stars ,2 months ago,"Food is pretty good, got here quickly through thusibezorgd. Pretty basic but not overly expensive."
1,Mei Wah, 4 stars ,4 months ago,Pretty good food and fast delivery. Its not the best place to get your chinese food but it didnt dissapoint me.
2,Mei Wah, 1 star ,8 months ago,"A BIG BIG BIG disappointment! The food is not tasty at all, very fat/oily and what should have been crispy was not. It’s a Chinese restaurant who’s claiming to make Indonesian dishes but it looks and tastes nothing like Indonesian. Also, …"
3,Mei Wah, 5 stars ,a year ago,"Although our order was overseen - in a corona-driven chaos - which resulted in a 50 minute takeaway waiting time, the quality of food here is still outstanding. If you want some old fashioned but excellent chinese food this is the place to be."
4,Mei Wah, 5 stars ,2 years ago,"Good Chinese food. The combination dishes (€14 Euro) are big enough to share with friends. Upgrade to a big container of noodles or fried rice for €2,90.
Would certainly go here again!"
5,Mei Wah, 1 star ,a year ago,"When you’re way too late with delivering the order and take the horn of the hook for at least half an hour so not to answer to the costumers, you’re not doing a good job running that business... …"
6,Mei Wah, 3 stars ,3 years ago,Ordered takeaway. Food was tasty and portions generous... However 2 out of the 3 things I ordered were wrong. …
7,Mei Wah, 1 star ,7 years ago,"We got takeaway and had to call three times to ask where the food was, whereof they hung up on us without answering or question twice. On top of that, the food was tasteless and overpriced."
8,Mei Wah, 2 stars ,5 years ago,"It is OK if you take-away.

Very western chinese restaurant, everything very saucy, but they use the same vegetables in every dish."
9,Mei Wah, 4 stars ,5 months ago,Good food
10,Mei Wah, 5 stars ,7 months ago,Good food. Good place. Recomended.
11,Mei Wah, 5 stars ,3 years ago,Outstanding!!! Excelent customer service and food!! Amazing
12,Mei Wah, 5 stars ,3 years ago,Affordable and delicious👌👌👌
13,Mei Wah, 5 stars ,2 years ago,A must
14,Mei Wah, 5 stars ,2 years ago,Great staff!
15,Mei Wah, 1 star ,5 months ago,"(Translated by Google) Had to wait 15 minutes before I could order, was simply ignored.. while I was the only customer in the store.. …"
16,Mei Wah, 1 star ,3 months ago,"(Translated by Google) Where I always picked up noodles with chicken, 1 skewer of satay and beef in red sauce + beef in green sauce, the chicken suddenly disappeared, and the beef with the different sauces that were previously packed in …"
17,Mei Wah, 1 star ,4 months ago,"(Translated by Google) Called MEi Wah to say I want to order food I Would be better off getting takeout as would be very busy. I then indicated that I did not want any food. Then it could be ordered and it would take an hour, no problem, …"
