,Name,Review Rate,Review Time,Review Text
0,Melly’s Cookie Bar, 5 stars ,9 months ago,Small and cosy place with great location. The homemade deserts are delicious and coffees are quite good. Service is nice. One of the good alternatives in the center to give a break and relax.
1,Melly’s Cookie Bar, 5 stars ,4 months ago,"I got just perfect coffee for my lunchbreak. It was tasty, the right temperature and with alternative milk! And croissant was delicious. Highly recommended!"
2,Melly’s Cookie Bar, 5 stars ,a year ago,Is the best 3 leches cake ever! I bought for my birthday and all my friends love it. This was the first time that my friends have 3 leches cake but I eat 3 leches cake in all my birthdays and this is just the best one! The milk stay inside …
3,Melly’s Cookie Bar, 4 stars ,2 years ago,"This shop is all about dulce de leche
They have alfajores, meringues sandwiches with this caramel filling
The treats have a homemade feel although it’s not for people who don’t like …"
4,Melly’s Cookie Bar, 5 stars ,4 months ago,"A local family owned business in the middle of the city. Great Coffee and baked goods to die for, not kidding. the smell brought us in."
5,Melly’s Cookie Bar, 5 stars ,3 years ago,"Love! The staff (felt genuinely happy and friendly), the coffee and... all the cakes and cookies. They also have savoury dishes, but I'll try all the sweet stuff first. Will definitely come back. ❤"
6,Melly’s Cookie Bar, 5 stars ,3 years ago,"Nice small and cosy place with delicious coffee and brownies. Found it on our first day in the city and kept coming back to it!
It's nicely situated right near the city center and the view from it is perfect. Felt like home.
Recommended! ;)"
7,Melly’s Cookie Bar, 4 stars ,4 years ago,"Follow my best reviews on Instagram @comfortcomida

Oh man, there was so many delicious-looking treats it was hard to choose! It …"
8,Melly’s Cookie Bar, 3 stars ,3 years ago,Great atmosphere even though there are not many seatings. Not really worth the money foodwise. Melly's specialty cookies were pretty tasteless.
9,Melly’s Cookie Bar, 5 stars ,2 years ago,"Small cafe but good cakes and coffee, nice staff. I ordered a ginger lemon sponge cake, really nice."
10,Melly’s Cookie Bar, 5 stars ,4 years ago,"Never had a better brownie than at mellys! Delicious, you really have to try it when you are nearby! Also the Cappuccino is really really great.love it!"
11,Melly’s Cookie Bar, 5 stars ,4 years ago,"Lovely tiny shop in the heart of Amsterdam. It’s a great spot to sit and see the crowd walk by. Their coffee is good but their pastries are divine, try (and fall in love with) their alfajores."
12,Melly’s Cookie Bar, 4 stars ,5 years ago,"A very good place with delicious cakes.
The caramel jam must be bought very good.
They don't accept visa or master cards"
13,Melly’s Cookie Bar, 4 stars ,2 years ago,"Alfajores, cookies and plenty more delicious pastries as well as great coffee - can also recommend their stroopwaffel place two houses down the road 🙌🏻"
14,Melly’s Cookie Bar, 5 stars ,4 years ago,"I went to this place 3 times on my 3 day visit to Amsterdam. Try espresso with apple strudel and enjoy the lovely atmosphere, the view, and the friendly people in this coffee shop."
15,Melly’s Cookie Bar, 5 stars ,8 months ago,"Very good chai latte and hot chocolate. The cinnamon buns were simply delicious. I loved the atmosphere, very cozy. Friendly staff"
16,Melly’s Cookie Bar, 5 stars ,5 years ago,"I LOVE Melly's ... Just round the corner from Dam Square.  Great pastries, great coffee!  Check out the bakery to the side of the Barista counter; that's where the magic happens! :)"
17,Melly’s Cookie Bar, 5 stars ,a year ago,"Amazing place to have some Argentinian dessert, specially the delicious 3 leches cake 🍰 and a coffee!!!"
18,Melly’s Cookie Bar, 5 stars ,4 years ago,A nice local ambiance with awesome cookies. One of the best Mokka I've ever had !
19,Melly’s Cookie Bar, 5 stars ,4 years ago,"My favorite chai latte in the city, and a great choice of cakes and cookies. The best place to enjoy rainy Sunday afternoon."
20,Melly’s Cookie Bar, 5 stars ,7 months ago,Amazing croissants and espresso and very friendly service. 10/10 would recommend.
21,Melly’s Cookie Bar, 5 stars ,3 years ago,"Delicious homemade cookies and cakes. Very nice owners and cozy and homey place.
I'm so glad we run  in this place accident. Love it."
22,Melly’s Cookie Bar, 5 stars ,4 years ago,Chocolate cookie outstanding.  Sarah makes an amazing Latte Macchiato.   Beautiful and the tastiest!
23,Melly’s Cookie Bar, 5 stars ,5 years ago,"Had a great experience at Melly's today, I expected cookies but instead was tempted with Alfajores, Cubanitos and a Mocha... Just incredible!!! My favourite was the Cubanitos ;)"
24,Melly’s Cookie Bar, 4 stars ,4 years ago,"Good and reasonably priced coffee, friendly staff and nice dessert with caramel cream!!!"
25,Melly’s Cookie Bar, 5 stars ,4 years ago,Great carrot cake and coffee - and even soy chai latte :)
26,Melly’s Cookie Bar, 5 stars ,2 years ago,"I personally love to come here to sit down and enjoy the city life of Amsterdam. The staff is really friendly and while there is limited seating, most of the customers start small talks with each other. This causes a nice home like vibe in …"
27,Melly’s Cookie Bar, 5 stars ,2 years ago,Super cozy and the size of the ginger tea is generous:)
28,Melly’s Cookie Bar, 5 stars ,2 years ago,"Amazing selection of desserts from carrot cakes and cookies to chocolate cakes and cinnamon rolls. Might be very crowded depending on how lucky you are, since the place itself is not too big. If you can’t make it to indoor seating - would still recommend giving it a try!"
29,Melly’s Cookie Bar, 5 stars ,2 years ago,Excellent cookie and the best espresso I've had in Amsterdam!
30,Melly’s Cookie Bar, 3 stars ,3 years ago,"It could be a good place for winter because is very warm inside (so in spring or summer not at all). However, prices are expensive and honestly I expected more. Cakes and brownies are good and cappuccino is very normal too but I tryed …"
31,Melly’s Cookie Bar, 2 stars ,3 years ago,"We went to the bar because of the good reviews we saw here, but it's nothing we read. The place is behind the most famous square in the city, the most busy place in Amsterdam, but I do not think the place is suitable for tourists. First, …"
32,Melly’s Cookie Bar, 5 stars ,3 years ago,"Skip the tourist cafés and find your way here!!
This place is amazing & we came back multiple times on this trip & we will back shortly! …"
33,Melly’s Cookie Bar, 5 stars ,2 years ago,Small but friendly place with yummy tasty pastries
34,Melly’s Cookie Bar, 5 stars ,4 years ago,"Love it!

Good coffee, and one of the best pieces of carrot cake I have tasted in a long …"
35,Melly’s Cookie Bar, 4 stars ,2 years ago,"Really good coffee, cookies/cakes and sandwiches. Nice and cosy. One star off because the fresh juices are served in plastic cups with a plastic straw, even if you don't order it as takeaway. There are many other sustainable options available for restaurants, so single use plastic is just not acceptable anymore."
36,Melly’s Cookie Bar, 5 stars ,6 years ago,"We visited Melly's place guided by its rating in Google Maps and we are really glad we did! All the service was great! Polite, friendly and fast. We ordered one cappuccino with a croissant for each of us (2); they were amazing!! But the most delicious sweet was ""coquitos"". I strongly recommend them. I will come back for sure."
37,Melly’s Cookie Bar, 4 stars ,5 years ago,"Friendly, helpful staff. Lovely coffee and a great selection of sweet things to eat."
38,Melly’s Cookie Bar, 5 stars ,5 years ago,"The best place for a decent espresso macchiato in this area of Amsterdam. Ignore everywhere else until you've tried here, and if you find anywhere better then let me know. The coffee is good, the food is good, the staff are lovely, the views are good. Go here. Go here now."
39,Melly’s Cookie Bar, 5 stars ,a year ago,Their pastries are sooo delicious... And the girl working behind the counter is always friendly! Definitely recommend :)
40,Melly’s Cookie Bar, 1 star ,3 years ago,"I stopped by because from outside the shop looks nice and characteristic, but unfortunately it was quite disappointing. Food is not so bad but it is expensive and definitely looks better than it tastes. On top of that the owner's way of …"
41,Melly’s Cookie Bar, 5 stars ,2 years ago,"It was our first stop in Amsterdam, and what a great one ! Fresh handmade Juice, cool Latte, and their cakes are so good ! We love our first try with BananaBread at Melly's !"
42,Melly’s Cookie Bar, 5 stars ,3 years ago,Really good coffee and the chocolate cake was to die for. Highly recommended!
43,Melly’s Cookie Bar, 5 stars ,a year ago,"One of the best cafe’s in Amsterdam!
Great coffee, awesome sweets (Amazing alfajores!!) …"
44,Melly’s Cookie Bar, 5 stars ,2 years ago,"We absolutely loved the coffee,cookies and cinnamon bun. The staff are very friendly and the cafe is quaint and adorable. I would have come back everyday if I could have."
45,Melly’s Cookie Bar, 5 stars ,4 years ago,"I'm picky about my cappuccino and, honestly, the one I was served was really good, right proportion of coffee and milk, good coffee base, right fat proportion milk was used as per traditional recipe, and the foam was right, not airy and …"
46,Melly’s Cookie Bar, 5 stars ,5 years ago,Fantastic homemade sweets and cakes. Quaint and charming atmosphere and delicious goodies.
47,Melly’s Cookie Bar, 5 stars ,5 years ago,"A quiet oasis from the chaos of dam square. We needed a coffee break - so glad I remembered passing this one on multiple occasions, but had never been in. Great tea and coffee selection and super friendly and helpful service was a real plus. Wide selection of sweet treats for a pick me up if also needed!"
48,Melly’s Cookie Bar, 2 stars ,5 years ago,"The place had great reviews, so my expectations were high. When I entered the bar there were no proper tables, just some tables and a narrow window desk. The barista promised that they have the best coffee in the town, so I decided to let …"
49,Melly’s Cookie Bar, 5 stars ,7 months ago,Amazing desserts and coffee. Is a good people watching spot
50,Melly’s Cookie Bar, 5 stars ,4 years ago,"Pricey, but it's normal  for  its  location just next to Dam Square.
The coffee is very good, but you must try also the  pastries!
Staff really nice  and helpful, if you want to have breakfast or just a coffee break in the  centre, this is The perfect spot."
51,Melly’s Cookie Bar, 5 stars ,3 years ago,"Great coffee, friendly staff. We really enjoy having a good cup of coffee to start our day and this hit the spot. prices also seemed reasonable to me."
52,Melly’s Cookie Bar, 1 star ,2 years ago,"Worse pastry Cafe in Amsterdam!

They overcharge you 30% more if you don't count! Bought 4 product. 2 of 1 euro, …"
53,Melly’s Cookie Bar, 5 stars ,a year ago,"Dulce de Leche cookies = heaven
Great coffee too! Limited seating, have yours to go"
54,Melly’s Cookie Bar, 1 star ,3 years ago,I would never recommend this place to anybody. The staff was extremely disrespectful and does not show any understanding for illnesses that require special needs. You cannot even use the restroom in peace if necessary (for people affected …
55,Melly’s Cookie Bar, 5 stars ,3 years ago,"I found this place on my very first day living in Amsterdam. I fell in love with their Argentinian style pastry and their coffee and I 've come back many times. Now that I am moving, I am gonna miss them a lot"
56,Melly’s Cookie Bar, 4 stars ,5 years ago,"Lovely café. Heel gezellig! It's a cozy spot, great to get away from the busy amsterdam vibe. The desserts are very good, they offer some alternative diet products as well (vegan or paleo)."
57,Melly’s Cookie Bar, 5 stars ,8 months ago,Super  place! Nice coffee en cakes!! Try it!
58,Melly’s Cookie Bar, 5 stars ,2 years ago,A great coffee stop. The espresso was perfect!
59,Melly’s Cookie Bar, 5 stars ,4 years ago,"Excellent value for money, rare for such a central location. Staff is super friendly and everything I have tried fresh and tasty (been here 3 times so far) Tip: go for the brownie and/or chocolate cake"
60,Melly’s Cookie Bar, 5 stars ,5 years ago,"Great place to find argentine products. I really like stopping here for a coffee and an alfajor. There's place for about 6 people to sit down,
So either buy to take away, or expect to be lucky and find a chair"
61,Melly’s Cookie Bar, 5 stars ,2 months ago,Cozy atmosphere and friendly staff!
62,Melly’s Cookie Bar, 2 stars ,5 years ago,"It's a small place, can't really sit down to enjoy coffee. Coffee was ok, nothing special, I went there because of the excellent reviews, but felt like it was just an average place, mainly for take away coffee."
63,Melly’s Cookie Bar, 5 stars ,2 years ago,Yummiest Mocha with cream ...sinful
64,Melly’s Cookie Bar, 5 stars ,2 years ago,"the place is located in a great location, just behind Dam square. it is small but very welcoming, the pastry is excellent and Daniel the owner is very kind."
