,Name,Review Rate,Review Time,Review Text
0,Melly‚Äôs Cookie Bar, 5 stars ,9 months ago,Small and cosy place with great location. The homemade deserts are delicious and coffees are quite good. Service is nice. One of the good alternatives in the center to give a break and relax.
1,Melly‚Äôs Cookie Bar, 5 stars ,4 months ago,"I got just perfect coffee for my lunchbreak. It was tasty, the right temperature and with alternative milk! And croissant was delicious. Highly recommended!"
2,Melly‚Äôs Cookie Bar, 5 stars ,a year ago,Is the best 3 leches cake ever! I bought for my birthday and all my friends love it. This was the first time that my friends have 3 leches cake but I eat 3 leches cake in all my birthdays and this is just the best one! The milk stay inside …
3,Melly‚Äôs Cookie Bar, 4 stars ,2 years ago,"This shop is all about dulce de leche
They have alfajores, meringues sandwiches with this caramel filling
The treats have a homemade feel although it’s not for people who don’t like …"
4,Melly‚Äôs Cookie Bar, 5 stars ,4 months ago,"A local family owned business in the middle of the city. Great Coffee and baked goods to die for, not kidding. the smell brought us in."
5,Melly‚Äôs Cookie Bar, 5 stars ,3 years ago,"Love! The staff (felt genuinely happy and friendly), the coffee and... all the cakes and cookies. They also have savoury dishes, but I'll try all the sweet stuff first. Will definitely come back. ❤"
6,Melly‚Äôs Cookie Bar, 5 stars ,3 years ago,"Nice small and cosy place with delicious coffee and brownies. Found it on our first day in the city and kept coming back to it!
It's nicely situated right near the city center and the view from it is perfect. Felt like home.
Recommended! ;)"
7,Melly‚Äôs Cookie Bar, 4 stars ,4 years ago,"Follow my best reviews on Instagram @comfortcomida

Oh man, there was so many delicious-looking treats it was hard to choose! It …"
8,Melly‚Äôs Cookie Bar, 3 stars ,3 years ago,Great atmosphere even though there are not many seatings. Not really worth the money foodwise. Melly's specialty cookies were pretty tasteless.
9,Melly‚Äôs Cookie Bar, 5 stars ,2 years ago,"Small cafe but good cakes and coffee, nice staff. I ordered a ginger lemon sponge cake, really nice."
10,Melly‚Äôs Cookie Bar, 5 stars ,4 years ago,"Never had a better brownie than at mellys! Delicious, you really have to try it when you are nearby! Also the Cappuccino is really really great.love it!"
11,Melly‚Äôs Cookie Bar, 5 stars ,4 years ago,"Lovely tiny shop in the heart of Amsterdam. It’s a great spot to sit and see the crowd walk by. Their coffee is good but their pastries are divine, try (and fall in love with) their alfajores."
12,Melly‚Äôs Cookie Bar, 4 stars ,5 years ago,"A very good place with delicious cakes.
The caramel jam must be bought very good.
They don't accept visa or master cards"
