,Name,Review Rate,Review Time,Review Text
0,Moeke‚Äôs, 5 stars ,2 years ago,"I am so happy I stumbled across this place! These were definitely the best fries I’ve had in Amsterdam, there are so many topping and sauce choices. I chose the medium fries with the slow cooked beef topping, original mayo and smokey bbq sauce and wow, so delicious."
1,Moeke‚Äôs, 5 stars ,2 years ago,"The best fries in Holland so far, if you'd ask me 😏 The pulled pork was very good, the stew was not bad but could have been way better unfortunately. Definitely going back though! Overall the quality of the food is amazing 🤩"
2,Moeke‚Äôs, 1 star ,3 years ago,"Really puzzled by how you could mess up fries, nasi or chicken satay, but these guys managed it. The plain nasi was fine, but the fries were the saltiest I've ever had, up to the point you really don't want to continue eating. The satay …"
3,Moeke‚Äôs, 5 stars ,4 years ago,"If you are in Amsterdam, one of there food attraction is frites (fries). Fries indeed were not originally from France, but from Belgium and as Amsterdam is in such close proximity, they adopted the Belgium style frites and now we have …"
4,Moeke‚Äôs, 5 stars ,2 years ago,"Nice fries and chicken sate. A bit high prices, but that's probably also due to the location...a main Street, so lot of tourists walking."
5,Moeke‚Äôs, 5 stars ,2 years ago,"Big selection of toppings for fries, I recommend pulled pork with the best sounding sauce. Fast service."
6,Moeke‚Äôs, 4 stars ,5 years ago,"Pretty good - we got the chips with pulls pork and BBQ sauce - sauce was yummy, pork tasty and chips perfectly crisp - way better than the other chips we had on the Main Street"
7,Moeke‚Äôs, 5 stars ,4 years ago,"Some of the best chips in Amsterdam. Fairly priced, great if your looking for a snack to eat while exploring the city"
8,Moeke‚Äôs, 5 stars ,3 years ago,Best fries in town!
9,Moeke‚Äôs, 5 stars ,3 years ago,More on @amystice90 Instagram page
10,Moeke‚Äôs, 4 stars ,2 years ago,"(Translated by Google) Super delicious fries that can be upgraded with all sorts of different toppings. Very nice owner, short waiting times. Unfortunately not very cheap. …"
11,Moeke‚Äôs, 5 stars ,2 years ago,"(Translated by Google) The potatoes are very rich, the pulled pork with delicious barbecue sauce, a small clean and simple place, very good attention. …"
12,Moeke‚Äôs, 5 stars ,4 years ago,(Translated by Google) Exceptional. The best and crispy potatoes I have eaten ... I recommend this place 100% …
13,Moeke‚Äôs, 5 stars ,3 years ago,(Translated by Google) Delicious chicken satay with fresh fries! They make their Indonesian satay sauce all by themselves !!!! When I am in Amsterdam I walk a bit to end my day with Moekes. …
14,Moeke‚Äôs, 3 stars ,2 years ago,"(Translated by Google) You should not offer Falafel, if you do not have ... 😭 The cheese was a bit weird, but in the overall picture you can eat a frit 👍🏼 …"
15,Moeke‚Äôs, 5 stars ,3 years ago,"(Translated by Google) Super nice guy in a super nice, beautifully decorated satay shop on the Zeedijk! I am really happy with this concept in this street. …"
16,Moeke‚Äôs, 4 stars ,5 years ago,"(Translated by Google) Tasty fries and finally a stew in the neighborhood!

(Original) …"
17,Moeke‚Äôs, 4 stars ,3 years ago,"(Translated by Google) Nice food but you have to wait a long time.

(Original) …"
18,Moeke‚Äôs, 2 stars ,3 years ago,"(Translated by Google) Always closes well before 21:00

(Original)
Sluit altijd ruim voor 21:00"
19,Moeke‚Äôs, 5 stars ,4 years ago,"(Translated by Google) Delicious!

(Original)
Super lekker!"
