,Name,Review Rate,Review Time,Review Text
0,Mondo mediterraneo, 5 stars ,7 months ago,"Best place in Amsterdam to enjoy fresh made authentic Italian food. I love their ravioli and pasta salads, stir fried mushrooms and meat balls"
1,Mondo mediterraneo, 5 stars ,5 months ago,"We had a superb private-dining experience at Mondo with a group of colleagues. Good food, great wine and very friendly staff!"
2,Mondo mediterraneo, 5 stars ,5 months ago,"Great place to have a (private) dining experience. Thanks a million Gianmarco and team - the food, drinks and coffee were great!"
3,Mondo mediterraneo, 5 stars ,3 years ago,"Lovely, tasty food and hospitality. We arrived just before closing, tired from traveling and they welcomed and nourished us. Vegetables roasted and seasoned to perfection with a smoky cheese lasagna studded with vegetables. Robust meaty …"
4,Mondo mediterraneo, 5 stars ,7 months ago,What a baby place and so delicious panini
5,Mondo mediterraneo, 5 stars ,2 years ago,Amazing small Italian restaurant. Delicious dishes beautiful interior. Very warm and polite stuff.
6,Mondo mediterraneo, 4 stars ,a year ago,"Very friendly service and tasty food! I tried an eggplant dish, a lasagne and a stuffed mushroom. All very tasty. Also the pastel de nata was a great dessert! Coffee was very good as well. The only thing I don't like is that I didn't see …"
7,Mondo mediterraneo, 5 stars ,a year ago,Mondo mediterraneo took care of our wedding meal at home! The food was great and also the service is very good. The food came in plates and bowls that we can directly put on the table and looks very nice. They are lovely people! And the shop is also a must go to... everything looks so nice.
8,Mondo mediterraneo, 5 stars ,4 years ago,A location for a relaxing lunch with some friends. Beautiful and delicious food and a wonderful staff to support you during the meal. Great for casual relaxing occasions and discussions.
9,Mondo mediterraneo, 5 stars ,a year ago,"Authentic, selecting very high quality of all the ingredients yet keeping it simple, every dish is excellent, all in a beautiful environment whit smile and courtesy of the owners and personnel. …"
10,Mondo mediterraneo, 5 stars ,7 months ago,Fantastic food. You don't even have to be hungry to eat here. Just looking at the food will do that.
11,Mondo mediterraneo, 5 stars ,4 years ago,This is a wonderful family owned place. We had a late lunch there and the Italian owner was prepping food for a catering set up later own. It was amazing to see all the fresh market ingredients. Food quality is excellent and always fresh …
12,Mondo mediterraneo, 5 stars ,10 months ago,"Very cute Italian place with great food! Awesome sourdough bread, sourdough lovers need to give it a try!"
13,Mondo mediterraneo, 5 stars ,a year ago,"Lovely home made Italian food to pick up, I enjoyed a nice dinner with their delicious products. Will definitely visit again to fill up my pantry with Italian food!"
14,Mondo mediterraneo, 5 stars ,3 years ago,"Pure food, real people, great place.

Go there if you love Italy; the dishes are pure Italian goodness, the people are …"
15,Mondo mediterraneo, 5 stars ,3 years ago,"Authentic Italian place. It’s easy to find good food in Amsterdam. The reason I like this place so much is because this spot has it all. Tasty dishes, welcoming, cosy and relaxed atmosphere, indoor and outdoor seating, take away, affordable prices and owners that are passionate about what they do. Recommended!"
16,Mondo mediterraneo, 5 stars ,2 years ago,"Nice place with friendly stuff . Good prices and tasty food ! Many vegetarian / vegan choices as well and good quality ingredients ! Either sitting in , or taking away , the food will never disappoint you . It’s a bit too oily to be honest , but it’s excellent quality Italian olive oil !"
17,Mondo mediterraneo, 5 stars ,a year ago,"Food is wonderful, taste is superb, delicious & fresh. Staff is super nice and the you can find the best italian products!"
18,Mondo mediterraneo, 5 stars ,2 years ago,Really good food and excellent service!
19,Mondo mediterraneo, 3 stars ,5 years ago,"The food is okay, but takes too long to have a simple dish there. We usually go for lunch on  Friday nearby, and this is one of the options. Is a bit expensive for the overall service (quality, waiting time, variety...). Is an option for casual lunch with friends."
20,Mondo mediterraneo, 5 stars ,3 years ago,Amazing food! Everything was fresh and tasty. We had a lovely time and the two women working were super fun to be around!
21,Mondo mediterraneo, 5 stars ,a year ago,Amazingly fresh and authentic Italian food for takeaway. Best in Amsterdam!!
22,Mondo mediterraneo, 5 stars ,2 years ago,"Friendly staff, well thought out classy restaurant, attention to detail was spot on, small menu but resulted in well prepared, nicely presented and delicious food."
23,Mondo mediterraneo, 5 stars ,4 years ago,I simply love this place! Real tasty italian food! Cosy atmosphere! Feels like home :)
24,Mondo mediterraneo, 5 stars ,6 years ago,Food was amazing and service was fantastic! The staff is very friendly and welcoming! Located in a very nice neighborhood.
25,Mondo mediterraneo, 5 stars ,a year ago,"Lovely place, great atmosphere and great people. The food is to die for!!"
26,Mondo mediterraneo, 4 stars ,4 years ago,"Nice dishes. Also take away.  Perfect place For a cozy, wam and romantic lunch/dinner."
27,Mondo mediterraneo, 5 stars ,2 years ago,Best Italian food in Amsterdam! Great service! Highly recommended 😁
28,Mondo mediterraneo, 5 stars ,2 years ago,Absolutely delicious. The service is really good.
29,Mondo mediterraneo, 5 stars ,2 years ago,"They are open again, finally! Delicious, now with extended room for sitting"
30,Mondo mediterraneo, 5 stars ,a year ago,The best Italian food in the neighborhood. Maybe in Amsterdam!
31,Mondo mediterraneo, 3 stars ,5 years ago,"Great food, too bad lunch can be so expensive :/ Ouch"
32,Mondo mediterraneo, 4 stars ,3 years ago,Cozy Italian place. Many different choices for a tasty meal.
33,Mondo mediterraneo, 5 stars ,4 years ago,Awesome Italian food with a very good people.
34,Mondo mediterraneo, 4 stars ,3 years ago,Different dishes everyday to eat in or take out. Everything made with love.
35,Mondo mediterraneo, 5 stars ,3 years ago,The food was delicious and the service was spectacular!
36,Mondo mediterraneo, 5 stars ,a year ago,"As always, great food"
37,Mondo mediterraneo, 5 stars ,3 years ago,"Lovely staff, helpful, and amazing food!"
38,Mondo mediterraneo, 5 stars ,3 years ago,Nice Italian traditional food.
39,Mondo mediterraneo, 5 stars ,5 years ago,Amazing food and service!
40,Mondo mediterraneo, 5 stars ,5 years ago,Splendid!
41,Mondo mediterraneo, 5 stars ,4 years ago,Super!
42,Mondo mediterraneo, 4 stars ,2 years ago,"(Translated by Google) Nice dishes, nice combinations, done so 'in' the kitchen. Not all perfect but definitely worth a try. …"
43,Mondo mediterraneo, 5 stars ,5 months ago,(Translated by Google) Like being in Italy. Cozy place to eat and good value for money …
44,Mondo mediterraneo, 5 stars ,2 years ago,"(Translated by Google) Authentic Italian food, very tasty and good service!

(Original) …"
45,Mondo mediterraneo, 5 stars ,2 years ago,"(Translated by Google) Great Italian restaurant. The welcome and the service are perfect. The delicious dishes. We are in the heart of Italy
Many thanks to Monica for her kindness and professionalism. Without it, this …"
46,Mondo mediterraneo, 5 stars ,a year ago,"(Translated by Google) Lovely shop! Fresh dishes, real Italian..A pleasure to go here. We will come back again for sure! …"
47,Mondo mediterraneo, 5 stars ,3 years ago,"(Translated by Google) Stepped in last night to eat something! Ladies super friendly! Food was delicious! Big 5 stars thanks girls !!! We will definitely return, but then we will also taste everything! …"
48,Mondo mediterraneo, 4 stars ,4 years ago,"(Translated by Google) Super nice people, delicious products, you can taste. Last time bought balsamic vinegar, now a liter of extra virgin olive oil. …"
49,Mondo mediterraneo, 5 stars ,a year ago,(Translated by Google) High quality gastronomic products. The best Italian restaurant in Amsterdam …
50,Mondo mediterraneo, 5 stars ,3 years ago,"(Translated by Google) Top tent. The food is absolutely delicious. Dear people, best restaurant in Amsterdam! …"
51,Mondo mediterraneo, 5 stars ,a year ago,"(Translated by Google) Excellent quality products. Everything is great!

(Original) …"
52,Mondo mediterraneo, 5 stars ,4 years ago,"(Translated by Google) Top food, everything made with great care, fresh and delicious combinations …"
53,Mondo mediterraneo, 5 stars ,3 years ago,(Translated by Google) A very pleasant surprise. A corner of Italy of great taste and elegance …
54,Mondo mediterraneo, 5 stars ,2 years ago,(Translated by Google) Excellent.very good very welcoming thank you Monica for this good evening 😘 …
55,Mondo mediterraneo, 5 stars ,a year ago,"(Translated by Google) Cafe to go and stuff. Apple cake. Fine service.

(Original) …"
56,Mondo mediterraneo, 5 stars ,4 years ago,"(Translated by Google) Great food, very friendly staff.

(Original) …"
57,Mondo mediterraneo, 5 stars ,2 years ago,"(Translated by Google) Delicious authentic Italian food.

(Original) …"
58,Mondo mediterraneo, 4 stars ,6 years ago,"(Translated by Google) Great food, nice friendly service.

(Original) …"
59,Mondo mediterraneo, 5 stars ,a year ago,"(Translated by Google) Best Italian caterer in town

(Original) …"
60,Mondo mediterraneo, 3 stars ,3 years ago,"(Translated by Google) Eat well but come out very expensive !!!!!

(Original) …"
61,Mondo mediterraneo, 5 stars ,2 years ago,"(Translated by Google) Pricey but very tasty

(Original)
Prijzig maar erg lekker"
62,Mondo mediterraneo, 5 stars ,5 years ago,"(Translated by Google) Very tasty and friendly caterer.
Just try. …"
63,Mondo mediterraneo, 4 stars ,a year ago,"(Translated by Google) Delicious

(Original)
Heerlijk"
64,Mondo mediterraneo, 4 stars ,2 years ago,"(Translated by Google) Mmmm,

(Original)
Mmmm,"
65,Mondo mediterraneo, 5 stars ,a year ago,"(Translated by Google) Yami yami! 💚

(Original)
Yami yami!💚"
66,Mondo mediterraneo, 5 stars ,3 years ago,"(Translated by Google) Mediterranean food. Rich, rich ...

(Original) …"
67,Mondo mediterraneo, 5 stars ,3 years ago,"(Translated by Google) Delicious !!!!

(Original)
Heerlijk!!!!"
68,Mondo mediterraneo, 5 stars ,3 years ago,
69,Mondo mediterraneo, 5 stars ,2 years ago,
