,Name,Review Rate,Review Time,Review Text
0,Mossel & Gin, 4 stars ,a month ago,"A fun and easy dinner location. They have a large gin menu and the mussels are good. The service is really good though - both servers we met went above and beyond and were smiley and friendly. We sat outside on the terrace, we were worried …"
1,Mossel & Gin, 5 stars ,6 months ago,"Mussels perfectly cooked. Mussels were on the large side, and they were juicy. The options we tried was the Roquefort and the mustard versions. Both Roquefort and mustard are strongly flavored, so we were slightly wary that they would …"
2,Mossel & Gin, 5 stars ,a month ago,mussles truffle isbone of my favorite foods in the whooole world🤤 the place is clean and looks good! the food itself is unquestionable!😋
3,Mossel & Gin, 5 stars ,4 months ago,Great food; friendly and professional service; gin tonic are really tasty as the food. I definitely recommend to have a dinner in this special restaurant
4,Mossel & Gin, 5 stars ,7 months ago,"Great cocktails and a nice choice Mussels with different sauces. If you enjoy different Gin based cocktails, highly recommend."
5,Mossel & Gin, 5 stars ,8 months ago,We love this place - the service is just unbeatable! Everyone who works there is really nice and welcoming and the food is just so comforting. Mussels were so good! Highly recommend the Thai coconut and cheese mussels. One of my favorite places in Amsterdam.
6,Mossel & Gin, 4 stars ,a year ago,Really nice atmosphere. It's quite a small restaurant but it is on two floors so in these Covid-19 troubled times it means it is quite spacious and cosy due to social-distancing. We found the staff to be friendly and efficient. I for one …
7,Mossel & Gin, 3 stars ,9 months ago,Crowded place but everything is done so that tables are set apart. Great outdoor space with the parc around! The food was a bit disappointing for the price (20€ for a mussel main): the mussels were not actually cooked in the sauce (I picked …
8,Mossel & Gin, 5 stars ,4 months ago,"I really liked the food there. We've ordered one mussels pot for couple with some sides and it was plenty enough. Everything ordered there was fresh, tasty and delivered to the table in a record time. I'll definitely come back once I have a chance to visit Amsterdam again."
9,Mossel & Gin, 5 stars ,5 months ago,"Nice and friendly Service, delicious Oysters and the Mango infused, Chili Pepper Gin Tonic was amazing."
