,Name,Review Rate,Review Time,Review Text
0,Mr. Sam Asian Bistro, 5 stars ,7 months ago,"Perfect !
The service is excellent
The food is excellent, asian receipes with a modern twist , very fresh and tasty …"
1,Mr. Sam Asian Bistro, 5 stars ,a week ago,"Une pépite !

It was an absolutely delightful experience , the staff was incredibly nice and …"
2,Mr. Sam Asian Bistro, 5 stars ,a year ago,"Very good, well balanced, well flavoured and well designed food: pleasant to look at and great taste.
What more can you say about a restaurant experience? Oh yes, the waitresses were …"
3,Mr. Sam Asian Bistro, 5 stars ,6 months ago,Wow wow wow. I have walked past this place a million times and by happy accident tonight a friend and I dined here. We actually had a booking at a well known restaurant across the road which was in a state of complete bedlam with tables not …
4,Mr. Sam Asian Bistro, 3 stars ,a year ago,"With food enchanting both your eyes as your palate, Mr.Sam Asian Bistro could have been a perfect place to take out your loved one for a dinner. Too bad the services are not rising to the food level or the high prices! We had a reservation …"
5,Mr. Sam Asian Bistro, 1 star ,5 months ago,"It’s sad that I have to give a 1 as the food was very good, but unfortunately the waitress made me feel so uncomfortable. When she took our order I am 100% certain I ordered fried rice but got white rice instead. I immediately said “no I …"
6,Mr. Sam Asian Bistro, 4 stars ,3 years ago,The concept of this restaurant is that  a meal is an occasion for friends/family/couples etc. to share time and food so that everyone at the table (if they want) can have a bite of each course. They serve some of the most typical dishes of …
7,Mr. Sam Asian Bistro, 5 stars ,5 months ago,"Delicious food, delicious wine. The staff was super friendly and the service was amazing. They really give a personal touch to the manor of service which we really loved."
8,Mr. Sam Asian Bistro, 5 stars ,2 years ago,"Amazing experience! Great tasty food with some unique twists, and friendly service willing to chat if desired. One of my favourite restaurants in Amsterdam!"
9,Mr. Sam Asian Bistro, 5 stars ,4 years ago,"The service was fantastic, everyone is very nice and friendly.
The food was of a very high standard (try the salmon cevice) and prices fair.
Would definitely recommend."
10,Mr. Sam Asian Bistro, 5 stars ,3 months ago,"Great food and exceptional service, one of the best dining experiences I’ve had."
11,Mr. Sam Asian Bistro, 4 stars ,8 months ago,"Very good food, probably some of the best Asian fusion I ever had. However I was a bit disappointed with the service and the vibe of the restaurant. Don’t get me wrong, everyone that I interacted with was nice, but considering the large …"
12,Mr. Sam Asian Bistro, 5 stars ,6 months ago,Very innovative fusion menu - definitely recommend sharing the small dishes across a group. Good price for the high quality.
13,Mr. Sam Asian Bistro, 4 stars ,9 months ago,"The food was delicious, creative and beautiful to look at however be warned that it is on the pricey side. Look at it as an experience eating here. Servers are very attentive, sometimes a bit too attentive which feels as if they are pushing …"
14,Mr. Sam Asian Bistro, 5 stars ,5 years ago,Good beers. good vibe. friendly staff. very nice food. good price. we want to come back next time.  nearby Olympic stadium parking.
15,Mr. Sam Asian Bistro, 5 stars ,4 months ago,Great ambience! Perfect for sharing exquisite little dishes (generous portions)
16,Mr. Sam Asian Bistro, 5 stars ,2 years ago,"Had a great time with my love ones, together with one of best taste of the Far East."
17,Mr. Sam Asian Bistro, 5 stars ,4 months ago,"It is a restaurant with a comfortable intimate atmosphere, the food is excellent so is the staff"
18,Mr. Sam Asian Bistro, 5 stars ,a year ago,"We ordered mr Sam Experience at Home and indeed: what an experience! Top quality food, most certainly the best take away initiative of Amsterdam. We cannot wait to return to this fine dining place!"
19,Mr. Sam Asian Bistro, 5 stars ,5 months ago,"Great place. Friendly staff , inventive and high quality cuisine."
20,Mr. Sam Asian Bistro, 5 stars ,3 years ago,"We really enjoyed our meal here. Our waiter was very helpful in guiding our dish and wine selections.
The gyoza dumplings were a big hit as was the sushi. …"
21,Mr. Sam Asian Bistro, 5 stars ,a year ago,Good food and service. Menu marked clearly with allergens in each dish. Very cute space inside. A bit pricy but the quality of the food matches the price. Overall a nice experience.
22,Mr. Sam Asian Bistro, 5 stars ,2 years ago,"Mr. Sam is just around the corner for me. On the outside it looks like a dark and small place, but once you enter the restaurant you really get absorbed into the atmosphere. It's a cosy wine and dine place, the sushi is amazing so make sure …"
23,Mr. Sam Asian Bistro, 3 stars ,3 years ago,"Food was good, but the system didn't flow well, 3 dishes came out,  then we waiting almost an hour before the next 3. All dishes were shared, but some were preferred only by some people,  so one of our party waited almost 2 hours to eat!  So a little disjointed, however quite tasty."
24,Mr. Sam Asian Bistro, 5 stars ,5 years ago,"Lost and alone, I was lucky enough to have my phone battery die as I walked up to the entrance of Mr Sam. I stopped in, an hour before they were scheduled to open and was met at the bar by Mr Sam himself. …"
25,Mr. Sam Asian Bistro, 4 stars ,4 years ago,"Dishes are a bit hit and miss but generally very tasty food, very attentive service and nice decor. My daughter loves this place. My only gripe is that drink portions vary depending on which waiter pours them. Sometimes I end up with a teeny tiny glass of wine!"
26,Mr. Sam Asian Bistro, 3 stars ,3 years ago,"Disappointing. Tried a wide selection of meals, one or two were almost great, some were average, and some were not great. Ambiance and decor fits a high-end billing, and the staff were nice, so I guess it's still a usual restaurant for some …"
27,Mr. Sam Asian Bistro, 5 stars ,a year ago,"I tried 8 different dishes, all of them were spectacular, but even better, the service was amazing. I think this is my favourite restaurant in Amsterdam so far."
28,Mr. Sam Asian Bistro, 5 stars ,3 years ago,"Awesome sharing dishes, so tasty and fresh. Everything we ordered was delicious. Attentive staff and hip decor. Highly recommend the house rose for a light accompanying drink."
29,Mr. Sam Asian Bistro, 4 stars ,3 years ago,"Excellent food in a very nice bistro. Recommended you try the Carpaccio! Was on the expensive side, expect at least 45€ per person for enough dishes and some wine. Service kind of slow but with the location being so cozy it doesn't matter."
30,Mr. Sam Asian Bistro, 5 stars ,3 years ago,"Great service and unique servings of asian food. I explained that I had some allergies for certain ingredients, then the sous chef Phil personally dropped by to explain all the different ingredients that were used in the dishes. Thanks for taking the time to check-in with us!"
31,Mr. Sam Asian Bistro, 5 stars ,6 months ago,Nice service and good food. Loved it
32,Mr. Sam Asian Bistro, 3 stars ,2 years ago,"Good food but the portion is really small. If they could increase the portion, then I would say it could be worth visiting. Slightly overprice in my opinion."
33,Mr. Sam Asian Bistro, 5 stars ,a year ago,"Verry good food, you can taste Asia. Try the Korean BBQ ribs at least. Our visit was made complete with friendly and competent staff."
34,Mr. Sam Asian Bistro, 5 stars ,4 years ago,"I had the dimsum, beef skewers and the pork belly. Also had some sweet potato fries on the side (they are called sweet potato chips). With more sides two dishes could have been enough. Everything tasted great, at a total of 40 Euro's per person (without drinks) it's not cheap though."
35,Mr. Sam Asian Bistro, 5 stars ,3 years ago,"Fabulous dinner with friends at this gem of a place. Super friendly staff, top-notch dishes, pleasing decor. Definitely worth a repeat visit!"
