,Name,Review Rate,Review Time,Review Text
0,Mr. Sister Foodbar, 5 stars ,4 years ago,Top place for lunch🍴nice view and friendly stuff
1,Mr. Sister Foodbar, 5 stars ,4 years ago,Best place for sunny weather. Make sure to take a seat by the ij and enjoy the view!
2,Mr. Sister Foodbar, 5 stars ,4 years ago,Excellent restaurant right on the river. Staff were very friendly with one guy jumping up from what was clearly his own dinner to get us seated and happy before one of the other staff took over. …
3,Mr. Sister Foodbar, 5 stars ,4 years ago,In the middle of the hectic urban city of Amsterdam you can have a relaxed stop and have excellent food and drinks with a nice breeze at the river ij. The staff is friendly and cheerful.
4,Mr. Sister Foodbar, 1 star ,4 years ago,Probably the worst service in Amsterdam. We waited 45 minutes for 2 coffees and a Fanta. Terrible! Better to take the free ferry service to Amsterdam North and have coffee at the tolhuistuin.
5,Mr. Sister Foodbar, 5 stars ,4 years ago,Cool name for a cool foodie's cafe!
6,Mr. Sister Foodbar, 4 stars ,4 years ago,cozy with a nice view. The coffee is really tasty. And the prices is reasonable.
7,Mr. Sister Foodbar, 5 stars ,5 years ago,Delicious food! Try the fried food special w/ 2 Heineken beers included!
8,Mr. Sister Foodbar, 5 stars ,4 years ago,It's a nice spot to chill with friends and enjoy the beautiful view by the river
9,Mr. Sister Foodbar, 3 stars ,5 years ago,"The view and the food is good. But damn, they're sooooooooo sloooooooow."
10,Mr. Sister Foodbar, 3 stars ,5 years ago,Great location. But too expensive vs quality offered
11,Mr. Sister Foodbar, 5 stars ,4 years ago,"Ok, nice and ok, the service quite pleasing for Amsterdam standard's"
12,Mr. Sister Foodbar, 4 stars ,5 years ago,Nice smoothie of the day! Good view
13,Mr. Sister Foodbar, 2 stars ,3 years ago,Nice spot but there are better on the area
14,Mr. Sister Foodbar, 4 stars ,4 years ago,Great coffee and views of the water
15,Mr. Sister Foodbar, 5 stars ,4 years ago,"Delicious, quality food and the best Carrot Cake I've ever had."
16,Mr. Sister Foodbar, 5 stars ,4 years ago,Nice place at the river IJ.
17,Mr. Sister Foodbar, 5 stars ,4 years ago,Nice ambiance and friendly staff.
18,Mr. Sister Foodbar, 1 star ,4 years ago,"(Translated by Google) Not eaten so badly for a long time. A chicken thigh skewer, what could you ruin that now, would you think? No this is really very bad. The chips were not well cooked and were in a bottom of moisture, which is evident …"
19,Mr. Sister Foodbar, 1 star ,4 years ago,(Translated by Google) ordered a salad. for 9.50 I think it is very small. it contains 3 pieces of chicken. and the tomatoes also look like they have had their best time. a bit of a shame …
20,Mr. Sister Foodbar, 2 stars ,4 years ago,"(Translated by Google) Nice place but we had to wait 45 minutes for a croquette sandwich. Drink of the matter, then again .... …"
21,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Wonderfully quiet on the Ij and yet in the background you can hear the buzz of the city.
Delicious coffee, friendly and neat service. …"
22,Mr. Sister Foodbar, 1 star ,4 years ago,(Translated by Google) ordered a salad. for 9.50 I think it is very small. it contains 3 pieces of chicken. and the tomatoes also look like they have had their best time. a bit of a shame …
23,Mr. Sister Foodbar, 3 stars ,4 years ago,(Translated by Google) Nice location but small on the inside and don't seem to be used to crowds. We ate delicious carrot cake …
24,Mr. Sister Foodbar, 5 stars ,5 years ago,(Translated by Google) Super nice tent. Friendly service that helped us with a big smile. The food was very good. Definitely come back again! …
25,Mr. Sister Foodbar, 3 stars ,4 years ago,"(Translated by Google) Nice view but the service is very variable. Simple card.

(Original) …"
26,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Delicious iced coffee, just as tasty as in Italy!

(Original) …"
27,Mr. Sister Foodbar, 5 stars ,4 years ago,(Translated by Google) A restaurant with beautiful views of the river and a tasty meal at an affordable price. …
28,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Brilliant place and nice service

(Original) …"
29,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Nice view, good coffee and delicious pistachio cake.

(Original) …"
30,Mr. Sister Foodbar, 4 stars ,3 years ago,"(Translated by Google) Nice place, good food

(Original)
Leuke tent, lekker eten"
31,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Beautiful!

(Original)
Mooi!"
32,Mr. Sister Foodbar, 5 stars ,4 years ago,
33,Mr. Sister Foodbar, 5 stars ,4 years ago,"(Translated by Google) Pleasant service.

(Original)
Příjemná obsluha."
34,Mr. Sister Foodbar, 3 stars ,4 years ago,"(Translated by Google) Nice view

(Original)
Mooi uitzicht"
35,Mr. Sister Foodbar, 4 stars ,4 years ago,
36,Mr. Sister Foodbar, 3 stars ,4 years ago,
37,Mr. Sister Foodbar, 4 stars ,5 years ago,
38,Mr. Sister Foodbar, 4 stars ,4 years ago,
39,Mr. Sister Foodbar, 5 stars ,4 years ago,
40,Mr. Sister Foodbar, 5 stars ,3 years ago,
41,Mr. Sister Foodbar, 2 stars ,4 years ago,
42,Mr. Sister Foodbar, 4 stars ,4 years ago,
43,Mr. Sister Foodbar, 4 stars ,5 years ago,
44,Mr. Sister Foodbar, 4 stars ,4 years ago,
45,Mr. Sister Foodbar, 4 stars ,4 years ago,
46,Mr. Sister Foodbar, 4 stars ,5 years ago,
47,Mr. Sister Foodbar, 5 stars ,4 years ago,
48,Mr. Sister Foodbar, 2 stars ,5 years ago,
49,Mr. Sister Foodbar, 5 stars ,4 years ago,
