,Name,Review Rate,Review Time,Review Text
0,Narbonne, 4 stars ,3 years ago,"Very good food with a wide range of choices on the menu, as well as daily specials.  Service was also nice."
1,Narbonne, 5 stars ,4 years ago,"Great food French-Spanish in a cosy little restaurant delivering a variety of tapas, must try squid fins, oyster, scallop, lambshank. But everything else also worth it. Reservation highly recommended"
2,Narbonne, 5 stars ,3 years ago,Great food. Tapas style and full main courses available. Shared tapas and really enjoyed every dish.
3,Narbonne, 4 stars ,3 years ago,"Very tasty food. We all enjoyed what we ordered.
The service was a little slow, especially considering we were the only ones in the restaurant. But the food does make up for it! …"
4,Narbonne, 5 stars ,4 years ago,"no draft beers, but they have moderate selection of bottled beer and a great selection of wine. …"
5,Narbonne, 5 stars ,4 years ago,"The best food i have ever tried! Very big choice, for vegetarians as well, the atmosphere is very cosy) super tasty! Very much recommended."
6,Narbonne, 5 stars ,3 years ago,"This is a place where you can feel the passion for doing something special, a family restaurant with a great variety of tasty food. i was really impressed with their food and the coziness of the place."
7,Narbonne, 5 stars ,4 years ago,Little but nice place. Very kind girls ans vert good food. It's better to book. Price very good . We have spent less than 20 euro eating meat and drinking bear. There is also a kids menù.
8,Narbonne, 4 stars ,3 years ago,"Small place next to busy cafe but don't pass it by. Fabulous tapas, french style."
9,Narbonne, 5 stars ,4 years ago,"The staff are so friendly and accommodating. Small, intimate venue with soft lighting and easy listening music in the background. The food is absolutely without fault."
10,Narbonne, 1 star ,3 years ago,"Truly amazing food, but the owner is quite racist, and favour people from Netherland. If you're an English speaker, only go to Narbonne if you have a lot of time ahead of you  because you're gonna wait for a while. The experience is still worth it though, which shows how great the food is!"
11,Narbonne, 1 star ,8 years ago,"20min to take the order... 45min waiting for the meal, three little pieces of meat for 12,95 euro! If you don't speak dutch, you'd better eat elsewhere."
12,Narbonne, 5 stars ,2 years ago,"We had another great experience at Narbonne. The menu of the day contained some suprising fish dishes. We especially liked the French take on ceviche and the scallops in duck butter. The tender, fall of the bone lambs shank was once again simply unsurpassed. Thank you"
13,Narbonne, 5 stars ,4 years ago,Order the lamb tagine. Divine
14,Narbonne, 5 stars ,4 years ago,Everything is delicious.
15,Narbonne, 5 stars ,3 years ago,Super
16,Narbonne, 5 stars ,3 years ago,"(Translated by Google) The dishes we ordered were excellent! The service very efficient, and the value for money very correct. Little attention, we had the menu offered in our language. We will keep fond memories of this restaurant located …"
17,Narbonne, 5 stars ,7 years ago,"(Translated by Google) The food here is delicious, a complete meal with every dish well prepared and very friendly staff. Value for your money! …"
18,Narbonne, 5 stars ,5 years ago,(Translated by Google) Our favorite restaurant for years. Great food in a pleasant environment. …
19,Narbonne, 5 stars ,2 years ago,"(Translated by Google) Fine restaurant, delicious food (Teryaki). Service very friendly, not very fast with the food but we were in no hurry and it was excellent making it more than worth the wait. Absolute must! …"
20,Narbonne, 5 stars ,3 years ago,(Translated by Google) Very tasty and rightly scented dishes. This is the best restaurant of our stay in Amsterdam. Sufficient quantities. …
21,Narbonne, 5 stars ,3 years ago,"(Translated by Google) Good luck. Red wine good. Friendly staff and service. If you want to eat quietly, you must go. …"
22,Narbonne, 5 stars ,5 years ago,"(Translated by Google) Great tasty food. What a surprise!

(Original) …"
23,Narbonne, 5 stars ,7 years ago,(Translated by Google) Somewhat small and inconspicuous. But I rarely ate as well as here. …
24,Narbonne, 4 stars ,7 years ago,"(Translated by Google) If you want something to eat in peace is the right place. Small, clear menu plus a daily menu. …"
25,Narbonne, 5 stars ,3 years ago,"(Translated by Google) Nice place, super delicious tapas, great service ... definitely worth a visit! …"
26,Narbonne, 4 stars ,3 years ago,"(Translated by Google) Great food, but not the best place for vegans.

(Original) …"
27,Narbonne, 5 stars ,3 years ago,"(Translated by Google) Delicious food and friendly service. Really recommended!

(Original) …"
28,Narbonne, 5 stars ,4 years ago,"(Translated by Google) Eat very delicious !!!

(Original)
Super lecker gegessen!!!"
29,Narbonne, 5 stars ,3 years ago,"(Translated by Google) I liked everything, excellent value for money 🤩

(Original) …"
