,Name,Review Rate,Review Time,Review Text
0,Nelis, 4 stars ,3 years ago,A really lovely evening. The restaurant is nicely laid out with lots of light. You can sit outside of the Dutch weather allows. The service is excellent with two friendly waitresses who were faultless. The menu is varied with some …
1,Nelis, 3 stars ,3 years ago,"Good food, very friendly waitress, bit expensive. One big mistake; we ordered a starter and explicitly requested it without meat and when the starter arrived there was meat on top of  1 dish...the solution of the chef was to just take off the meat from the top of the dish...... not very professional :-("
2,Nelis, 4 stars ,4 years ago,"Good food, nice service. The shared mussels dish is huge and can easily feed 3 people or be a filling appetizer for 4. It also comes with a starter and a bottle of wine for €55, so it's a decent deal (though they could use a few more pieces …"
3,Nelis, 5 stars ,5 years ago,"Very good and tasty AH restaurant offer meal! Amazingly good service, and super friendly staff!  Left the place with a big smile"
4,Nelis, 5 stars ,5 years ago,"We loved the place, the food quality is great but what sold us was the hospitality. Just those simple things as taking your coat and checking if everything was ok made us feel more welcomed and at ""home"". Can recommend for a nice night out, …"
5,Nelis, 5 stars ,5 years ago,"Supreme quality food and service! I ordered a fish dish with vegetables. Fresh and full of taste, really worth trying. Passion fruit ice cream is refreshing! Strongly recommend."
6,Nelis, 3 stars ,3 years ago,"I don’t get the superhigh rating here. The food was good but not spectacular. The usual things were on the menu. Among others a cheesefondue, odd choice considering the cheese fondue restaurant a few doors down the street. Would’ve given it a 4 star rating were it not for the loud dance music making it impossible to have a conversation."
7,Nelis, 5 stars ,5 years ago,We loved it. The waitresses were all very accommodating and the food is delicious. Add the cozy atmosphere and you've got a winner. Can definitely recommend.
8,Nelis, 4 stars ,5 years ago,"Cosy place, delicious food. Average main course price is 18-19€. Ordered duck breast which was very tasty. It was pretty busy on a sunday evening. There were two waitresses, who were kind but I missed the smile on their face."
9,Nelis, 5 stars ,5 years ago,Great food and good service. Just a normal restaurant with great food and lovely atmosphere. As a local it's great to have such a nice place around the corner.
10,Nelis, 4 stars ,5 years ago,"Plus points: service, beautiful presentation of food in terms of color composition, good value …"
11,Nelis, 5 stars ,4 years ago,"Excellent Dutch restaurant.
As a starter, we shared a plate with small bites of different kinds. Everything was very tasty and good."
12,Nelis, 5 stars ,3 years ago,Food was quite excellent. Service not fast but all wait staff was not only very friendly but also very knowledgeable about the dishes and ingredients.
13,Nelis, 5 stars ,5 years ago,"Fantastic service, extremely friendly staff. The food was great, especially the Black Angus steak, that was a surprise to me, deliciously cooked."
14,Nelis, 5 stars ,4 years ago,Great little local restaurant using local produce and simple cooking. Delicious and recommended for a visit!
15,Nelis, 5 stars ,6 years ago,"Lovely restaurant, delicious food and friendly owner! This place is really worth having a dinner there!"
16,Nelis, 5 stars ,3 years ago,Very tasty food. Excellent Staff. Reasonable prices.:)
17,Nelis, 5 stars ,5 years ago,Very good and friendly personal.  The food is amazing and by waiters very good suggestions what to take.
18,Nelis, 5 stars ,5 years ago,Great food. Good service. Higher end of the price range.
19,Nelis, 5 stars ,4 years ago,"Amazing food, very nice ambiance and friendly staff."
20,Nelis, 5 stars ,5 years ago,"Awesome place! Great service, amazing food and fair prices."
21,Nelis, 5 stars ,4 years ago,"Great food and atmosphere, nice and welcoming staff."
22,Nelis, 5 stars ,5 years ago,"Real good food, real good quality. Not disappointed, and I'm picky."
23,Nelis, 5 stars ,5 years ago,Great food and service definitely recommend and get your self the hoisin duck
24,Nelis, 4 stars ,4 years ago,Good food but service not so much
25,Nelis, 5 stars ,4 years ago,"Excellent food at excellent prices, good service"
26,Nelis, 5 stars ,4 years ago,"Good service, great food and nice atmosphere"
27,Nelis, 5 stars ,5 years ago,Hidden gem. Surprisingly no queues. Absolutely delicious food.
28,Nelis, 5 stars ,5 years ago,Very nice place. Interesting menu.
29,Nelis, 5 stars ,5 years ago,"Lovely service, decor and food"
30,Nelis, 5 stars ,3 years ago,Very nice place! Always great service.
31,Nelis, 5 stars ,4 years ago,Great food and good service
32,Nelis, 5 stars ,4 years ago,"Cosy place, great service and delicious food"
33,Nelis, 5 stars ,5 years ago,Nice friendly place with reasonable pricing
34,Nelis, 5 stars ,4 years ago,Best garlic gambas ever!
35,Nelis, 5 stars ,3 years ago,👌🏽 Congratulations on your service and quality.
36,Nelis, 5 stars ,5 years ago,Nice place to stay and work.
37,Nelis, 5 stars ,5 years ago,Excellent restaurant!
38,Nelis, 5 stars ,6 years ago,(Translated by Google) Today eaten with my girlfriend at this nice restaurant in East. Upon arrival cheerfully received by the hostess. The restaurant has a nice fresh decor and it is clear to see that a lot of time and care is spent on it. …
39,Nelis, 5 stars ,4 years ago,"(Translated by Google) On vacation in Amsterdam with my partner we spent our meal of December 31 in this restaurant. The welcome was really perfect, the food delicious, the place full of charm. We had a great time. The waitress speaks very …"
40,Nelis, 5 stars ,7 years ago,"(Translated by Google) A cozy restaurant where personal attention is central. Great food, personal attention from the hostess in an open environment that is cozy and relaxed. The open kitchen ensures that you can literally take a look at …"
41,Nelis, 5 stars ,5 years ago,"(Translated by Google) Atmospheric bistro restaurant with a beautiful, versatile menu. I ate a nice medium rare steak, which came after a platter with five different appetizers to get the taste buds going. The steak was of very good quality …"
