,Name,Review Rate,Review Time,Review Text
0,New Times coffeeshop, 5 stars ,2 weeks ago,The girl at the bar was very friendly and nice and I followed their advice... Good choice
1,New Times coffeeshop, 5 stars ,2 months ago,"Great place, Personal is very friendly and will help you to choose a right stuff"
2,New Times coffeeshop, 5 stars ,2 years ago,Best spot in town. Super chill vibe and the staff is awesome. Product is out of   this world way better than their neighbors or anyone else around. We came from New York City and checked out a lot of spots this is the one. See y’all soon
3,New Times coffeeshop, 4 stars ,3 years ago,Nice shop. All their buds come in jars which is very environmental friendly. But I do like some nice fat buds when I buy 2 gs and this way you mostly get small ones. Menu is quite expensive and not all the strains are worth their price. Did score some great SSD though. Friendly staff and chilled vibes when we visited (midday midweek)
4,New Times coffeeshop, 5 stars ,7 months ago,"Perfect coffeeshop, staff excellent and friendly, all kind of stuff that you need, and if u want more strong, there is some mushroom shop next to), if u want a pretty good chill moment just stop there for a while and see the magic coming 🎉 …"
5,New Times coffeeshop, 5 stars ,3 years ago,"Excellent location in a classic area This is the best place to relax, also they have all kinds of weed & hash"
6,New Times coffeeshop, 4 stars ,4 months ago,"Friendly staff, nice music and ambient."
7,New Times coffeeshop, 5 stars ,5 months ago,Sick place with good weed and best music.
8,New Times coffeeshop, 5 stars ,5 months ago,"Wonderful place, serious jams, excellent coffee!!"
9,New Times coffeeshop, 5 stars ,2 years ago,"My favorite place, good quality weed and nice staff. I recommend it."
10,New Times coffeeshop, 5 stars ,5 months ago,"Great place for great chill.

Love the terrace"
11,New Times coffeeshop, 5 stars ,4 years ago,Awesome experience with awesome employee's and very knowledgeable american dealer who told us we should smoke the shoreline and def enjoyed the heck out of it. Also coffee girl was sweetest ever and made me a delicious milkshake. only minus no seating left :(  def recommend visit and will come back again in couple months.
12,New Times coffeeshop, 5 stars ,2 years ago,"A great little shop with a great quality of weed and helpful suggestions from the staff. Caught the shop at a quiet moment in the morning and it was very chill, music not too loud or intense and the staff were very helpful with suggesting …"
13,New Times coffeeshop, 5 stars ,a year ago,"Medical User from Germany, and I use to smoke (inhale) every day measured weed with 25% THC.......
I have been twice in this shop, and I picked up twice good weed. First time some …"
14,New Times coffeeshop, 5 stars ,2 years ago,"Love this spot. Super place to chill in their comfortable smoking area. And the products.....AMAZING! 3 stand out strains of the trip purchased here. Go, Buy & Enjoy!"
15,New Times coffeeshop, 5 stars ,4 years ago,Was great for getting some top quality cannabis friendly staff very helpful. Was close to are hotel so was great for a wake and bake or a nice chilled evening. There is also seating outside if you wish to sit outside.
16,New Times coffeeshop, 4 stars ,7 months ago,Nice👍👍❤️
17,New Times coffeeshop, 5 stars ,4 years ago,"Awesome place, awesome location - for nonsmokers, I'd say it's your place to go...chill crowd and chill environment, they offer cannibis tea and brownies that will do their job, trust me! Stay safe and stick to one!"
18,New Times coffeeshop, 5 stars ,2 years ago,"Very nice and helpful staff, good coffee (the actual drink) and the weed comes in a glass jar. Over all it was a really great experience."
19,New Times coffeeshop, 5 stars ,5 years ago,Best place you could ask for. The owner is lovely and the staff are very friendly.  Been to this place for 4 years now and hasn't disappointed me once...  Their selection is desirable so you won't feel cut out x
20,New Times coffeeshop, 5 stars ,3 years ago,Some of the best strains I have had.. staff are very friendly and like to get involved with the customers a wide variety of buds nice chilled place to chill an relax will be going back every time I go to Amsterdam
21,New Times coffeeshop, 5 stars ,2 years ago,"Super cool place with good quality weed for a fantastic price and good music. The drink were a little bit expensive but other than that, fantastic."
22,New Times coffeeshop, 5 stars ,4 years ago,Really recommend this place. Very helpful and friendly staff. Very nice atmosphere. Busy cafe but for good reason. Defiantly one to add to this list of coffee shops to visit
23,New Times coffeeshop, 5 stars ,7 months ago,"Love this place , one of rhe bwst of amsterdam , go eye closed 🥰"
24,New Times coffeeshop, 5 stars ,2 years ago,Lovely place! Best place to go in Amsterdam if you need good coffee and good weed. Spend your best times at New Times!
25,New Times coffeeshop, 5 stars ,a year ago,"Absolutely amazing. Great staff and stuff. Dude who recomended me amnesia haze, thank you! 11/10"
26,New Times coffeeshop, 5 stars ,9 years ago,"Very nice cofeeshop. Small wih excelent atmoshpere and tHE BEST Milkshake in Amsterdam.
Excelent products , and the music playilist was obviously looked into by someone …"
27,New Times coffeeshop, 4 stars ,3 years ago,"Nice coffee shop to chill and relax in and seem to have some good variety in there... one thing I'm sceptical about is this so called ""cali"" bud that gets sold for 45 a G in these kinds of places. I just think it's plain rip off"
