,Name,Review Rate,Review Time,Review Text
0,New York Pizza, 1 star ,2 years ago,"The Diet Coke was amazing. Definitely not deserving of the “New York” name before describing it as pizza. Yes, it’s dough, cheese, & sauce but this is far from New York pizza in that its air dried and ehh because they probably use subpar ingredients. Perfect for when the munchies kick in but regrettable after they wear off."
1,New York Pizza, 1 star ,5 months ago,"An employee sold me a pizza without warning that I can’t seat inside. I had a lot of stuff in my hands.
Employee proposed me to get my pizza and go outside (no terrace though) - …"
2,New York Pizza, 4 stars ,3 months ago,"Not the best, but tastes really good when grabbing one of those huge slices of pizza on the go."
3,New York Pizza, 5 stars ,4 months ago,The best pizza I've ever eaten..delicious!😍😍
4,New York Pizza, 3 stars ,2 years ago,"Pretty nice, small space and they have tiny burgers, no ananas"
5,New York Pizza, 2 stars ,2 years ago,"Not really tasty, not really cheap, service not particularly friendly, not really clean."
6,New York Pizza, 5 stars ,3 years ago,"Your vegan pizza is amazing!!! Come to New Zealand, I promise to order a pizza every day! 😛"
7,New York Pizza, 5 stars ,3 years ago,Best pizza I’ve ever had it’s a shame we don’t have a New York pizza in the UK now when I’m feeling hungry for pizza I can go back to Amsterdam. Seriously you won’t be disappointed by the food here.
8,New York Pizza, 3 stars ,3 years ago,Good variety of pizzas and slices - staff were friendly
9,New York Pizza, 2 stars ,2 years ago,"I'm pretty sure that one of the workers throw the trash and came back to work without washing his hands (unless there is a washing sink outside the pizza place). From the other hand, the other guy that worked there was extremely nice to my …"
10,New York Pizza, 5 stars ,2 years ago,"I think that for those money that you pay you have a nice service and quality of food. Of cause it's not a five-star restaurant, just a fast-food but if you don't want to spend more then 6€ - that's exactly what you need."
11,New York Pizza, 4 stars ,3 years ago,"Great for a late night snack. They sell pizza by the slice as well as full pizzas.
It’s quiet a small pizza place so sometimes it’s tough to find a seat. But getting a slice on the go works a treat."
12,New York Pizza, 3 stars ,a year ago,Actually better than expected. Pizza is nice and tasty. The place is a bit small and not super confortable. But ideal for a quick bite.
13,New York Pizza, 2 stars ,4 years ago,"I really have struggled to understand this chain. The high reviews suggest a lack of visits to America by many ""local guides."" This pizza is in no way New York Pizza. Sbarro not only beats this pizza, but destroys it (and I am by no means …"
14,New York Pizza, 2 stars ,3 years ago,"Dreadful excuse for pizza, and to classify it as New York style is a massive insult to anyone who knows what pizza in NYC is actually like. To think that this is one of the most popular pizza chains in The Netherlands speaks volumes. The …"
15,New York Pizza, 1 star ,3 years ago,"Unnexeptable behavior from the manager(as he pretended that he was), there was a student discount with 5 euros and because he understood that we weren't locals, he said that the discount wasn't available any more, we go to next New York Pizza 500m away and we took the discount normally."
16,New York Pizza, 3 stars ,3 years ago,"If you’re with a buddy or two just get a pizza, because if you both get two slices each it’s essentially the same price. Plus that little wonder over doesn’t reheat the pizza to quiet the right temperature. Oh baby why u do dis"
17,New York Pizza, 4 stars ,2 years ago,What mean what mean no englis mood day for the week of summer amp r with her won rowy was it a good night we were just talking each one with your name so she had what wiwowywow we started wye this morning was fun but not sure what ie
18,New York Pizza, 5 stars ,6 months ago,I feel like New York 👍🏼 Thank you
19,New York Pizza, 4 stars ,a year ago,"Nice NYC-looking-like interior. Pizza tastes not especially well, but exactly the way it would in NYC."
20,New York Pizza, 5 stars ,3 years ago,"Best pizza in town! Ate here everytime after coffeshoping. That being said, 2 slices + drinkbis the best combo. Must visit place."
21,New York Pizza, 5 stars ,5 years ago,Very tasty pizza with the best crust I've ever had! Cheap price compared to how big and good the pizza was.
22,New York Pizza, 5 stars ,5 years ago,"Really nice guy, we had a good chit-chat while waiting for pizza.

Pizza was surprisingly good for the price (and really good compared to a few other places near)."
23,New York Pizza, 1 star ,4 years ago,Only sells slices not actual full pizza so take away way quite difficult due to the size of each slice
24,New York Pizza, 5 stars ,3 years ago,The best pepperoni pizza out there. I always end up over eating. Must try !!
25,New York Pizza, 5 stars ,3 years ago,Their pepperoni pizza is delicious. A nice place to have a quick bite.
26,New York Pizza, 5 stars ,4 years ago,Nice Fresh Pizza with extra large portions and they always have a great deal going on! Hmmmm I want Pizza!
27,New York Pizza, 4 stars ,3 years ago,You can get something better and cheaper than overpriced generic pizza right around the corner
28,New York Pizza, 4 stars ,3 years ago,"Great value for money, there are several restaurants around town, it's convenient and quick."
29,New York Pizza, 4 stars ,3 years ago,"on the one hand I am again fast, on the other hand I love their Veggie pizza"
30,New York Pizza, 4 stars ,2 years ago,Little bit crowded but pizzas are awesome.
31,New York Pizza, 5 stars ,9 months ago,Very yummy. Friendly staff.
32,New York Pizza, 5 stars ,4 years ago,Perfect new york style pizza for quick and late nite bites
33,New York Pizza, 5 stars ,3 years ago,Very good pizza for sensible price
34,New York Pizza, 4 stars ,3 years ago,"Pizza was delicious and the staff friendly, a bit understaffed for the traffic however."
35,New York Pizza, 1 star ,3 years ago,They gave me wrong pizza. I just knew it after I got home. So stupid pizza house. Never gonna eat new york pizza ever.
36,New York Pizza, 4 stars ,3 years ago,"Very good very nice, but no Maggi and no peperoncino"
37,New York Pizza, 5 stars ,2 years ago,Absolute best pizza of my life
38,New York Pizza, 5 stars ,4 years ago,Really tasty pizzas. Very fast and fresh.
39,New York Pizza, 4 stars ,3 years ago,"Ok. But they put blue cheese as on of the 4 cheese topping s ,  We ate it !"
40,New York Pizza, 4 stars ,2 years ago,Delicious pizza at a fair price.
41,New York Pizza, 5 stars ,2 years ago,Tasty pizza and friendly staff!
42,New York Pizza, 4 stars ,5 years ago,"Delish pizza, nice place where you can stop for a while"
43,New York Pizza, 5 stars ,3 years ago,I was waiting for burger 10 minutes but it was worth. Delicious
44,New York Pizza, 5 stars ,3 years ago,"Nice restaurant , very friendly staff , tasty food."
45,New York Pizza, 5 stars ,6 years ago,Not a restaurant but the pizzas are soooo good!! Proper American style pizzas
46,New York Pizza, 3 stars ,2 years ago,Don't have the chicken wings pizza lovely tho
47,New York Pizza, 5 stars ,4 years ago,"Optimal for a quick bite, great pizza."
48,New York Pizza, 1 star ,4 years ago,Gave me food poisoning... also they had a pigeon walk around inside and didn't do anything about it...
49,New York Pizza, 2 stars ,4 years ago,Pizza and wedges were good but service was atrocious but they compensated with a free cookie
50,New York Pizza, 4 stars ,2 years ago,Decent and a cheap place to have Pizza
51,New York Pizza, 4 stars ,2 years ago,Good cheap and quick cant ask for much more!
52,New York Pizza, 4 stars ,2 years ago,"Tiny place, but good pizza."
53,New York Pizza, 4 stars ,2 years ago,Good pizza  good food and good price
54,New York Pizza, 3 stars ,3 years ago,"Cheap pizza, nothing super exciting, but not bad either."
55,New York Pizza, 3 stars ,3 years ago,Pizza is nothing to write home about but the price is alright
56,New York Pizza, 4 stars ,2 years ago,Bit greasy but really tasty
57,New York Pizza, 3 stars ,5 years ago,Not so good pizza. Just for emergency
58,New York Pizza, 5 stars ,2 years ago,Great pizza after a night ou.
59,New York Pizza, 4 stars ,2 years ago,"Nice place, friendly staff. Worth a visit"
60,New York Pizza, 4 stars ,4 years ago,Cosy with great tasting pizza and barbecue wings
61,New York Pizza, 5 stars ,3 years ago,"Good variety, good taste and reasonable pricing"
62,New York Pizza, 5 stars ,2 years ago,Very good quality of food
63,New York Pizza, 5 stars ,2 years ago,OMG take the peperoni pizza and put on the pizza Parmesan!!!
64,New York Pizza, 5 stars ,3 years ago,A good slice of Pizza. I recomand this place.
65,New York Pizza, 4 stars ,a year ago,Good for the price. Tiny place
66,New York Pizza, 5 stars ,4 years ago,Lovely food ... Delicious.. amazing.
67,New York Pizza, 4 stars ,3 years ago,Fresh! Huge! Tasty pizza!
68,New York Pizza, 4 stars ,2 years ago,Very good taste in a simple restaurant
69,New York Pizza, 3 stars ,4 years ago,Nice pizza a bit expensive tho..
70,New York Pizza, 5 stars ,4 years ago,really really good Piza. I like it!
71,New York Pizza, 5 stars ,2 years ago,Good quality/price ratio.
72,New York Pizza, 4 stars ,2 years ago,Pizzas that you'll love.
73,New York Pizza, 3 stars ,5 years ago,"+Great pizza's
-expensive"
74,New York Pizza, 5 stars ,2 years ago,Try chicken tandoori pizza
75,New York Pizza, 5 stars ,3 years ago,Amazing place so tasty
76,New York Pizza, 5 stars ,2 years ago,Huge pizza slices!
77,New York Pizza, 5 stars ,5 years ago,Best pizza Ever!!
78,New York Pizza, 2 stars ,2 years ago,Pizzas are okkish type
79,New York Pizza, 5 stars ,5 years ago,Good cheap pizza.
80,New York Pizza, 5 stars ,5 years ago,"Tasty pizza, big piece"
81,New York Pizza, 5 stars ,3 years ago,Good food
82,New York Pizza, 5 stars ,3 years ago,Italian pizza in american chain
83,New York Pizza, 1 star ,7 years ago,"""Italian restaurant""... yeah, sure. Crap!!"
84,New York Pizza, 4 stars ,2 years ago,A little bit too expensive
85,New York Pizza, 5 stars ,2 years ago,Great pizza.
86,New York Pizza, 5 stars ,5 years ago,Best pizza evsr
87,New York Pizza, 5 stars ,3 years ago,The best!
88,New York Pizza, 1 star ,3 years ago,Poor pizza ever ☹️
89,New York Pizza, 4 stars ,4 years ago,Very goog Pizzas
90,New York Pizza, 2 stars ,4 years ago,Selection could be better
91,New York Pizza, 4 stars ,4 years ago,"Tasty, fast, nice"
92,New York Pizza, 5 stars ,2 years ago,Delicious
93,New York Pizza, 5 stars ,3 years ago,Good pizza
94,New York Pizza, 5 stars ,3 years ago,Fast & tasty!
95,New York Pizza, 5 stars ,3 years ago,Top
96,New York Pizza, 5 stars ,4 years ago,Good pizza
97,New York Pizza, 4 stars ,5 years ago,Fast and cheap.
98,New York Pizza, 5 stars ,3 years ago,Nice pizza
99,New York Pizza, 5 stars ,3 years ago,Pizza mmmmmmmn
100,New York Pizza, 5 stars ,2 years ago,Lingering 🍕
101,New York Pizza, 4 stars ,2 months ago,"(Translated by Google) The pizzas are quite good, it is possible to take portions, which allows you to taste everything. I took the tandoori and found it really good. …"
102,New York Pizza, 3 stars ,3 years ago,(Translated by Google) It's a delicious pizza. Two slices plus a drink is only 8 Euros. It is cheaper in Amsterdam. It is suitable for travelers who are full of itineraries but want to fill up their stomachs and want to eat delicious and …
103,New York Pizza, 1 star ,6 months ago,"(Translated by Google) Greatly disappointed!
Deplorable service: 1:30 to serve two pizzas, it's scandalous!
I never set foot in this restaurant again. …"
104,New York Pizza, 4 stars ,3 years ago,"(Translated by Google) Pizza to remove hunger. They have variety and they are rich. We ordered the chilli chili pizza. It did not sting much but they put at your disposal jars with garlic powder, more chile and above all parmesan powder. …"
105,New York Pizza, 3 stars ,a year ago,"(Translated by Google) Good but not incredible (hygiene level either, put on gloves to take the pizza slices at least) …"
106,New York Pizza, 4 stars ,3 years ago,(Translated by Google) Crispy but maybe a little too thin. But for people who like to enjoy a slice of pizza and listen to a round of Despacito this is the perfect spot;) …
107,New York Pizza, 3 stars ,3 years ago,"(Translated by Google) Visited in September 2018.
You can eat a large pizza reasonably. …"
108,New York Pizza, 4 stars ,2 years ago,(Translated by Google) Good and decent pizzas. I don't understand the negativity unfortunately. …
109,New York Pizza, 5 stars ,4 months ago,"(Translated by Google) Perfect for a good slice of pizza taken on the fly!

(Original) …"
110,New York Pizza, 1 star ,2 years ago,"(Translated by Google) I have not been helped properly. The whole place talked about how badly they were approached, grumpy, she didn't understand a single order and there was a surplus of ingredients on the pizzas and especially an …"
111,New York Pizza, 5 stars ,2 years ago,"(Translated by Google) We ate here in the evening a pizza, this we have freshly prepared. The taste of the pizza was good. For seasoning there were different powders. You could spice up the pizza to his taste. …"
112,New York Pizza, 5 stars ,2 years ago,"(Translated by Google) Fast and efficient, menu at € 8.99 (if I'm not mistaken) for 2 parts of pizza of your choice and 1 drink, stop yum-yum niquel, we were full and ready to go back to explore Amsterdam, …"
113,New York Pizza, 2 stars ,4 years ago,"(Translated by Google) There is not enough space, no decent tables. Someone who prepares pizzas by hand and takes money at the same time really cannot, they said it was going to take 10min but it was much longer than that in the end. In …"
114,New York Pizza, 4 stars ,2 years ago,(Translated by Google) New York Pizza a wonderful eatery when it comes to pizzas but also other Italian snacks that enchant the taste buds and attract guests from all over the world. It is not a bad shop from the heart of Amsterdam if there …
115,New York Pizza, 4 stars ,5 years ago,(Translated by Google) Fast food pizza place with reasonable quality pizzas. Quality is slightly higher than Dominoes. On Tuesday they have a good deal: every medium pizza 5 euros. …
116,New York Pizza, 4 stars ,3 years ago,"(Translated by Google) The pizza was good, the service was not. Maybe it was something specific. I'm talking about the New York Pizza which is specifically on Spui Street. Be sure to order the pac from scratch and try to make sure they …"
117,New York Pizza, 1 star ,3 years ago,(Translated by Google) As a student (with student id) I was not allowed to get the 25cm for 5.00 who wanted 8.99. 400m at another New York pizza shop everything worked out. …
118,New York Pizza, 5 stars ,2 years ago,"(Translated by Google) Delicious pizzas, the best I've had and believe me that I have enjoyed them in many places (even in Italy itself). I totally recommend them 🤗 …"
119,New York Pizza, 4 stars ,3 years ago,"(Translated by Google) Good American pizza, unfortunately it was a bit too narrow and not very clean. They don't have their own toilet but for 10 euros I got a big pizza and drink. …"
120,New York Pizza, 5 stars ,2 years ago,"(Translated by Google) The best pizza in Amsterdam ... The cheese-crispy dough lacks some salt, but at the score level -5 …"
121,New York Pizza, 1 star ,2 years ago,(Translated by Google) What a rotten place a very badly invested pizza I almost ate only dough and the atmosphere inside was bad never do it again I do not recommend it to anyone and that man. …
122,New York Pizza, 4 stars ,2 years ago,"(Translated by Google) Delicious pizza for a good price.

(Original) …"
123,New York Pizza, 5 stars ,2 years ago,"(Translated by Google) The waitress spoke Spanish and was very nice. Also, the pizza was quite good and it was very cheap (€ 5 with the student discount). …"
124,New York Pizza, 4 stars ,4 years ago,"(Translated by Google) Quality pizza.
Quick in service.
Courteous and young staff. …"
125,New York Pizza, 2 stars ,2 years ago,(Translated by Google) Pizza ok ... very bad service ... just go if you have no choice …
126,New York Pizza, 4 stars ,6 years ago,"(Translated by Google) Nothing special, it's a fast-food restaurant with mostly Domino's / Pizza Hut type pizza. It's good, fast, cheap. Both slices and the drink, 7 €. …"
127,New York Pizza, 1 star ,3 years ago,"(Translated by Google) the vegan options on the website do not match the store, the vegan pizzas were not for sale, the vegan cheese was not there either …"
128,New York Pizza, 4 stars ,3 years ago,"(Translated by Google) Great place to eat a slice. Good service, always tasty. There are just not that many seats so you should be lucky …"
129,New York Pizza, 1 star ,2 years ago,"(Translated by Google) Poor service, barely know Dutch and therefore do not understand what you mean
Pizza had way too much cheese and was greasy …"
130,New York Pizza, 2 stars ,2 years ago,(Translated by Google) Used to be a nice place to eat a slice. Too bad to see that this has become such a tourist trap. …
131,New York Pizza, 4 stars ,2 years ago,(Translated by Google) Friendly and kind and very good pizza .... the only thing I don't give 5 stars for cleaning …
132,New York Pizza, 4 stars ,2 years ago,"(Translated by Google) Good pizza domino style pizza but snack. Not extraordinary, not Italian but good and nice guy …"
133,New York Pizza, 4 stars ,a year ago,"(Translated by Google) Very tasty pizza, the price is right and the staff very friendly. …"
134,New York Pizza, 5 stars ,4 years ago,(Translated by Google) Incredibly friendly and helpful staff! An order of 11 large pizzas was no problem for them. …
135,New York Pizza, 2 stars ,2 years ago,"(Translated by Google) Well. Pizza prepared.
An offer Pizza 28 (/) with a can for 9.95 € Tasty weak. …"
136,New York Pizza, 1 star ,2 years ago,(Translated by Google) Disaster bad food ... bad attention and you leave with a smell of food ... 👎🏽👎🏽👎🏽👎🏽 …
137,New York Pizza, 1 star ,3 years ago,"(Translated by Google) 9.5 euros for a small pizza and a coke.
Both taste and quantity are low value for money. …"
138,New York Pizza, 5 stars ,3 years ago,"(Translated by Google) Delicious. The place is nice, well lit, typical. The muza is 2.75 and the rest 3.75 …"
139,New York Pizza, 4 stars ,4 years ago,"(Translated by Google) Quality is not the best, but one of the best price ratios is quality in Amsterdam. Fast service. Relatively clean. …"
140,New York Pizza, 5 stars ,2 years ago,(Translated by Google) Good pizza for small snack for 8th 2 part to choose more drink …
141,New York Pizza, 5 stars ,a year ago,"(Translated by Google) best pizza at good prices and friendly staff

(Original) …"
142,New York Pizza, 2 stars ,4 years ago,"(Translated by Google) Standard experience when it comes to pizza, good and cheap is different …"
