,Name,Review Rate,Review Time,Review Text
0,O' Sole Mio, 3 stars ,3 weeks ago,"Nice place with cozy Italian decoration and nice music. Very good prices.  Ok service,. We asked for a pizza margherita but it was dry and with no special flavor, the olive oil was not a fine one. The pizza had no basil and they told us it …"
1,O' Sole Mio, 5 stars ,2 years ago,"Cozy italian pizzaria, the pizza's were delicious! The prices were very good, the staff friendly and welcoming. The atmosphere was very italian, the decoration and music makes you forget that you're in Amsterdam! Would definitely go back again!"
2,O' Sole Mio, 5 stars ,4 months ago,Recommended! Lovely place with great staff who make you feel very welcome. Delicious pizzas!
3,O' Sole Mio, 1 star ,7 months ago,Disgusting food and terrible Service - had to wait more than half an hour to get the most disgusting Salmon ever. The waiter lied about it being fresh then said it took long (it was obviously frozen and needed to defrost) and the millennial …
4,O' Sole Mio, 5 stars ,10 months ago,"After an exhausting day in Amsterdam we could not have found a better place to have a lovely dinner. Our pizzas were amazing and the staff was friendly. It was over a year ago since we had dinner here, but the memory of our visit is still fresh and we very much wish to visit again."
5,O' Sole Mio, 4 stars ,11 months ago,A cosy little restaurant. Very friendly staff. Gluten free options can be requested and food was great. I would definitely recommend trying this place for Italian food whilst in Amsterdam. I will be going back for sure if I visit again.
6,O' Sole Mio, 5 stars ,3 months ago,"Lovely meeting Nino, cozy spot for delicious lasagna and pasta"
7,O' Sole Mio, 5 stars ,2 years ago,Highly recommend! Very friendly service and extremely tasty food. The restaurant may look ordinary and simple but the people and the food are pure amazing! I highly recommend Lasagna al Salmone 💜 Will visit again when in the mood for Italian food.
8,O' Sole Mio, 5 stars ,3 years ago,"We spent our Christmas evening at this place and we enjoyed a menu for 20€ per person. We were really satisfied, as we had a full course meal, the food was simply delicious and the wine we chose with it was amazing too. Lovely atmosphere with friendly staff and good Italian music. Highly recommended!"
9,O' Sole Mio, 5 stars ,2 years ago,I haven't eaten a food that good in ages. Everything italian is being made with love and it the tastes are overwhelming. Kind staff is quick to respond. I personally recommend this restaurant to anyone that is hungry for great tastes.
10,O' Sole Mio, 5 stars ,2 years ago,"Stayed in Amsterdam 5 nights, ate in this restaurant 3 of them! Fantastic food, fantastic service, very friendly and welcoming staff, great pricing. Definitely recommend, and will eat here again on our next visit!"
11,O' Sole Mio, 1 star ,3 years ago,"I ordered a pizza only, which ended up coming with a mixed salad plate that I never ordered (although unusual, I genuinely thought that it was part of the service). Then I got charged for it (same thing happened to the guy sitting next to …"
12,O' Sole Mio, 2 stars ,3 years ago,Service was excellent. Pizza was definitely a frozen base with low quality supermarket toppings. Wanted food to soak up the sins of Amsterdam tonight and it served a purpose. Wouldn't comeback as is tourist trap.
13,O' Sole Mio, 5 stars ,2 years ago,"During our 4-day stay in Amsterdam, we came here twice. It is a cosy little restaurant with friendly staff, good Italian food and fair prices. I can only recommend this restaurant."
14,O' Sole Mio, 4 stars ,3 years ago,Great little Italian restaurant. The food was delicious and the service was excellent. My wife had pasta and I had pizza. The price is affordable and the ambience was great. I would definitely recommend.
15,O' Sole Mio, 4 stars ,6 years ago,Terrific! Focaccio has lots of olive oil and garlic-yum. We had dinner down the street and this is far superior. Lasagna was superb. Good service. Best meal we've had in town so far
16,O' Sole Mio, 2 stars ,6 years ago,The restaurant is alright and the stuff is nice but don't expect to find authentic Italian food! Pizza had cheese instead of mozzarella and the tiramisu was filled with whipped cream... Still tasty but not traditional!
17,O' Sole Mio, 5 stars ,2 years ago,"Great food. Ordered the entrecote menu and the steak was perfectly cooked, the soup was delicious and the tiramisu was heavenly. Excellent service too 👌"
18,O' Sole Mio, 4 stars ,6 years ago,Nice pizza restaurant in a cool district. Don't expect a fantastic setting or service but the staff were really nice and the pizza was tasty. The meal and drinks was also super cheap!
19,O' Sole Mio, 1 star ,5 months ago,"Advertising 25mins delivery, taking 1 hour."
20,O' Sole Mio, 4 stars ,5 years ago,"Only been here once, so take this with a grain of salt. I don't like the pizza, the icecream is great. I think this is a great place for dates and I would definitely recommend it."
21,O' Sole Mio, 5 stars ,3 years ago,Wow what a great experience. Fantastic food at a very reasonable price. Highly recommend to all visitors.
22,O' Sole Mio, 4 stars ,2 years ago,Very nice service and good food. Recommend that they remove the pictures from their menu as it is normally a sign of poor quality.
