,Name,Review Rate,Review Time,Review Text
0,Oresti's Taverna, 5 stars ,a month ago,"Great staff, great food and fast service. Came to check on us multiple times throughout our diner. Had a small chat. The food was great for the price. And I loveeeed the red wines. Thank you!"
1,Oresti's Taverna, 2 stars ,4 months ago,"Great food. Terrible service.

We had to ask for the wine and food menu after being sat down for about 15min. …"
2,Oresti's Taverna, 5 stars ,3 weeks ago,"Various delicious dishes from different kitchens around the Mediterranean, all fresh, served in a very hospitable atmosphere! Attractive price level!"
3,Oresti's Taverna, 5 stars ,a month ago,Very good restaurant. Great food and staff. Loved the background music. I’ll come again!
4,Oresti's Taverna, 5 stars ,a week ago,New location but still great tapas and wine. Even allowed special order of baked feta in honey.
5,Oresti's Taverna, 5 stars ,a week ago,An absolute gem! Great food and ambience. Staff were also very attentive.
6,Oresti's Taverna, 5 stars ,5 months ago,Super service and delicious food. I had a reservation for 2 people but one more friend decided to join last minute. The manager of the place rearranged to table to accommodate this even though the place was completely full.
7,Oresti's Taverna, 5 stars ,2 years ago,The food is delicious! Even the waitress is very nice! Food is very good . Although the guests is too much so the kitchen has some trouble then our food is very slow. But everything is good !
8,Oresti's Taverna, 4 stars ,4 years ago,"Besides a bit of wait in the beginning for the servers to bring us a menu. Staff's generally really polite and friendly. Food was excellent, the neighborhood is also nice and quiet and it makes it extra enjoyable together with a glass of …"
9,Oresti's Taverna, 5 stars ,a month ago,"Great food, friendly staff, nice musics in background. I will definitely come back again!"
10,Oresti's Taverna, 5 stars ,2 years ago,"Everything is very good. The waitress is very kind. Although the serving is a little bit late cause of there is a mess in the kitchen, the waitress always explain the process and condition of our serving process. Moreover, when we order our dishes, she recommend some dishes we taste very awesome."
11,Oresti's Taverna, 5 stars ,2 years ago,"Incredible food with very lovely staff! Wide variety of options from Spain, Greece, Italy and Turkey. They serve plomari ouzo which is also very good. Had the grilled octopus, fried calamari, fried aubergine, beef stew, patatas bravas and pimientos de pedron. Every bit was delicious. Will definitely visit again!"
12,Oresti's Taverna, 5 stars ,5 months ago,Excellent and attentive service. The food was delicious and authentic and staff created an all- round great experience.
13,Oresti's Taverna, 5 stars ,2 years ago,A gem of a restaurant. The staff is super pleasant and the tapas a delicious and casual way to wind down after a day of exploring or a day of meetings.
14,Oresti's Taverna, 4 stars ,a month ago,Nice Greek/mediterranean restaurant; friendly service; good food.
15,Oresti's Taverna, 5 stars ,4 months ago,"Great tapas place in the area - food can take a while to come sometimes though, so be prepared."
