,Name,Review Rate,Review Time,Review Text
0,Outmayer, 4 stars ,a year ago,"Stopped here for quick breakfast sandwich and coffee ☕️
Sandwiches was good, coffee ok.
Prices bit high, as expected in city center"
1,Outmayer, 5 stars ,6 months ago,Such a great little eatery! Our sandwiches were delicious and the service was fantastic.
2,Outmayer, 5 stars ,7 months ago,Food was nice and expectable prices for the city center. Nice chill place and the staff was really nice and helpful.
3,Outmayer, 3 stars ,7 months ago,"Overall was nice, food a bit dry and prices were a little high :)"
4,Outmayer, 3 stars ,7 months ago,"Wrap and the waffle were dry, prices ok"
5,Outmayer, 5 stars ,8 months ago,"Great, fresh, good vibes...
& friendly service"
6,Outmayer, 1 star ,4 years ago,"Bad hygiene! Your tosti is prepared in front of you, right on top of the counter (no plate or anything). No gloves or hand washing between handling money and preparing food."
7,Outmayer, 5 stars ,3 years ago,Very clean.  Nice staff.  Good cakes! Excellent hot chocolate.
8,Outmayer, 1 star ,2 years ago,"Very rude staff, (2 young ladies), no education modals, no customer service attitude, food is average; dont go there."
9,Outmayer, 2 stars ,2 years ago,bad staff. very bad. food not worth the money. not very tasty.
