,Name,Review Rate,Review Time,Review Text
0,Pakistaans restaurant Tawazo, 1 star ,11 months ago,"Fries 5\10 👎👎👎🤏
Grilled Burger 1\10 👎👎👎🤌sharam!
Dont get fooled by these pictures! The food looks good but tastes very bad. And …"
1,Pakistaans restaurant Tawazo, 1 star ,4 months ago,At the beginning it's good and fast the service..But after a short time only.The Taste is so bad.not recommended to anyone who love s the food.
2,Pakistaans restaurant Tawazo, 4 stars ,3 months ago,Burger pizza are tasty. Sometimes items they mention in the menu are not available...
3,Pakistaans restaurant Tawazo, 3 stars ,3 months ago,Good taste but some time food delivery at home is cold an sily
4,Pakistaans restaurant Tawazo, 1 star ,9 months ago,"I ordered a grilled chicken burger with extra fillet and a normal grilled chicken burger, though i couldn't really  the difference between which ones which ,they both weighted the same ,the chicken they used was like dried up sajji chest …"
5,Pakistaans restaurant Tawazo, 1 star ,a year ago,Delivery was pathetic. Burgers were in terrible condition as they were wrapped in paper. No Boxes at all. Sauces were all over the burgers. Beef was not cooked well. Burgers were cold. Will never order again.
6,Pakistaans restaurant Tawazo, 3 stars ,4 months ago,Taste is Good Especially Loaded fries is Delicious
7,Pakistaans restaurant Tawazo, 1 star ,10 months ago,"I have order 3 fajita and 3 BBQtikka pizzas
But they deliver all BBQ with full of spice
Poor service …"
8,Pakistaans restaurant Tawazo, 1 star ,a year ago,Kindly Improve your delivery time and Packagin becuase alot of time it happened that Burgers were completely bathed and dipped in sauce and in terribly bad condition....
9,Pakistaans restaurant Tawazo, 3 stars ,8 months ago,This cafe is ok to eat.i hv 50 50 experience.mt first experience was not good but the other was fine.
10,Pakistaans restaurant Tawazo, 4 stars ,6 months ago,Sitting point is not good and taste is above average.
11,Pakistaans restaurant Tawazo, 1 star ,9 months ago,"Very pathetic food, foul smelling feast roll I was going to complain to food authority , I think food should be checked with responsibility. shame"
12,Pakistaans restaurant Tawazo, 3 stars ,7 months ago,Place is fine !! Food is good according to SadiqAbad ✨
13,Pakistaans restaurant Tawazo, 1 star ,a year ago,Very pathetic delivery and condition of burger wrapped in a paper bag not in box.Food was ridiculously cold and packed.Very disappointed
14,Pakistaans restaurant Tawazo, 4 stars ,6 months ago,Nice Place to get Fast Food
15,Pakistaans restaurant Tawazo, 4 stars ,10 months ago,"Food was too good, thumbs up Tehseen...!"
16,Pakistaans restaurant Tawazo, 4 stars ,a month ago,Good food.
17,Pakistaans restaurant Tawazo, 3 stars ,3 weeks ago,Nice
18,Pakistaans restaurant Tawazo, 4 stars ,9 months ago,Zingar burger much tasty
19,Pakistaans restaurant Tawazo, 5 stars ,9 months ago,Outstanding fast food
