,Name,Review Rate,Review Time,Review Text
0,Paleis van de Weemoed, 4 stars ,3 months ago,Had the chance to have a gala dinner (with cabaret and burlesque show) at Paleis van de Weemoed. …
1,Paleis van de Weemoed, 4 stars ,4 months ago,"Very nice service with friendly people. Show was fun to see, it really needs the crowd to help the atmosphere. So we were lucky with that, people fully enjoying and singing."
2,Paleis van de Weemoed, 5 stars ,3 weeks ago,"Really worth visiting. Food is good, show is excellent, both for Dutch and non-Dutch."
3,Paleis van de Weemoed, 4 stars ,3 months ago,Nice show. Definitely needs the audience to be participative to appreciate the show more. Food is okay. All server are nice and attentive.
4,Paleis van de Weemoed, 5 stars ,2 years ago,Canal location in the red light district.  Service has been great- had a vodka soda in which the waiter muddled the lime.  People watching has never been better.
5,Paleis van de Weemoed, 5 stars ,4 months ago,It was such a lovely evening watching the show and a memorable experience in Amsterdam.
6,Paleis van de Weemoed, 5 stars ,3 years ago,"My husband and I very much enjoyed the show and dinner last night. The show was very tastefully entertaining. The food was exceptionally good, from the appetizer to the dessert. The avocado butter for the bread is a bonus. It was a memorable evening."
7,Paleis van de Weemoed, 5 stars ,4 years ago,"Attentive, chatty staff. Comfortable outside seating with umbrellas and blankets. Inside retro and charming. …"
8,Paleis van de Weemoed, 5 stars ,6 months ago,"Good jazz, pleasant atmosphere, good staff, good prices."
9,Paleis van de Weemoed, 5 stars ,a year ago,A cosy little venue in the heart of the red light district. They host a wide range of shows for up and coming artists either magic shows or stand-up comedy. The quite inexpensive prices makes it a definitely watch.
10,Paleis van de Weemoed, 5 stars ,2 years ago,"The staff is attentive and just wonderful.
The food is quite good but the atmosphere and feel of the place are for me at least the more attractive qualities!"
11,Paleis van de Weemoed, 5 stars ,6 years ago,Went to the show this weekend 0ct 31 2015 and found a real gem of a show. the dinner was perfect the hosts were great. Highly recommended for something a bit different and amazing value.
12,Paleis van de Weemoed, 5 stars ,3 years ago,Fabulous evening. Good food. Excellent Entertainment. Evening started at 6pm.we enjoyed a lovely 5 course meal and entertainment went on until 10.30.
13,Paleis van de Weemoed, 1 star ,3 years ago,"I were having a nice day, sitting outside, and then start music inside, i was curious i get near  the door,  when a employee close me the door rudly. Not a nice gest to someone that was spend his money there..if i go back to Amesterdam, never go there again."
14,Paleis van de Weemoed, 5 stars ,4 years ago,"The paleis van de weemoed has a unique interior as well as a terrace with a canal view. Earlier we have enjoyed their spectacular dinnershow but today we tried the Paleis' lunch. The menu offers a wide range of choices, including a burger, …"
15,Paleis van de Weemoed, 5 stars ,3 years ago,"Literally the best restaurant I've ever been to. Great service, delicious food, and a burlesque show I haven't seen but hope to one day:)"
16,Paleis van de Weemoed, 3 stars ,2 years ago,Very charming little art-deco themed bar. Would be great to check out one of their burlesque nights!
17,Paleis van de Weemoed, 5 stars ,2 years ago,"Perfectly located, the lady at the bar she offered us our drink. What a great surprise, not so easy to find in Amsterdam"
18,Paleis van de Weemoed, 3 stars ,3 years ago,"Friendly staff, okay food, the live shows must be your thing to be able to enjoy them of course, but all in all a decent night out."
19,Paleis van de Weemoed, 4 stars ,4 years ago,A great place to enjoy the far reaches of central Amsterdam from the canal side. Good selection of drinks and very happy staff.
20,Paleis van de Weemoed, 5 stars ,2 years ago,"The Burlesque Night was a wonderful experience, great atmosphere, most enjoyable evening, thank you all at Paleis van de Weemoed!"
21,Paleis van de Weemoed, 5 stars ,3 years ago,"We enjoyed the Saturday dinnershow very much. The staff were very kind, the music program was excellent and the food very good."
22,Paleis van de Weemoed, 4 stars ,2 years ago,"Upscale restaurant, very tasty food, expensive like everything in Amsterdam but is worth it."
23,Paleis van de Weemoed, 5 stars ,3 years ago,Outstanding stand-up show with Cor! Very good vibes in the room.. Much laughter guaranteed!
24,Paleis van de Weemoed, 4 stars ,3 years ago,Moulin rouge going Dutch! Try using your buttplug as earplugg! Nice for family parties with kinky kids!
25,Paleis van de Weemoed, 5 stars ,3 years ago,Fun atmosphere and great selection on food/drinks. Friendly ownership.
26,Paleis van de Weemoed, 5 stars ,3 years ago,"Great food, nice service and really cool show!"
27,Paleis van de Weemoed, 5 stars ,4 years ago,Great New Year's entertainment with friendly atmosphere and excellent food.
28,Paleis van de Weemoed, 5 stars ,3 years ago,The comedy on a Monday is amazing.......a must do in Amsterdam. A hidden gem
29,Paleis van de Weemoed, 5 stars ,4 years ago,Always good times and good food. Vegetarian menue is OK.
30,Paleis van de Weemoed, 4 stars ,2 years ago,Burlesque is a must see...
31,Paleis van de Weemoed, 5 stars ,6 months ago,Nice place with Nice People around
32,Paleis van de Weemoed, 4 stars ,5 years ago,Restaurant-chantant with burlesque performances. Mostly for groups. Terrace with sun.
33,Paleis van de Weemoed, 5 stars ,5 years ago,I like it because they have the amsterdam  Magic show
34,Paleis van de Weemoed, 5 stars ,2 years ago,"Good location, very good food"
35,Paleis van de Weemoed, 4 stars ,2 years ago,"Nice place by the river, like it."
36,Paleis van de Weemoed, 5 stars ,3 years ago,Top
37,Paleis van de Weemoed, 5 stars ,3 weeks ago,(Translated by Google) Great show that leaves everyone going home with a big smile on their face. Delicious food and friendly service. Perfect concept for night out. …
38,Paleis van de Weemoed, 5 stars ,6 months ago,"(Translated by Google) This eatery in the red light district is a must when visiting Amsterdam. An atmospheric ambience, great atmosphere, good food and often performances by local artists, such as at the Red Light Jazz Festival …"
39,Paleis van de Weemoed, 5 stars ,2 years ago,(Translated by Google) What a great evening out here at the Palace of Weemoed. We had booked a table for the Jazz Burlesque Saturday night. In a weekend of Jazz at the Red Light District. Because of this the place was packed and that made …
40,Paleis van de Weemoed, 5 stars ,2 years ago,"(Translated by Google) I had a great time on my last day, the beer you see revived me, it has a touch of lemon with very little alcohol, ideal to refresh and accompany the nachos, I ordered double portion of the red sauce that is amazing, I …"
41,Paleis van de Weemoed, 5 stars ,4 months ago,"(Translated by Google) Very nice tent, super cozy, staff super attentive, had a really nice evening, surprised by my wife with a weekend in Amsterdam. …"
42,Paleis van de Weemoed, 3 stars ,3 years ago,"(Translated by Google) Did you have a nice evening. It was a show with a bit of an edge. What made it charming again. The food was not bad, although the tiramisu was still half frozen and somewhat watery. Service nice, but a bit messy. And …"
43,Paleis van de Weemoed, 5 stars ,6 months ago,"(Translated by Google) Fantastic evening program.
Service top! Very friendly
Delicious eaten! #top chef. …"
44,Paleis van de Weemoed, 5 stars ,6 months ago,(Translated by Google) Red Light Jazz. Lovely sitting on the terrace. Where we were well provided for by Mark. Nice guy. …
45,Paleis van de Weemoed, 5 stars ,2 years ago,(Translated by Google) I attended a closed dinner with a show. Drinks and dinner are delicious and the show is also very good. …
46,Paleis van de Weemoed, 4 stars ,5 months ago,"(Translated by Google) Nice place, dinner show is the best thing to do there.

(Original) …"
