,Name,Review Rate,Review Time,Review Text
0,Pancake Corner Restaurant, 5 stars ,5 months ago,Caesar the cook is amazing. Wendy lety are great 👍.  This is the first time here & it won't be the last. The whole restaurant is great. So clean even the rest room was amazing.  So many foods to eat enjoy 😉
1,Pancake Corner Restaurant, 5 stars ,5 months ago,"Nice Mom and Pop Restaurant,  friendly customer service, very reasonable prices, not too expensive.
Of course being called Pancake corner. I had to try the pancakes.. in my opinion …"
2,Pancake Corner Restaurant, 5 stars ,2 months ago,Very friendly service. Pancakes 🥞 were good but hash browns were a bit under seasoned. Not a big deal. My daughter had the chilaquiles and they were delicious. We will visit again.
3,Pancake Corner Restaurant, 5 stars ,6 months ago,"If you love home-like flavor, to favor local efforts, to go off the beaten path, this is one awesome little finding. Family owned. The owner is keeping an eye in details and quality and compliance control. …"
4,Pancake Corner Restaurant, 2 stars ,3 weeks ago,"Old mom and pop style. They have outdoor patio.  Food is cheap but quality is not there.  Ordered waffle,  French toast, pancakes.  Maple syrup was far the worst. Absolutely zero tastes of maple just sugar and grease. Horrid maple syrup. Waffle tasted more like sour though bread because it was so dense."
5,Pancake Corner Restaurant, 1 star ,6 months ago,The parking is snug. The establishment itself is a bit suffocating not too many windows and if you claustrophobic good luck trying to enjoy your meal there. The food isn't all that great and the service is even worse! The last time I …
6,Pancake Corner Restaurant, 3 stars ,6 months ago,"OMG, do they take their time to serve food and their service sucks. They took 40 minutes to serve us. It wasn't that packed, but did see that the waitress tables were spread out. Maybe management should come up with a sitting arrangement …"
7,Pancake Corner Restaurant, 1 star ,3 weeks ago,"Food was cold and not so special. Waitress is covered in make-up and jewelry, I felt like I was in ""cantina"" con ficheras."
8,Pancake Corner Restaurant, 1 star ,a week ago,This place sucks .service is horrible. They take forever to bring you coffee and the food . Never coming back here again.
9,Pancake Corner Restaurant, 3 stars ,a year ago,Great service. Speed was ok. Food quality not so great. Meaning seasoning. Very plain tasting.
10,Pancake Corner Restaurant, 5 stars ,5 months ago,Staff was friendly and fast. Food was excellent and delicious. Even though their was only 2 waitresses they handled it perfectly. Highly recommend.
11,Pancake Corner Restaurant, 3 stars ,2 years ago,"Food was okay, some good (waffle, pancakes, hashbrowns,  gravy itself). Some I would not order again (I'd avoid taquitos and teriyaki chicken). Prices are very reasonable.  Service was okay. They were very busy so it's understandable. …"
12,Pancake Corner Restaurant, 5 stars ,2 months ago,Good staff . Quick service . Clean established.. food was great will definitely be going back...
13,Pancake Corner Restaurant, 1 star ,5 months ago,"The worse breakfast ever , I took my sister her husband and my husband to breakfast on September 23d we order our food , very simple 2 orders of french toast combos for me and my sister,one pancake combo for my husband and one spinach and …"
14,Pancake Corner Restaurant, 5 stars ,5 months ago,Love going to this place food is good
