,Name,Review Rate,Review Time,Review Text
0,Pancake House, 5 stars ,6 months ago,Pancakes was perfectly delicious and rich in ingredients 😍 I really recommend it and you can eat it anytime of the day 😉 And not to mention the service was spectacular and professionally friendly 😁
1,Pancake House, 5 stars ,4 months ago,Lovely staff. Very good food. I had the cheese and bacon and was good and very big!
2,Pancake House, 5 stars ,a year ago,I was her in vacationtime.  You can get very fresh and yummi smoothies a good  Cappuccino und also yummi smale pan cake. For my and my sister was it a nice Breakfast. The man behind the Bar was  also funny and frendly!  See you in  Leipzig/ Germany Thomas
3,Pancake House, 3 stars ,3 years ago,Bad service and a bit over prises. The issue with The place is that iT attracts so many tourist. So you would think that being nice to your customers would go a long way .. wrong. Looks like they make enough money so they don’t really care. …
4,Pancake House, 5 stars ,6 months ago,The best pancakes in town! Fresh ingredients like strawberries and banana😍 Very nice place and very good service! Definitely will come back and I surely recommend this place.
5,Pancake House, 3 stars ,3 years ago,25 Euro for 1 large banana and Nutella pancake and an American breakfast and juice and a coffee. The coffee was too hot at first (burnt my mouth but I survived). Cozy with fast and friendly service.
6,Pancake House, 5 stars ,3 years ago,"Nice place.Outside and inside sitting,pankakes from 6-7 euro,sweet and savoury.Pancakes are nice itself even without ingridients.We liked savoury pineapples,chicken and cheese.Chicken panini was not that cool.Great coffee,very nice hot tea with mint leaves and honey.Clean and clear spo,clean toilets,All cool.Very friendly waitress"
7,Pancake House, 4 stars ,4 years ago,"The pancakes here are okay, nothing mind blowing though. I had the apple and ham one and liked the combination of sweet and savoury. …"
8,Pancake House, 5 stars ,2 years ago,"Great setting, traditional art style inside, tables outside. Serves breakfast, traditional pancakes, pasta. Get the mini pancake puffs!"
9,Pancake House, 5 stars ,2 years ago,"Nice place, clean, warm, decent seating! Cramped as very busy. Quick service and polite English speaking staff. Didnt have to wait mlre than 20mins although being nearly full."
10,Pancake House, 4 stars ,10 months ago,"It is fairly good, however, I don’t think I will stop here again on my next trip to Amsterdam."
11,Pancake House, 4 stars ,2 years ago,"Went here for brunch, attracted by the amazing decor. The staff were friendly and attentive but the food was average, and the cappuccino was more like an espresso in size. Still definitely worth a visit."
12,Pancake House, 4 stars ,2 years ago,Pancake was good. Cook was friendly can't  say the same for the waitress we had.
13,Pancake House, 2 stars ,2 years ago,"I heard a lot about the Pancakes from Netherlands offering many many toppings. As we entered the place, you can feel the ambience, it's small but vc well kept. …"
14,Pancake House, 1 star ,3 years ago,Watched the waitress make a customer cry as she waited for her boyfriend who was in the bathroom. …
15,Pancake House, 4 stars ,5 years ago,The food was simply amazing and the service was fantastic. I was elated with the service and how nice they were.  The only reason I didn't rate it higher was the price. A bit too expensive.
16,Pancake House, 2 stars ,5 years ago,Pancake was burnt and covered with lots of powdered sugar. Although we were the only ones in the restaurant our order came after 20 minutes in addition the price was 16 euros single pancakes
17,Pancake House, 2 stars ,2 years ago,This place was expensive for a simple breakfast. Really nothing special. Personally i could do better at home. With a little looking there are better places. …
18,Pancake House, 5 stars ,5 years ago,"The breakfast was delicious and quick. They have outside seating, but we sat inside by the window and did some people watching while eating. It was delightful."
19,Pancake House, 5 stars ,2 years ago,They gave best service and they pancakes were tasty so much for sure the best in city. your hands are blessing!!
20,Pancake House, 5 stars ,a year ago,"It's an amazing place : great food and great people.

The food is very great. The menu is also SO big you will obviously find …"
21,Pancake House, 2 stars ,5 years ago,"the staff is cool but it's very very expansive for the quality of the pancakes (about 10€) !! a real scam of the tourists.
you can find better and cheaper than this"
22,Pancake House, 5 stars ,2 years ago,"The service was good, and the food was great! Definitely recommend trying his place."
23,Pancake House, 5 stars ,2 years ago,"Excellent pancakes! The staff was nice and professional. The place is full of light and we'll situated. You've a huge selection of pancakes, so it's worth to go through the list to make sure you find your favourite. You can pay with card which is always a plus"
24,Pancake House, 5 stars ,2 years ago,Delicious comfort food in a comfortable setting.   Jasmine took very good care of us on each of several visits.  Clean surroundings including kitchen. Prices seemed reasonable to me.  Recommended if in this wonderful neighborhood.
25,Pancake House, 5 stars ,2 years ago,These Grand Marnier ( liquor)  pancakes were amazing!!
26,Pancake House, 4 stars ,2 years ago,Very cute place covered in Dutch Delft tile-style decor. Good menu of sweet and savory Dutch pancakes but pretty pricey for what it is. Decent espresso drinks. Quick service and could pay by card.
27,Pancake House, 1 star ,2 years ago,"It took 20 minutes to be attended after being seated. After waiting for 45 minutes, we told the server we were in a hurry and needed to go within 10 minutes, we were told that we were the next to be served a few minutes later we got the …"
28,Pancake House, 5 stars ,7 months ago,"The best breakfast in this area of Amsterdam! The owner is so polite and friendly and the food is so good, I couldn’t recommend this place more 👍"
29,Pancake House, 1 star ,3 years ago,This place was terrible. The food actually was decent (coffee not so much) however the woman server was absolutely horrific. She was so extremely rude to me and my friends. She makes you feel incredibly uncomfortable and will freak out if …
30,Pancake House, 5 stars ,5 months ago,"nice food, prices okay for amsterdam, nice people"
31,Pancake House, 1 star ,2 years ago,"Terrible food and service. Pancake undercooked massively, English breakfast incredibly poor (undercooked mushrooms, rock solid bread) Blonde waitress rude along with manager, and not one waiter came over to check on us.
There’s hundreds of other places miles better to visit in Amsterdam."
32,Pancake House, 4 stars ,2 years ago,"Rather pricey for 1 pancake but it did taste yummy with alcohol on the pancake,"
33,Pancake House, 1 star ,7 years ago,"Our hotel in Amsterdam suggested us to go and try this place. We went there hoping to eat the best pancake in the town. However, we ended up being in a horrible place. I could say that the expensive pancakes were kind of acceptable. The …"
34,Pancake House, 5 stars ,a year ago,Mimmo was super friendly and invited us to eat at the pancake house! The pancake was super tasty! Location very central and a perfect snack after a long day in the city.
35,Pancake House, 1 star ,2 years ago,Worst customer service in Amsterdam. Very loud lady with slow assistance. Disappointing food. Food looks like cooked from home. Actually home food is better. I regretted eating here. …
36,Pancake House, 5 stars ,2 years ago,"We thought we made a wrong choice because it was virtually empty - which is never a good sign in the middle of the afternoon - and we were too tired to make a decision. Turns out, the pancake was gorgeous! The dough had the right …"
37,Pancake House, 5 stars ,2 years ago,"Super good pancake with ham and cheese, with the fluffy, soft dough. I didn't see when I finished it! Staff was friendly and whole place has its own unique atmosphere I'm going to come back and try other ones. Definitely worth to visit!"
38,Pancake House, 5 stars ,a year ago,"Best Sausages ever had outside Ireland. Super yummy! Very friendly waitress , great chef guiseppe, wel b back! Not cheap, but worth it!"
39,Pancake House, 5 stars ,3 years ago,"Visited at a quiet time in the evening: service was attentive and friendly, and the pancakes were delicious. A little pricy perhaps, but in keeping with the area, and I didn't feel like I was getting a rough deal. Lovely fresh mint tea too!"
40,Pancake House, 5 stars ,2 years ago,"Incredible food, great atmosphere and very reasonable prices! Jasmine was the friendliest most energetic and fun charming waitress in all of Amsterdam! Recommend visiting this restaurant, Jasmine will brighten your day and make you feel welcome!"
41,Pancake House, 1 star ,3 years ago,The Spanish lady who served us was extremely angry and rude. An extremely bad attitude. She threw down the the plates in front us and walked away. The lattes we ordered were 90% froth so she clearly needs some barista training. Throughout …
42,Pancake House, 2 stars ,3 years ago,"No service... Walked in asked the person behind the counter if we could sit anywhere, they said yes. There were 2 other tables occupied, one with food and one without. The person behind the counter continue d to make the food for the table …"
43,Pancake House, 1 star ,5 years ago,"The food is alright. I had dinner with a friend and We ordered a Hungarian pancake, a Dutch sweet pancake and Dutch pea soup. Not the best pancakes in town but it's satisfactory. …"
44,Pancake House, 1 star ,6 years ago,The food is really good. Can't say otherwise. But the service from our waitress was disappointingly uncourteous. We were left unattended for quite a while waiting for the rest of our order; 20 minutes after finishing our meal and no ice …
45,Pancake House, 2 stars ,4 years ago,"Not the best pancake place in town, but serviceable if you know what to order. Make sure they don't put frozen fruit on your pancake, as that won't be anything special. …"
46,Pancake House, 1 star ,4 years ago,Wish there was an option for zero stars. It took a half hour to get two pancakes (there were only two other parties in the whole restaurant) and when they arrived the dough was raw. We didn’t eat them since we didn’t want to be I’ll but …
47,Pancake House, 1 star ,5 years ago,My mouth actually fell open when they put my waffle down in front of me!! It was served on a dessert-size plate and measured about 4x5 inches. This for almost 8 euros. It would have been another thing if it had been mouth-watering. It was …
48,Pancake House, 2 stars ,2 years ago,"The food is great. The issue is the very slow service. The Mgt should know.1server only and full pack will not work. It's a tourist spot,there should have more staff.tourists are on tight schedules.  It took waitress 15minutes to come to …"
49,Pancake House, 5 stars ,3 years ago,"We came in around 9:30 am on a Saturday, and there were plenty of seats.
The staff is very friendly amd helpful.
I had the bacon and cheese omelette and a nutella banana pancake, and everything …"
50,Pancake House, 1 star ,2 years ago,My partner and I can't write an honest review about the food as we didn't even choose our opportunity to order any food once the very rude waitress attended our table this morning. We walked in to enjoy a cold drink and a light snack and …
51,Pancake House, 5 stars ,3 years ago,"We walked by this place and were drawn in by its beauty and our desire to try a pancake. The server was extremely friendly, and the service was quick! Our food was delicious and the ambience was perfect. Highly recommend!"
52,Pancake House, 5 stars ,2 years ago,"Fantastic food....try the bacon and cheese omelette...and wonderful poffertjes! Andrew provided friendly and  personal service...we would have loved to go back if our stay in Amsterdam was longer! Highly recommended  from the Gold Coast,  Australia:)"
