,Name,Review Rate,Review Time,Review Text
0,Paon Bali, 5 stars ,7 months ago,"Fresh, healthy Balinese food cooked on the same day. On Wednesdays and Thursdays they serve more special dishes such as Babi Guling, Nasi Ikan or Nasi Ayam Betutu that need longer cooking, while on Fridays and Saturdays they serve more …"
1,Paon Bali, 5 stars ,a month ago,"Incredible flavours and freshness with truly authentic Balinese ingredients and spices. This surely has to be one of Amsterdam’s if not the Netherlands hidden gems and best Indonesian places to eat or as i did get take away!
Ring in advance to avoid disappointment"
2,Paon Bali, 5 stars ,3 months ago,"First time trying the nasi babi guling! lots of flavours, lots of meat!"
3,Paon Bali, 5 stars ,5 months ago,"As an Indonesian living in the NL, I’ve tried ALOT of Indonesian food at many tokos and restaurants. This place was recommended to me by another Indonesian friend, and the moment I took my first bite, my taste buds instinctively knew it was …"
4,Paon Bali, 5 stars ,9 months ago,"Small restaurant at the corner of a street and once you try the food you understand why it get so famous. Authentic, simple and delicious!  Hearty food, love it!!!"
5,Paon Bali, 5 stars ,3 years ago,"We tried the ""Nasi Ayam"" and was blown away by how delicious it was. Definitely not your usual Indonesian toko / take-away (afhalen). My wife is from Bali and according to her this is the closest you can get to an authentic Balinese taste here in the Netherlands.. Definitely worth all the effort trying to get there."
6,Paon Bali, 5 stars ,2 years ago,Absolutely delicious. A lovely couple run this restaurant with flavours to die for. It's clear this is a favourite with locals. So glad we made the trip from mainland Amsterdam. Definitely worth it.
7,Paon Bali, 5 stars ,5 months ago,Amazing fresh and authentic Balinese food. So happy to have this in my neighborhood.
8,Paon Bali, 5 stars ,5 months ago,Absolutely delicious and authentic. Best Indonesian restaurant I know in the Netherlands.
9,Paon Bali, 5 stars ,a year ago,"I was born and raised in Bali, I can say this place is the closest thing you’ll ever taste to Bali. Amazing local balinese taste. Friendly folks ❤️"
10,Paon Bali, 5 stars ,a year ago,One of the best Indonesian food in the NL. Dian is a truly Balinese cook who aren't afraid to use the real Balinese spices and chillies. They have only one menu per day and the weekly menu will be posted on fb or instagram ... we are a big …
11,Paon Bali, 5 stars ,9 months ago,Best restaurant in Amsterdam. I love this place with all my heart ❤ The food is phenomenal and the couple who run it are every bit as wonderful as there delicious menus
12,Paon Bali, 5 stars ,2 years ago,"The best Bali food from Amsterdam!! Yes yes... The ayam betutut, the sambal matah, the salad named Lawar, the couple who runs this restaurant are waiting of you in real traditional Bali clothes. The interior and the atmospheres was so warm …"
13,Paon Bali, 5 stars ,6 months ago,Amazing. Such good flavors and nice spices. Highly recommended!!
14,Paon Bali, 5 stars ,a year ago,"Amazing food, friendly staff and great atmosphere. We’ve been in Bali and this place rivals it in authenticity on all fronts. Highly recommended."
15,Paon Bali, 5 stars ,3 years ago,"If you are in the neighborhood (a twenty minute bike ride would still totally be in the neighborhood. That is how good it is), definitely go here! The food is so delicious, and definitely not blended down to be 'dutch-indonesian'. We traveled Sumatra for several weeks and still this restaurant is at the top of our list."
16,Paon Bali, 5 stars ,2 years ago,"Just discovered it and it’s already my new favourite place to eat! Lovely couple running the place, legit Balinese flavours, proper spicy sambal, generous portions - my heart and belly are so happy 😍"
17,Paon Bali, 5 stars ,a year ago,"Super tasty you will not be disappointed, they also serve vegetarian options on Friday and Saturday for takeaway they serve it in cardboard boxes instead of the usual plastics tubs."
18,Paon Bali, 5 stars ,8 months ago,"Spacious place, friendly service, delicious food and super cheap price for such a big portion in Amsterdam."
19,Paon Bali, 5 stars ,2 years ago,"Without a doubt this is THE BEST Indonesian/Balinese food in all of Netherlands, even better than any high-end and more expensive restaurants.
The babi guling dish is to die for."
20,Paon Bali, 5 stars ,3 years ago,Get my dinner here often... Really high quality... And I'm brought up in an indonesian family. All my friends I take here are also as excited and enthousiastic like me. Hope this caterer survives in this location..
21,Paon Bali, 5 stars ,a year ago,Great nasi babi guling. Comparable with or arguably better than on Bali. Food is bit spicy if not used to it.
22,Paon Bali, 5 stars ,5 months ago,Always amazing quality and super fresh
23,Paon Bali, 5 stars ,3 years ago,"Tasty delicious proper Balinese food, huge portions and friendly staff. Great value. Can't go wrong :) Lekker"
24,Paon Bali, 4 stars ,a year ago,unique and wonderful; we will be going back for sure. more vegetarian please and open more restaurants just like this one!
25,Paon Bali, 5 stars ,3 years ago,"Super tasty dishes!! We missed you guys joining the restaurant in Amsterdam WTC, hope you'll be back soon as we loved eating from you for lunch with colleagues."
26,Paon Bali, 5 stars ,a year ago,"Authentic, great Balinese food and very friendly owners. Can highly recommend!"
27,Paon Bali, 5 stars ,11 months ago,Delicious Balinese food and super friendly owner. Happy belly! 👍
28,Paon Bali, 5 stars ,3 years ago,"The food & menu is simply amazing! Dian & Steven are both very welcoming too, and that makes me eat their food pretty much every week."
29,Paon Bali, 5 stars ,2 years ago,Only €12.50 for a big variety of authentic Balinese cuisine. Delicious.
30,Paon Bali, 5 stars ,a year ago,Affordable and tasty authentic Balinese food. Just go!
31,Paon Bali, 5 stars ,a year ago,The best Balinese restaurant in Amsterdam with authentic taste 👍😎😍
32,Paon Bali, 5 stars ,3 years ago,"Excellent, fresh (!), healthy (!!) preparations of one  Balinese meal each day!"
33,Paon Bali, 5 stars ,a year ago,Take away. Very popular right now. Food was good.
34,Paon Bali, 5 stars ,3 years ago,really good bali tasting veggie option (when available)!
35,Paon Bali, 5 stars ,2 years ago,Delicious Balinese food
36,Paon Bali, 5 stars ,2 years ago,Very tasty and always good!
37,Paon Bali, 5 stars ,6 months ago,Best indo in town
38,Paon Bali, 5 stars ,a year ago,Authentic Balinese cuisine
39,Paon Bali, 5 stars ,a year ago,Nice balinese food
40,Paon Bali, 5 stars ,2 years ago,Authentic Balinees food
41,Paon Bali, 5 stars ,a week ago,"(Translated by Google) Perfect concept with surprising dishes. No regular noodles, fried rice or satay, as you see them everywhere. But really authentic Balinese food. Every evening a different composition of the menu that you can pick up. …"
42,Paon Bali, 5 stars ,8 months ago,"(Translated by Google) Back to Bali with an authentic meal from Paon Bali.

Hospitality and very tasty food are central. Besides that everything is fresh, …"
43,Paon Bali, 5 stars ,5 months ago,"(Translated by Google) Super tasty food and very friendly staff! Nice decor, although I did miss background music/sounds. This was my first time so no idea if this was missing once or more often. Well worth coming! …"
44,Paon Bali, 5 stars ,a year ago,"(Translated by Google) During a car ride and just before curfew walked in on spec. Fortunately there was still enough for 2 delicious meals and I was helped very friendly. Once home, delicious food! Lots of different authentic flavors and …"
45,Paon Bali, 5 stars ,4 months ago,"(Translated by Google) Fantastic tasty Indonesian food. Do not expect Javanese cuisine, but be surprised by the authentic Balinese cuisine. …"
46,Paon Bali, 5 stars ,6 months ago,(Translated by Google) Finally an indonesian restaurant where you just get the real indonesian flavors and atmosphere like in the traditional warungs there. There is only 1 menu per evening which you order online and then pick up kf eat …
47,Paon Bali, 5 stars ,2 months ago,(Translated by Google) Ridiculously good food. Run by very nice people with a passion for their business. Don't skip this. …
48,Paon Bali, 5 stars ,a year ago,(Translated by Google) Very authentic Balinese food. Was very tasty. Every day there is a different daily menu. …
49,Paon Bali, 5 stars ,6 months ago,(Translated by Google) It was great if it was back on my Bali after 2/5 years. I will definitely come back. …
50,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Super Bon Repas❤️ The real Balinese restaurant 100%. I highly recommend to eat here. Very clean, the boss is friendly. …"
51,Paon Bali, 5 stars ,10 months ago,"(Translated by Google) Delicious Indonesian (Bali) dishes for takeout. Not a shop where you can choose from twenty dishes, but every day a changing daily menu with only a few options. But always very tasty! Definitely worth a visit. Only …"
52,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Delicious Balinese. Tasty fried rice with spice.
And pick up in cardboard is therefore also environmentally friendly. ;-) …"
53,Paon Bali, 5 stars ,8 months ago,"(Translated by Google) Great good food! Just don't be picky because you eat what's on offer. What the pot is buying is good, so that's no problem at all. Really back in Bali. …"
54,Paon Bali, 5 stars ,a year ago,(Translated by Google) Really super tasty Indonesian food. And specifically Balinese cuisine. One meal variant every day. Great combination of flavors. Always a feast for all senses. Tasted once and you are sold. We have been collecting …
55,Paon Bali, 5 stars ,a year ago,(Translated by Google) The best take-out in Amsterdam for a very affordable price. A variation every day and always delicious! Tips: Come early. Like all the best things in the world it can get really busy around 6.30pm but it's worth it! …
56,Paon Bali, 5 stars ,10 months ago,(Translated by Google) Delightful and asli! Compliments to the chef. Suksma! Recommended. …
57,Paon Bali, 5 stars ,6 months ago,"(Translated by Google) Delicious food, very tasteful, attention has been paid to everything. …"
58,Paon Bali, 5 stars ,11 months ago,(Translated by Google) Incredibly delicious every time we catch up. Best quality / price in Amsterdam that I know. I drive specially from West to pick up 😀. …
59,Paon Bali, 5 stars ,5 months ago,"(Translated by Google) More than worth the detour. Fantastic flavors!

(Original) …"
60,Paon Bali, 5 stars ,2 years ago,(Translated by Google) This is really recommended. Great fresh food. I live in the neighborhood and always see them in the kitchen all day and can't wait until dinner time. People come from outside Amsterdam to get a meal here. It is really …
61,Paon Bali, 5 stars ,3 years ago,"(Translated by Google) The best Indonesian (Balinese) food I've eaten in the Netherlands, also approved by my indo friends. Each takeaway consists of various elements of vegetables, meat and sambal, which are all fresh and tasty. No meals …"
62,Paon Bali, 5 stars ,a year ago,(Translated by Google) Very tasty food! I often treat my guests to a meal from Paon Bali. Everyone loved it. Environmentally friendly packaging in cardboard. Also a definite plus. …
63,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Delicious eaten! 1 kitchen, 1 menu per day (no food waste), highly recommended. I would order in advance, the restaurant is very popular. We will certainly come back. …"
64,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Best Indonesian Food in the Netherlands. Conveniently packaged, good price. Really fantastic. …"
65,Paon Bali, 5 stars ,3 years ago,"(Translated by Google) I really like this catering! The flavors are really just like in Bali. I had zero expectations when we ordered the nasi djingo, but I am pleasantly surprised. Keep it up, I'll be back soon! …"
66,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Fantastic food, at a very acceptable price (take away with daily menu). We will be back soon! …"
67,Paon Bali, 5 stars ,10 months ago,(Translated by Google) Really delicious. Price quality ratio is really very good. An absolute must. …
68,Paon Bali, 3 stars ,a year ago,"(Translated by Google) Food was good and idd also vegatarian meals on certain days. Vega meals are fairly basic and not much variety in terms of meals. Furthermore, good food and good service. …"
69,Paon Bali, 5 stars ,2 years ago,(Translated by Google) FAN-TAS-TIC food! A cardboard box full of goodies for € 12 per person. Changing menu of 1 choice. See the website. To be collected but also to eat there. Can also be ordered via home delivery. Absolute must !!! …
70,Paon Bali, 5 stars ,2 weeks ago,"(Translated by Google) This is what you come back for!

(Original)
Hier kom je voor terug!"
71,Paon Bali, 5 stars ,a year ago,"(Translated by Google) Absolutely nothing short of amazing, a REAL taste of home (from someone who has lived in Bali for 13 years) …"
72,Paon Bali, 5 stars ,4 months ago,"(Translated by Google) Tasty food, traditional Balinese food

(Original) …"
73,Paon Bali, 5 stars ,4 months ago,"(Translated by Google) Delicious food. Fun people.

(Original)
Heerlijk eten. Leuke mensen."
74,Paon Bali, 4 stars ,2 years ago,"(Translated by Google) First time food here and certainly not the last time, delicious food, tasty pedis too! …"
75,Paon Bali, 5 stars ,2 years ago,"(Translated by Google) Very tasty Balinese food !!! Always!! People turn around for this, but we are the lucky neighbors! …"
