,Name,Review Rate,Review Time,Review Text
0,Pasta Factory, 4 stars ,5 months ago,"Very nice Italian food at Dam in Amsterdam

We were 6 persons and we enjoyed all the meals …"
1,Pasta Factory, 5 stars ,3 months ago,"Great place
Great food
Recommended to go and eat"
2,Pasta Factory, 4 stars ,5 months ago,Just nice. Dishes wasn't that special
3,Pasta Factory, 5 stars ,3 years ago,"Delicious homemade pasta! We also ordered a pizza which was delicious. The resturant space is almost large enough to find a place for ordering and eating your food. Their staff were polite and kind. If you are a pasta lover, definitely you have to try their pasta specially with tomato juice."
4,Pasta Factory, 3 stars ,4 months ago,The first impression was not good. The place was overcrowded and the waitress keep passing me and my husband as if we were not there. We had to walk to the kitchen entrance to ask if they had any table available. After we've sit down it …
5,Pasta Factory, 1 star ,6 months ago,"Sauces are flavourless (we tried a few different things as a group) and portions are tiny even for a small woman. It's quite expensive as well. Do absolutely not order any form of salad, you are better of eating a AH salad outside by the canal and buying 3 bottle of wine for the same price to drown the memories of this place."
6,Pasta Factory, 5 stars ,4 years ago,"We really enjoyed our late afternoon visit to the Pasta Factory, the staff did their best from the outset to make our stay a success. The food arrived very quickly, was freshly prepared and very tasty. The prices were reasonable. Overall a resounding success."
7,Pasta Factory, 3 stars ,2 years ago,Got tempted to try it since it said it’s homemade pasta. I ordered the 4 cheese pasta and I can say it was alright nothing special. The pasta was bit dry and I had to add lemon and chili to make it better. The waiter is very friendly and …
8,Pasta Factory, 3 stars ,2 years ago,"Our order was taken extremely fast, drinks came fast, food came fast. Pasta was good. The pizza was okay. The cheese was rubbery, the crust was bland, but the the seasoning on the pizza was perfect not to strong but was just the right …"
9,Pasta Factory, 4 stars ,4 months ago,"Small location, pasta was good and preparation was pretty fast. The small italian staff women was very friendly and funny, while others where a bit stressed. Toilets could be cleaner."
10,Pasta Factory, 5 stars ,a month ago,"Nice place, very welcoming host and (the most important) great pasta. 5/5 would have carbonara again"
11,Pasta Factory, 1 star ,3 months ago,"It looked like a nice place, but the service is awful. Due to corona restrictions restaurants are working till 5pm but they didn't let us in at 4pm. Still serving other customers. Also refused to at least use their WC (requested 1€)."
12,Pasta Factory, 5 stars ,2 years ago,Super tasty and fresh pasta! Prices are around 14 euros for a plate of delicious pasta. RECOMMEND!
13,Pasta Factory, 4 stars ,4 months ago,"Serves gluten free pasta and overall it’s a basic and ok place to get something warm in your belly.
Friendly service."
14,Pasta Factory, 3 stars ,2 years ago,"If you’re craving home made and non-experimental pasta, that‘s the spot for you.
There is nothing to complain or to compliment about the food. In comparison to …"
15,Pasta Factory, 4 stars ,2 years ago,Good portion of yummy pasta. Service  was good and food came quickly after we ordered. Went there during lunch time at 12pm
16,Pasta Factory, 5 stars ,3 years ago,"Popped in last night for some hearty Italian food- we both ended up having one of their focaccia pizza's and shared a salad which were heavenly! All together, two glasses of wine, two pizza's, a salad and a massive slice of cheesecake to …"
17,Pasta Factory, 5 stars ,3 years ago,Fantastic Spaghetti Bolognese which was full of flavour and made me feel warm and gooey inside. It reminded me of home. …
18,Pasta Factory, 5 stars ,2 years ago,This place serves very decent pasta. Inexpensive and quality taste. Its well recommended for tourists and locals.
19,Pasta Factory, 1 star ,9 months ago,The food is less than good. The pasta amount was not enough for the price. I ordered broccoli and payed for it and they have two mini pieces. There was no sauce only a little at the bottom. I was really disappointed.. the service was good and they were friendly but the food wasn’t .
20,Pasta Factory, 5 stars ,a month ago,"Super friendly staff, delicious pasta! Will be coming back here!"
21,Pasta Factory, 5 stars ,4 years ago,"My husband loves pasta and he loved this. I hate pasta and I loved this. Don't let the casual appearance fool you, it is more upscale. There's a sign that says pasta starting at 6.50€, but we didn't actually see it on the menu. Having said …"
22,Pasta Factory, 5 stars ,2 years ago,"Excellent fresh Italian pasta, gluten free options, fantastic value for money"
23,Pasta Factory, 5 stars ,a month ago,The food was amazing the hostess was so friendly and lovely to talk to
24,Pasta Factory, 4 stars ,4 years ago,"Pasta was great, portion was relatively less compared to the price. But overall nice staff and great pasta. Definitely recommend this place for pasta lovers."
25,Pasta Factory, 5 stars ,3 years ago,"Tasty food, affordable price, and quick service! They were understandably busy given the touristy location, but our order was taken promptly and our food arrived shortly after. Everything was fresh and delicious!"
26,Pasta Factory, 5 stars ,4 years ago,"Great service, great food, great atmosphere! Went in on a Saturday evening for dinner and didn't have to wait long to sit down. Prices are fairly standard for what you'll find in Amsterdam. Right by Rembrandtplein so good for tourists! Local approved! 👍🏻"
27,Pasta Factory, 5 stars ,4 years ago,"Lovely food! Visited here twice within the 5 days we were in the country. Good, affordable food, good quantity, friendly staff and fast service"
28,Pasta Factory, 4 stars ,3 years ago,"Delicious homemade pasta! We took the pesto, fungi tagliatelle and it was wonderful! The only disadvantage is the cleaning, dirty toilets and a lot of flies, but it still didn't stop us from coming here twice."
29,Pasta Factory, 5 stars ,3 years ago,"Delicious food, fast service and really nice and friendly employees. Hidden gem. Tried the pasta and the pizza and they are great. Would definitely come again."
30,Pasta Factory, 4 stars ,8 months ago,"Be precise of how much you wish to eat...I got a small portion of pasta that wasn't even half of my appetite...
You wish you try the cheese bread/ pizza they have. It's heaven 😍"
31,Pasta Factory, 4 stars ,3 years ago,"Very tasty reasonably priced for the area, servers suggestions were spot on and the place had a great energy. Friendly fun staff and great food make this a wonderful place for a quick casual bite."
32,Pasta Factory, 5 stars ,3 years ago,"The food was lovely, well priced, cute place and the staff are friendly. What more could you want 👌"
33,Pasta Factory, 5 stars ,2 years ago,"Staff are very nice, food is delicious, very much recommended!"
