,Name,Review Rate,Review Time,Review Text
0,Pasta Pasta, 2 stars ,4 months ago,"The service is extremely slow, more than 1 hour waiting for our lunch.
The “Prosciutto” was also really bad and the pasta was not well seasoned.
An extra is that even the Pepsi was terrible, it was one of that Pepsi from …"
1,Pasta Pasta, 1 star ,3 months ago,Nice service. But WORST spaghetti bolognaise of my life…. It doesn’t taste like anything but water. …
2,Pasta Pasta, 1 star ,4 months ago,"I do not recommend this place, won't be going again. It's not worth your time and money. …"
3,Pasta Pasta, 1 star ,4 months ago,"Actually no star at all. Waited nearly 45 min for the ‘food’.  They forgotten about the starter, thank God. Two of three dishes were simply not eatable. Never ever had such a bad Restaurant experience before. Wasted time and money!!!"
4,Pasta Pasta, 4 stars ,5 months ago,"Pasta Pasta is between three and four stars.
The food itself (we had Pasta, Gnocchi and Ravioli) was indeed good and tasty even if it were really small portions. …"
5,Pasta Pasta, 2 stars ,2 years ago,"I went to Pasta Pasta years ago , when they had the build-your-own pasta model, and was very impressed. Unfortunately on my trip there this time I found a restaurant I hardly recognized. Gone was the fettucini, the build-it-yourself …"
6,Pasta Pasta, 1 star ,5 months ago,We got there and everything was alright first. The tables were so small that we couldn’t even sit propally. Than we placed our order and waited over 40 minutes for our food. If the food were good it wouldn’t matter but it was horrible. The …
7,Pasta Pasta, 1 star ,3 years ago,"Poor food, good service. I would never go back due the tasteless food. The sad thing is that the food looked really nice  but food taste wise ot was one of the worst experiences for me. Also the price of 37.50 for 2 people a bit much for …"
8,Pasta Pasta, 2 stars ,a year ago,"Well, that was not that good, and particularly for the price! They serve you in a huge dish but a very small quantity. The pasta was like a soup with a few pieces inside. And this for 12euros or more, I don't remember exactly."
9,Pasta Pasta, 5 stars ,2 years ago,Great food and nice service! They didn’t have Spaghetti Bolognese on the menu but had no issue making it anyway when I asked if they had it! Cool atmosphere
10,Pasta Pasta, 4 stars ,4 years ago,Good Pasta and Bruscetta. Friendly Staff. Portions have the right size. Service is also very quick. The pasta is home made and you can taste that. Prices are very good for what you get.
11,Pasta Pasta, 5 stars ,5 years ago,"Came here after searching for vegan pasta. Their online menu is great, it shows all the ingredients for the different types of pasta and sauces, so it's perfect for vegans. You can choose your type of pasta, combine with a sauce and add …"
12,Pasta Pasta, 1 star ,a month ago,"We waited 40 minuten for pasta and a steak
And The steak was cold before the fries arived
Way to expensive for how good it was"
13,Pasta Pasta, 4 stars ,4 years ago,A pretty cosy place to have homemade pasta. The olive platter is a must try. Ravioli is the second. The staff is friendly and it's worth the wait. In terms of pricing it does hurt a bit.
14,Pasta Pasta, 5 stars ,2 years ago,Great pizza's for a reasonable price. Fast and friendly service in both Dutch and English. has the option to bring your food home in a box which is rare in Europe. Would absolutely recommend!
15,Pasta Pasta, 5 stars ,3 weeks ago,"Pasta shmasta, try the pizzas. Fooking incredible. Excellent service. So good. 😊"
16,Pasta Pasta, 4 stars ,2 years ago,"Very nice and cozy place that gives a rustic feeling. They have several varieties of pizzas, pastas and calzones. We had pastas. The quantity was a lot for one person!! But the taste was very good and so was the service! A definite recommendation!!!"
17,Pasta Pasta, 1 star ,2 years ago,One of the worst I've ever been. They just don't care about customers. We ordered save waited awfully long for the food to arrive. When it did arrive my posts with anchovies had just one anchovie. My wife's pasta was swimming in olive oil. When asked they just give a look. A rip off restaurant in the heart of Amsterdam.
18,Pasta Pasta, 5 stars ,5 months ago,"The gnocchi is really really good, good prices and nice ambience!"
19,Pasta Pasta, 5 stars ,3 years ago,Incredibly tasty Italian food in the center of Amsterdam. All stuff including cooker are Italians. Open kitchen - so you can see all the process of food preparing. Extremely nice waiters. For sure will come back.
20,Pasta Pasta, 5 stars ,3 years ago,"Best home made pasta I've ever tried. It's in the city centre. The whole stuff are Italians, super friendly and polite. Recommendation!"
21,Pasta Pasta, 2 stars ,4 months ago,"Spare your time and money. The staff is rude, the food truly overpriced, the toilet was broken. Just because you are a tourist you dont deserve that!"
22,Pasta Pasta, 1 star ,8 months ago,"Bad price to quality ratio. Taste was okay, but not worth the price tag. We missed the oregano as finish on the Pizza, that we are used to from other places. Didn't get the order right. Brought the replacement, but instead of artichokes we …"
23,Pasta Pasta, 1 star ,6 days ago,"Staff is horrible, gnocchi tasted really bad. Can‘t recommend this place."
24,Pasta Pasta, 3 stars ,4 years ago,"It was nice to hide in this Italian restaurant after a walk in this busy district. The pizza was good, though little overbaked. Staff was helpful and friendly. The only thing we didn't like much was a bit too loud music."
25,Pasta Pasta, 3 stars ,4 years ago,"We passed by this place with expectations of being served indoors with the view of the streets, but we got the boot when we ordered our main course without drinks. …"
26,Pasta Pasta, 4 stars ,3 years ago,"Tried this pasta place in Amsterdam which was quite nice. The pasta is not as ""al-dente"" as it is in Italy but the taste was authentic. You have to order a drink here though if you want to eat here."
27,Pasta Pasta, 5 stars ,3 years ago,"This is always a must stop for us whenever we are in Amsterdam. Pasta can be so simple but Pasta Pasta is always serving up the best options! It is essentially a make your own pasta place where you start by choosing your type of noodles, …"
28,Pasta Pasta, 4 stars ,3 years ago,"I have eaten much better Italian food outside of Itally but this is pretty decent place with very nice service, I really enjoyed the food over there. Prayers was very good."
29,Pasta Pasta, 1 star ,7 months ago,"We had to wait 45mins for your food. The food was not tasty at all, also the size was very tiny. We waited another 20 minutes only to pay. I do NOT recommend this place!!!"
30,Pasta Pasta, 1 star ,4 months ago,"Aweful service.
Be careful with the waiter. He'll add things to your order without advicing the extra charge."
31,Pasta Pasta, 2 stars ,3 weeks ago,Bland tasting and under staffed. My experience was not pleasant. Props for the long opening hours!
32,Pasta Pasta, 1 star ,7 months ago,"We had to wait 45 minutes for the starters, then another 15 for the main courses. Food was bland and overpriced. The server was impolite and it always took an eternity to even get his atention, whenever we wanted to order or pay.
I would not recommend this place to anyone, I’d give 0 stars if I could."
33,Pasta Pasta, 5 stars ,3 years ago,Great Italian restaurant run by Italians. Food is fresh and very very tasty. Will defo be going back next time in the Dam.
34,Pasta Pasta, 4 stars ,3 years ago,"Friendly and polite staff, tasty italian food

I got my order within 20 minutes"
35,Pasta Pasta, 1 star ,7 months ago,"We waited 50 minutes for our food. After the wait, what came was a joke. Child would not fill up from these portions. The food wasn’t good either. Does not match the price."
36,Pasta Pasta, 5 stars ,4 years ago,Great place to grab a bite as it was just down the road from our hostel. The prices were really good compared to a lot of Amsterdam! The pizzas were fantastic and our waitress was awesome!
