,Name,Review Rate,Review Time,Review Text
0,Pazzi Italian Slow Food, 5 stars ,3 months ago,Really great pizza. I had one without cheese and even that was good. Love it.
1,Pazzi Italian Slow Food, 5 stars ,4 months ago,"The beauty is in its simplicity. A big, clean vibrant open kitchen with an intimate nook of a dining space overlooking it. …"
2,Pazzi Italian Slow Food, 4 stars ,a year ago,I haven’t dined in at this restaurant but the pizza delivered is really good. Nice thin crust with good char. The amount of toppings is perfect. The spicy salami is crispy and spicy. Very tasty pizza!
3,Pazzi Italian Slow Food, 5 stars ,3 weeks ago,"This is actually a 4-star review (I don't want to hurt the restaurant's average rating). I say 4 stars because despite offering great pizzes, with fine ingredients and wonderful crust, their tiramisu was bland and uninspiring. Yes, the …"
4,Pazzi Italian Slow Food, 5 stars ,4 years ago,"One of the best pizza I have ever tried. The best I ate in the Netherlands for sure!
Super thin crust , delicious toppings, simple but rich in taste! Good service …"
5,Pazzi Italian Slow Food, 5 stars ,6 months ago,The best margarita ever I had in Europe. Believe me.
6,Pazzi Italian Slow Food, 5 stars ,2 weeks ago,"I had the best margarita ever , the service was great the atmosphere is amazing by the waitress Jolina"
7,Pazzi Italian Slow Food, 5 stars ,2 years ago,"One of the better pizzerias 🍕 in Amsterdam. Sympathetic pizzaiola from Sicily. Dough well made and 'swirled'. Very hot 🔥 oven, pizzas are ready in minutes. Thin crust, quality toppings. Does take-out and has a small seating area with 16 chairs. Does not take reservations. Recommended!"
8,Pazzi Italian Slow Food, 5 stars ,a year ago,very good pizza with tasty dough. very friendly staff. Best pizza in this area. 😄
9,Pazzi Italian Slow Food, 4 stars ,5 years ago,One of the best Pizza's in Amsterdam. The Prosciutto Pizza is almost as good as an Italian Pizza. The service is not great but still highly recommended.
10,Pazzi Italian Slow Food, 1 star ,9 months ago,"Had a horrible experience here and am extremely disappointed with the order (quality, service, temperature) and the unexpected long wait time. First, I ordered my food with the expectation that it would arrive within 60 minutes (per …"
11,Pazzi Italian Slow Food, 5 stars ,3 years ago,The best pizza in town!! Healthy.. tasty.. and the wine super nice...😍😍 don't forget to try the antipasto 😍😍
12,Pazzi Italian Slow Food, 2 stars ,6 months ago,"Awful experience ordering from UberEats, pizza arrives 45 min late, cold. The size of the pizza was small for the price."
13,Pazzi Italian Slow Food, 5 stars ,2 years ago,One of my best pizzas. Truffle pizza is the best!!!!!
14,Pazzi Italian Slow Food, 5 stars ,2 years ago,Excellent authentic Italian pizza with great-tasting and natural ingredients. Top notch! 🇮🇹🍕👌🔝
15,Pazzi Italian Slow Food, 4 stars ,3 years ago,Great pizza and nice guys ruling it. Missing star because of overpricing and serving wine in a tiny glass.
16,Pazzi Italian Slow Food, 1 star ,8 months ago,What asocial stuff. The picolini guys there was screaming on uber delivery. They have no way of talking like a strega ragazzi hahah. The picolino guy with long her very schifo faza one day he going to be very stronco hahahah... really che schifo... and they are also very dirty stuff don't forget that..
17,Pazzi Italian Slow Food, 4 stars ,a year ago,"high prices unfortunately (one star off). the pizza’s are great, light on your stomach (thin), good quality, we tried almost all pizzerias in amsterdam and this may be the best"
18,Pazzi Italian Slow Food, 5 stars ,a year ago,Tasty pizza for a decent price. They also deliver food.
19,Pazzi Italian Slow Food, 5 stars ,2 years ago,"Delicious, fresh ingredients, speedy and very friendly staff.
For an Italian, all Pizzas in Amsterdam are over priced but this one is worth it considering you will need to pay the same for any competing pizza of similar quality."
20,Pazzi Italian Slow Food, 5 stars ,4 months ago,Cosy environment and top class pizza!
21,Pazzi Italian Slow Food, 5 stars ,3 years ago,"Simple, no fuss place with excellent pizza. The pizzas are wood fired and are the main item on the menu, some desserts as well but not much else. Wine is well-priced, beer options are not so great. No reservations so you may need to wait for a table, especially on weekends."
22,Pazzi Italian Slow Food, 4 stars ,4 years ago,"Pizza was definitely delicious, but the prices are way to high. While the waiter was really kind and considerate, I consider 18€ for a pizza and a drink way too much. If it weren't for the prices, I'd recommend it. However, it might just be that some consider this being cheap. If you do, don't mind my review and go check it out."
23,Pazzi Italian Slow Food, 5 stars ,a year ago,"Authentic Italian pizza, for my opinion the best of Amsterdam! .. always very friendly and professional italian staff that use only fresh high quality ingredients. Sinds 1 year is also improved. Thanks for your nice smile ..l'm Italian as …"
24,Pazzi Italian Slow Food, 5 stars ,3 years ago,"This place was great! When we went in the evening, we were the only two there for a time. We both ordered margherita pizzas which were made in a wood oven within our view. We also had a bottle of great red wine, and the prices were very …"
25,Pazzi Italian Slow Food, 4 stars ,3 years ago,"1. the food : would say better then average, expect fresh, and quality Italian ingredients. ( but a pizza cost between 13 and 17 euro  ) they use a brick oven with wood as heating. …"
