,Name,Review Rate,Review Time,Review Text
0,Pendergast, 4 stars ,3 months ago,"A good place for an American BBQ meal. We ordered a sharing option that came with beef cheek, beef rib, pork rib plus sides of potato mash, Mac n cheese and salad. The meats were perfectly cooked and fall of the bone. The flavours were nice …"
1,Pendergast, 5 stars ,4 months ago,"A piece of ‘the south’ in Amsterdam. Americans can do one thing like no other: barbecue. This is the first place in Amsterdam, or rather the Netherlands, that really understands the barbeque as it is intended, with all the taste buds that …"
2,Pendergast, 5 stars ,9 months ago,"Decent food, good service. Don't expect any steaks and such because everything is smoked beforehand! The side dishes were really good. We had the brisket and pork cheeks which are probably the most popular dishes."
3,Pendergast, 5 stars ,7 months ago,"Heavenly taste, first time having brisket and not the last one.
The Place is unique, deco super simple, but cozy, the staff is super friendly.
now I understand why needed to book almost a week in advance. 💛💛"
4,Pendergast, 5 stars ,2 weeks ago,Ordered brisket and ribs. Both of them are great. Will definitely go again to try other main courses. Chocolate pecan cake was also so good. You won't regret
5,Pendergast, 5 stars ,4 months ago,"I went to Pendergast without realizing that I’ve been there years ago. But once again, the food, the vibes, the service surprised me… everything was so good, so smooth (from the main to side dishes, especially the mashed potatoes) Thank you for existing 😇😇😇"
6,Pendergast, 5 stars ,a month ago,"Heerlijkkkk! Cant wait to go again!
The meat was so tender! More than perfect bite! Staffs are friendly and helpful!"
7,Pendergast, 5 stars ,a month ago,Fantastic brisket and ribs. Fried burnt ends are the must-have you didn’t know you needed. Lemon cake is amazing. …
8,Pendergast, 5 stars ,a year ago,Excellent pulled pork and ribs. The pulled pork has a strong bbq flavor. The brisket could be a bit more salty. …
9,Pendergast, 5 stars ,5 months ago,I’ve eaten here before and it was amazing but I also just had it delivered and it was absolutely perfect. Really pleased with everything and packaged correctly and the food is so delicious.
10,Pendergast, 4 stars ,3 months ago,"I quite like this place! Been back three times since I discovered it a month ago. The food can be a tad inconsistent (sometimes too salty) but when it is good, which it usually is, it’s great. Highlights are the corn bread, brisket and Mac and cheese. Staff is wonderfully friendly too"
11,Pendergast, 5 stars ,6 months ago,"Great food, great beer selection, a must visit if you like authentic BBQ food.

We started with the deep fried brisket burnt ends, think ""bitterballen"" but made …"
12,Pendergast, 5 stars ,4 years ago,"Great place for meat lovers, but you can find could salads too. Brisket was great, all the pork options amazing. We got to try all the side dishes. The beans with meat super. Corn bread tasty. Even the turkey was excellent. Only the mac and …"
13,Pendergast, 4 stars ,4 months ago,"The food and the drinks were delicious, if a little pricey. A style of food you won't find very easily in Amsterdam. …"
14,Pendergast, 4 stars ,2 years ago,"Meat lover's paradise.  The brisket was excellent, and so were the ribs. Service was friendly and very good.  Highly recommended.  I have one request for the management:  please keep some American wines - and Sam Adams!"
15,Pendergast, 5 stars ,6 months ago,"High quality and plenty quantity authentic comfort food in a cozy setting. The wine, cocktails also were a hit. The host is a very attentive and amiable person who will make you feel right at home. Definitely making a return visit as soon as possible highly recommended +++++"
16,Pendergast, 5 stars ,5 months ago,A small cozy establishment with very friendly people and awesome food. I had the brisket and it was delicious! I prefer this over any steak any day! It was super tender and full of flavor!
17,Pendergast, 5 stars ,2 years ago,"KC bbq in Amsterdam!! I have only been once but will be back. They smoke the meats in house and all the sides are homemade as well.
We started with some delicious cocktails and the fried burnt ends. The burnt …"
18,Pendergast, 5 stars ,a month ago,"Amazing cocktails, delicious brisket."
19,Pendergast, 5 stars ,a year ago,"We went with a couple of friends (3 in total). All of us are from Argentina, so we have good knowledge about meat and preparation methods. …"
20,Pendergast, 5 stars ,3 weeks ago,"Lovely little place, quite hidden and unique in its own little way. Staff were very nice and food was amazing! Highly recommend"
21,Pendergast, 5 stars ,5 months ago,Excellent vibe and food. The service is excellent and the personal is super friendly. …
22,Pendergast, 5 stars ,a year ago,"Enjoyed my visit to Pendergast. It is a small restaurant so making a reservation is recommended. The staff is very friendly and helpful. Meat is of good quality, I would not recommend the salmon, compared to for example the brisket or …"
23,Pendergast, 4 stars ,6 months ago,"Very nice staff, great food. Pork ribs was my favourite. Some dishes did need longer marinade for more flavour."
24,Pendergast, 5 stars ,3 years ago,"I'm generally not a fan of food in Amsterdam but Pendegast deserves its praise. It is all about meat here and the focus of the restaurant. But, vegetarians like me has a fab option in the seitan (even looks like meat) and many sides to choose from."
25,Pendergast, 4 stars ,2 years ago,"Very special to have been here and taste the American way of food. Well done, new flavours and textures I have tasted. Don't be afraid of carbs, salt and fat. But ones in a while it is great."
