,Name,Review Rate,Review Time,Review Text
0,Pepenero, 5 stars ,7 months ago,"My teenage daughter and I dined at Pepenero two nights ago and the experience was fantastic.  Brad, our server, was professional, polite and very helpful navigating the varied food choices.  Once the food arrived, we were amazed by the …"
1,Pepenero, 5 stars ,a month ago,"A great experience. This restaurant is on par with any US large city dining experience.
Great everything: appetizers, entrees, desserts, salads, fine wines, etc. Old …"
2,Pepenero, 4 stars ,2 months ago,"Very nice place for a quiet dinner, service was excellent and food was very good. Everything was served with impeccable timing. Highly recommend the Polpo/Spanish Octopus."
3,Pepenero, 5 stars ,4 months ago,"Our dinner at PepeNero was wonderful.  Our server, Noah, took great care of us throughout our visit and Chef Giorgio and his team prepared what I can easily describe as a perfect, professionally-presented meal for us. …"
4,Pepenero, 5 stars ,3 months ago,"Absolutely wonderful food, experience and service!! The quality flavor of the food is indescribable. We will be back!! Thank you"
5,Pepenero, 5 stars ,6 months ago,"I absolutely loved this place. The food was delicious and it was a great experience. The food and drinks were pricey, but we enjoyed paying for excellent food and a wonderful experience. Would absolutely go again."
6,Pepenero, 5 stars ,2 months ago,PepeNero is one of our favorite restaurants in town! The food and ambiance are always top notch and we enjoy every second we’re there! We’ve been lucky to have Noah as our waiter the past 2 times. He’s very knowledgeable about everything on …
7,Pepenero, 5 stars ,a year ago,Me and my wife came here and had an amazing experience. We sat outside in the large outdoor seating area. They allowed our puppers which we really appreciated. The staff was friendly and helpful. For an appetizer we split the crab croquette …
8,Pepenero, 5 stars ,7 months ago,Went in for the first time with high expectations. We've heard from many people that Pepenero was the place to go for dinner.  My expectations werent high enough. …
9,Pepenero, 4 stars ,3 months ago,"Our waiter was superb very knowledgeable about the food and wine menu, which added to our meal experience. The food and wine were very tasty and of great quality. I would have given a five star review but I feel like the prices were a …"
10,Pepenero, 5 stars ,5 months ago,What a lovely experience! Definitely a great place to celebrate something special (like a birthday 🥳 😜) Tasty food and a long selection of drinks.
11,Pepenero, 5 stars ,8 months ago,Always a fantastic experience! The one place we always come back to in Traverse City.  The service is outstanding the food is incredible.  Always save room for dessert!
12,Pepenero, 5 stars ,4 months ago,"PepeNero is such a delight and joy to dine at. The staff are so kind & friendly, with the head chef making rounds to greet those dining. The food is off the charts amazing with such a creative and diverse menu - you absolutely cannot go …"
13,Pepenero, 5 stars ,a year ago,"Very beautiful ambiance. Ordered fig & beet salad as a starter. It was beautifully presented but lacked in dressing and flavor. I ordered Casarecce as my entree. This was flavorful with home made pasta, rock shrimp and huge prawn. Then our …"
14,Pepenero, 5 stars ,4 months ago,"Incredibly warm staff and great atmosphere. When the servers make recommendations you absolutely should listen, they won't steer you wrong. …"
15,Pepenero, 5 stars ,3 weeks ago,Top 10 dining experience of my entire life and I've dined in many of the best restaurants all around the world. THIS IS NEXT LEVEL. like nothing else in northern Michigan. Get the Beef Tar Tar. And the seafood Linguine.
16,Pepenero, 5 stars ,2 months ago,"One of the best meals I've ever had. Our server, Kyle, was also fantastic. Would not hesitate to come here again. I had the Fillet Mignon and Polenta. Wow!"
17,Pepenero, 5 stars ,8 months ago,"Pepenero never fails to disappoint. This time with truffles! The atmosphere of Pepenero is one of my favorites in Traverse City, the staff is so personable and friendly, they make you feel like family. And the food is always incredible. We were lucky enough to snag some meals while they had truffles, and it was delightful."
18,Pepenero, 5 stars ,3 months ago,Great experience and excellent place to go for a birthday. Wife had a fantastic fillet and I enjoyed some handmade pasta. Staff was very friendly and knowledgable. Purple Heart cocktail was so good I could have drank a lot more.
19,Pepenero, 5 stars ,a year ago,"Wow. You really have to try this place! The service from David was outstanding. He knew the menu well, made great suggestions, was kind and very attentive. The ambiance was so beautiful. The food!!! Every bite was a amazing!! The crab …"
20,Pepenero, 5 stars ,3 months ago,This was the best dining experience I've had since I returned from vacation in California. Food was amazing. Staff was attentive and informative. Thank you so much for making my fiance's 25th birthday amazing. I'll definitely be back for more! 🤤🤤🤤
21,Pepenero, 5 stars ,3 months ago,"Came here for our 5th wedding anniversary - food was amazing! We received extra truffles compliments of the chef for our anniversary. Get the Focaccia and Balsamic, you won't regret it. Pasta and dessert were delicious, and had some of the …"
22,Pepenero, 5 stars ,11 months ago,Another great one in TC. David was our waiter. He was very knowledgeable about all the wines on the menu and had good conversation. The linguine seafood bowl was great along with the Cannelloni. Desert were art with flavor. Glad we could stop in.
23,Pepenero, 4 stars ,6 months ago,"First time here, very happy with the service, staff and pleasant environment. Was greeted with a traditional ""buonasera"". Our waiter was very attentive and polite, kindly going over the menu to give us more details. We had the full courses …"
24,Pepenero, 5 stars ,a month ago,"Always an amazing experience at Pepe Nero! The quality of both the food and the service is unbeatable, very little else in the area compares. Do yourself a favor and make a reservation asap."
25,Pepenero, 5 stars ,a year ago,Food and drinks were great.  Ambiance is amazing.  Service was excellent.  Special shout out to David for being present and funny when we needed him and being in the background when we were in conversation.    Can’t wait to come back!
26,Pepenero, 2 stars ,7 months ago,"Good service, average food

If I seasoned my food like this, after 1.5hrs of waiting for the appetizer, my …"
27,Pepenero, 5 stars ,2 weeks ago,Impeccable service and incredible food.  PepeNero is the place to go when you desire only the best.  Keep up the great work.  Your dedication is unmatched.
28,Pepenero, 5 stars ,2 weeks ago,"We enjoy dinner from the Restaurant Week menu  and it was beyond amazing.  The bartenders were friendly,  informative,  and great at what they do!"
29,Pepenero, 5 stars ,7 months ago,"An incredible dining experience. From start to finish, one of the best  meals ever. The staff was attentive and knowledgeable. The Chef is amazing. The food is PERFECTION. They pour top flight liquor and have an expansive wine and cocktail …"
30,Pepenero, 1 star ,7 months ago,"Off the main drag. Won’t comment on the food, but will tell you that from the moment we walked in they were not friendly. Didn’t have reservations and were totally fine if they didn’t have availability. They were rude as hell and told us …"
31,Pepenero, 1 star ,6 months ago,"I wish I could give PepeNero a good review as this used to be one of my favorite restaurants in TC. However, our group had a terrible customer service experience couple weeks ago by their head hostess (not sure of her name, she was on the …"
32,Pepenero, 5 stars ,10 months ago,Our waiter David enchanted us into ordering one of the best meals we had in years. So grateful for the care   we received.
