,Name,Review Rate,Review Time,Review Text
0,Pie Nong Thai, 5 stars ,9 months ago,"Great Thai food cooked by this lovely couple in a small restaurant with outdoor seats, take away and delivery services. The noodles with beef and green curry were delicious with all fresh ingredients lots of veggies and a delicate mix of …"
1,Pie Nong Thai, 5 stars ,3 months ago,My best takeaway experience in Amsterdam. Delightful people and amazing food - highly recommend.
2,Pie Nong Thai, 1 star ,2 months ago,"Closed on random days where it should be open, and when it's finally open, they take 30 mins to start cooking our order having served at least two who weren't there before us."
3,Pie Nong Thai, 5 stars ,a year ago,"Amazing food. Most authentic Pad Thai
I had outside of Thailand. In the present situation, it is only possible to call ahead and pick up the food or have it delivered. paying is only possible by …"
4,Pie Nong Thai, 4 stars ,a year ago,Had the Keng Mas Sa Man chicken with white rice. The tiny kitchen in a hut concept really struck my curiosity and I was far from disappointed! Lovely curry with a long lasting and amazing after taste. I was very sceptical about the potatoes …
5,Pie Nong Thai, 5 stars ,2 years ago,I love it! ❤ Authentic Thai food in a small house on the corner of a bridge! Made me go back to Asia in a second. Lovely people are making magic in such a small kitchen! Will go there more and more! :)
6,Pie Nong Thai, 5 stars ,6 months ago,Amazing food and exceptional service! You can tell they care about their customers!
7,Pie Nong Thai, 5 stars ,4 years ago,"My favorite a little Thai House.(I always call it like that ) The owner is always nice and foods are good. All foods include a white rice. Try anything you want. I would suggest you better to try Tom Yum soup, and #42. Also try to eat outside with sun in summer. Enjoy!"
8,Pie Nong Thai, 5 stars ,7 months ago,So delicious. Had the red curry & the chicken soup. So tasty!
9,Pie Nong Thai, 5 stars ,11 years ago,"I think my title says it all... we love this little place.

Everything is good but the soups deserve some extra attention. They are so good! Thai comfort food, and it's even healthy!"
10,Pie Nong Thai, 2 stars ,a year ago,Tried coming with friends as had heard great reviews but the google opening times do not match actual opening times. Cycled here in the heat only to find it closed (google said it was open). Please update!
11,Pie Nong Thai, 5 stars ,5 years ago,Kind and really warm couple doing the best of the Thai cuisine in only 2mq. Recommended. Huge portion !!!!!!!! Best part waiting for food inside!
12,Pie Nong Thai, 5 stars ,4 years ago,We love eating from here!  The food is so good and authentic! Very friendly and yummy!!  Best thai in the city!
13,Pie Nong Thai, 5 stars ,a year ago,Such a cute place with lovely owners. Tasty and (v quick!) dinner after a long day at work!
14,Pie Nong Thai, 5 stars ,5 years ago,Best Thai Take-away in town! Freshly cooked in front of your wait...
15,Pie Nong Thai, 5 stars ,2 years ago,Live this place. Best Thai in Amsterdam. The guys that work there are lovely too
16,Pie Nong Thai, 4 stars ,8 months ago,Worth the wait! And such friendly staff :-)
17,Pie Nong Thai, 5 stars ,4 years ago,"Great food, friendly service and a cute little kitchen in what used to be a bridge keeper's house."
18,Pie Nong Thai, 5 stars ,4 months ago,best thai in town
19,Pie Nong Thai, 5 stars ,4 years ago,Great food and very friendly service. Love it !
20,Pie Nong Thai, 5 stars ,a year ago,Pad Thai was super delicious.
21,Pie Nong Thai, 5 stars ,5 years ago,A tiny little shack making great Thai food.
22,Pie Nong Thai, 5 stars ,4 years ago,So good! Authentic Thailand in the center of amsterdam!
23,Pie Nong Thai, 5 stars ,a year ago,Amazing food and friendly service 🙌🏽
24,Pie Nong Thai, 5 stars ,a year ago,Best Thai in Amsterdam by far!
25,Pie Nong Thai, 3 stars ,3 years ago,Meh....
26,Pie Nong Thai, 4 stars ,5 years ago,"cute little thai take away, what you see is what you get!"
27,Pie Nong Thai, 5 stars ,4 years ago,My fav Thai spot in Amsterdam
28,Pie Nong Thai, 5 stars ,3 years ago,Authentic as heck
29,Pie Nong Thai, 5 stars ,a year ago,"(Translated by Google) Small house where super tasty Thai food is prepared, with good value for money and if you order by phone, it is also ready very quickly. …"
