,Name,Review Rate,Review Time,Review Text
0,Pipistrello, 5 stars ,2 years ago,"Visited Pipistrello a few days ago together with my girlfriend. We ordered the medium platter and an oven dish, which was enough for dinner. The wines were really good and the staff advised us very well on what to order. Food was delicious too. We’ll be back here."
1,Pipistrello, 5 stars ,3 years ago,"I found this gem of a bar and haven’t stopped coming ever since! Super cosy, fine wines and delicious food. Above all what makes Pipistrello great are the staff; always welcoming and friendly!"
2,Pipistrello, 5 stars ,3 years ago,"Wine and food are super tasty, we took the big meat platter and the risotto bites to share! Definitely worth it if you are in the neighborhood."
3,Pipistrello, 5 stars ,3 years ago,"Everything was sooooo tasty! Really good food, wine and desserts. Don’t understand why on Thursday evening it’s not busy! Also nice girl working there, probably the owner."
4,Pipistrello, 5 stars ,2 years ago,"Perfect neighborhood winebar... cosy, unpretentious, comforting, super wine (with staff who are both knowledgeable and nice!) and fantastic anti pasti. My new go-to place :)"
5,Pipistrello, 5 stars ,2 years ago,"Delicious Italian food, definitely a restaurant worth going to! Good service and lovely wines."
6,Pipistrello, 5 stars ,3 years ago,Very beautiful place with a very elegance ambiance. This one is a recommendation for sure!
7,Pipistrello, 5 stars ,3 years ago,"Great wines, fantastic food to share. The owner of this place is lovely."
8,Pipistrello, 4 stars ,2 years ago,"Nice relaxed atmosphere, great sharing platters & good Italian wine"
9,Pipistrello, 1 star ,2 years ago,You can eat there. But I dont think they actually have a kitchen... Just an oven
10,Pipistrello, 4 stars ,2 years ago,"(Translated by Google) Word of mouth remains the best way to advertise a place. It was indeed so, that thanks to the references of a friend, we were pushed to try @pipistrelloamsterdam. …"
11,Pipistrello, 5 stars ,2 years ago,"(Translated by Google) Pleasant reception by the owner herself, cozy interior, quiet acoustics. Started with a delicious oyster and a glass of prosecco, followed by an Italian cocktail board, pasta and a top red wine. The ideal location for …"
12,Pipistrello, 5 stars ,2 years ago,"(Translated by Google) Great wines! The Leo Ripanus was a rare tasty bottle presented with a lot of passion. This way you also get to know something about the Italian region! In addition, the food was very good. The gnocci tartufo an …"
13,Pipistrello, 5 stars ,2 years ago,(Translated by Google) Perfect combination: high quality wines with delicious Italian cocktail boards. Nice ambiance with personal touch through the explanation of the owner. New favorite drink spot in Amsterdam! …
14,Pipistrello, 5 stars ,3 years ago,"(Translated by Google) Fresh products, beautiful (self imported / bottled) wines & friendly service. …"
15,Pipistrello, 5 stars ,2 years ago,"(Translated by Google) Burgundian boards, exciting wines and a super intimate atmosphere. The perfect place for an evening of drinks while enjoying Italian delicacies. I come back here more often! …"
16,Pipistrello, 5 stars ,3 years ago,"(Translated by Google) Highly recommended! Enjoyed the full serving boards and delicious wines. Pipistrello is a very cosy, atmospheric wine bar. The secret champagne bar makes this a fun and unique concept! …"
17,Pipistrello, 5 stars ,3 years ago,"(Translated by Google) Delicious Italian wines and top serving boards!

(Original) …"
18,Pipistrello, 5 stars ,2 years ago,"(Translated by Google) What a wonderful evening! Delicious eaten, super wines.

The staff was exceptionally welcoming, pleasant and friendly. A very casual and …"
19,Pipistrello, 3 stars ,2 years ago,"(Translated by Google) The food is good, too bad that despite the name and description of Italian Italian restaurant there is nothing at all. This is demonstrated by the menu which shows several gross errors. The prices are a little high …"
