,Name,Review Rate,Review Time,Review Text
0,Pizzeria Rimini, 5 stars ,3 years ago,Fantastic 👍👍👍
1,Pizzeria Rimini, 5 stars ,a month ago,(Translated by Google) One of the few pizzerias in Rimini where you can eat a good pizza. A Neapolitan friend had recommended it to me and it went better than expected. Well done. …
2,Pizzeria Rimini, 5 stars ,a month ago,"(Translated by Google) Very kind people, very good pizzas I just took the first bites, thin and well done.
Quick to prepare it and wood oven. …"
3,Pizzeria Rimini, 1 star ,7 months ago,"(Translated by Google) I'm sorry to have to leave a negative review, I guess and I understand that at this moment it is difficult to manage everything, but the fact is that perhaps due to the lack of professionalism every time you order at …"
4,Pizzeria Rimini, 3 stars ,6 months ago,"(Translated by Google) Good pizzas, but they said they would come at 19.45, instead they arrived almost at 20.30! …"
5,Pizzeria Rimini, 5 stars ,a year ago,"(Translated by Google) Great pizza. Wood oven warranty. Family condition.

(Original) …"
6,Pizzeria Rimini, 1 star ,8 months ago,(Translated by Google) Pizza booked at 2 pm in the evening from 9 pm to 10 pm .... order canceled it is not known for what reason at 8:59 pm …
7,Pizzeria Rimini, 5 stars ,a year ago,(Translated by Google) Very good pizza for both dough and topping ... very punctual on the time of delivery. I highly recommend. …
8,Pizzeria Rimini, 1 star ,a year ago,"(Translated by Google) The pizza is good but never arrives at the right time, sometimes even half an hour late and often wrong with flavors that I have not asked for or with some missing ingredient. I also communicated it on the phone but …"
9,Pizzeria Rimini, 1 star ,a year ago,"(Translated by Google) I have it close to home and I didn't mind, even if it was delivered late and wrong order, they always made me pizza without problems. after mistaking my pizza 3 times, they rude me and closed the phone on my face. …"
10,Pizzeria Rimini, 5 stars ,3 years ago,"(Translated by Google) What about, the best pizza I've ever eaten! The beauty is that it gets better every day.
Very good! Then you feel that pizza is quality. …"
11,Pizzeria Rimini, 3 stars ,2 years ago,"(Translated by Google) Definitely a good takeaway pizza from the area, a good dough for a pizza at home ... the only flaw almost never arrive on time. Last update in July 2019 .... order pizzas for delivery at 20.00 .... at 20 28 they still …"
12,Pizzeria Rimini, 1 star ,3 years ago,"(Translated by Google) Evil bad evil. Pizza well below average, but the saddest thing was to be served after two girls (by the way not even cute) who had also ordered two pizzas daisies. And we were in a hurry because unlike the girls, we …"
13,Pizzeria Rimini, 4 stars ,4 years ago,"(Translated by Google) Good and well-seasoned pizza at a fair price

(Original) …"
14,Pizzeria Rimini, 5 stars ,11 months ago,"(Translated by Google) Super good good pizza and I am a pizza maker

(Original) …"
15,Pizzeria Rimini, 1 star ,2 years ago,(Translated by Google) Always delivered late so freezes. Delivery is absolutely not recommended. Pizza is a bit heavy. There are certainly better places. …
16,Pizzeria Rimini, 3 stars ,3 years ago,"(Translated by Google) Nothing to say about the quality of the product, really good pizzas, but for the third time last night out of 4 pizzas ordered only one was correct. 2 incomplete ingredients and one completely different from the …"
17,Pizzeria Rimini, 5 stars ,a year ago,"(Translated by Google) Excellent pizza, good quality and low cost

(Original) …"
18,Pizzeria Rimini, 2 stars ,4 years ago,(Translated by Google) I call and I recommend that the pizzas arrive by 20 because we have children. No problem they tell me. At 20.10 I call and they tell me that the pizzas are still in the oven. This for me is an indication of poor …
19,Pizzeria Rimini, 1 star ,a year ago,(Translated by Google) Never waited so long for a pizza. AN HOUR AND A HALF and for a cold pizza with missing ingredients and I'm not even that great .. Never again. …
20,Pizzeria Rimini, 5 stars ,2 years ago,"(Translated by Google) I have taken the pizza several times, always of quality, well cooked and digestible, certainly in a high level product, highly recommended …"
21,Pizzeria Rimini, 5 stars ,10 months ago,"(Translated by Google) Excellent pizza, friendly and welcoming owners

(Original) …"
22,Pizzeria Rimini, 5 stars ,4 years ago,"(Translated by Google) Exceptional pizza with regard to the Rimini area, made with first choice ingredients and dough with excellent quality flours.
Friendly environment, fast service and fair price. …"
23,Pizzeria Rimini, 4 stars ,2 years ago,"(Translated by Google) Very good pizza .. Bravissimo pizzaiolo and calm, the wife too scleral and agitated for that job .. a pity. …"
24,Pizzeria Rimini, 4 stars ,5 years ago,"(Translated by Google) Very good pizza, courteous and helpful staff, limited waiting time, fair prices. Not to be missed. …"
25,Pizzeria Rimini, 5 stars ,3 years ago,(Translated by Google) The best pizza in town !!!. Delivery throughout the city. Low prices! …
26,Pizzeria Rimini, 5 stars ,2 years ago,(Translated by Google) Excellent pizza. Waiting times for content. Great prices. Staff courtesy …
27,Pizzeria Rimini, 5 stars ,3 years ago,"(Translated by Google) The best pizza in rimini, I take it once a week and it's really worth it, I recommend it, really a very good one the best …"
28,Pizzeria Rimini, 5 stars ,a month ago,"(Translated by Google) Very good pizza, a good price, fast delivery at home too (they deliver by car), helpful and nice! …"
29,Pizzeria Rimini, 1 star ,a year ago,(Translated by Google) more than an hour late from the indicated time and do not even apologize but the girl on the phone is also grumpy. …
30,Pizzeria Rimini, 4 stars ,3 years ago,"(Translated by Google) good and well stuffed pizzas, honest prices but sometimes they get it wrong pizza anyway I recommend it …"
31,Pizzeria Rimini, 5 stars ,3 years ago,(Translated by Google) Excellent takeaway pizza. Digestible doughs and a wide variety of pizzas. …
32,Pizzeria Rimini, 5 stars ,4 years ago,"(Translated by Google) Very good pizza and all very nice

(Original) …"
33,Pizzeria Rimini, 4 stars ,3 years ago,"(Translated by Google) Excellent pizza and fast preparation, better to book it on the weekend! …"
34,Pizzeria Rimini, 4 stars ,3 years ago,"(Translated by Google) Good and fast pizzas. also integral. If you want, bring them to your home. …"
35,Pizzeria Rimini, 5 stars ,3 years ago,(Translated by Google) Very good pizza especially if the pizza chef (owner) is under pressure. …
36,Pizzeria Rimini, 5 stars ,3 years ago,"(Translated by Google) Excellent pizza and punctuality in the cknsegna5

(Original) …"
37,Pizzeria Rimini, 5 stars ,4 years ago,"(Translated by Google) The pizza with the best dough I have ever tasted !!!

(Original) …"
