,Name,Review Rate,Review Time,Review Text
0,Pizzeria San Remo, 1 star ,a month ago,"One of the worst pizza I've ever had. The quality of the ingredients is so low. Incredible. That honestly has nothing to do with a good italian pizza. I call this reselling. You buy low quality products, you mix that up with absolutely no …"
1,Pizzeria San Remo, 5 stars ,4 years ago,Great family owned Italian restaurant. I always get the onion soup and the pizza quatro stagioni with extra garlic and oregano. They haven't disappointed me in over 10 years of going to this wonderful eatery.
2,Pizzeria San Remo, 2 stars ,6 months ago,"Not the best Italian cousine in Amsterdam.
Staff was less than fiendly and food was ok. Massive portions, but not much quality. …"
3,Pizzeria San Remo, 1 star ,a year ago,"First they brought the wrong pizza and then the delivery guy was unfriendly and did not even bother to excuse himself. I told him that we are good customers and that his boss does not want to lose us as customers but , the delivery guy just …"
4,Pizzeria San Remo, 5 stars ,5 years ago,"The pizza here is none of that hip nonsense, but just classic quality pizza. And that classic pizza is absolute damn perfection, in no small part due to apparent pride in their ingredients. The Salami Picante pizza is perfection that …"
5,Pizzeria San Remo, 5 stars ,a year ago,"The only Italian restaurant in Amsterdam Noord to have enough vegetarian dishes for a proper meal. I like your onion soup, and tiramisu is just delicious! And they do delivery."
6,Pizzeria San Remo, 5 stars ,7 years ago,"Great Italian restaurant right at the Mosveld.
They make what in my opinion is some of the best pizza's in the world.
All the staff there are very friendly and they're open until late (22:00). …"
7,Pizzeria San Remo, 4 stars ,5 years ago,Good pizza a a decent price. Service was OK. Location is a little weird.
8,Pizzeria San Remo, 1 star ,6 years ago,"Not commenting on the food ...since i didn't have a chance to taste it. Came in with my pregnant wife, just before 9:30pm. Only take-away they said. A pretty harsh No, even when i've requested for us to be the fastest eaters, and since my …"
9,Pizzeria San Remo, 5 stars ,3 months ago,Best Pizza in Amsterdam!
10,Pizzeria San Remo, 5 stars ,3 years ago,"Great place for grabbing a pizza to eat in or takeaway. Staff friendly, pizza is really good. Casual place."
11,Pizzeria San Remo, 5 stars ,4 years ago,Food is consistently  very good. Very reasonable prices. For Pizza? BEST around!  Highly recomemded.
12,Pizzeria San Remo, 1 star ,a year ago,"Terrible pizza with thick crust, unnecessary italian by dutch people ..."
13,Pizzeria San Remo, 5 stars ,2 years ago,It's a really good restaurant the food is absolutely delicious and it's not very expensive. You can even take the food home after eating there.
14,Pizzeria San Remo, 5 stars ,3 years ago,Really delicious food and great service.  A perfect way to end our first night in Amsterdam.
15,Pizzeria San Remo, 5 stars ,4 years ago,Its a nice little place to eat.  The food is pretty good and the staff is so amazingly nice.
16,Pizzeria San Remo, 2 stars ,3 years ago,Good food but the whole place feels like stays the same  since '80s.
17,Pizzeria San Remo, 5 stars ,4 years ago,Excellent service. Warm cozy environment. Love Bonnie the cat! Family owned and operated.
18,Pizzeria San Remo, 3 stars ,3 years ago,"Not good atmosphere, no real Italian dishes. Prices are good"
19,Pizzeria San Remo, 4 stars ,2 years ago,The pizza is good! Try pizza San Remo!
20,Pizzeria San Remo, 5 stars ,2 years ago,Classic pizza! Friendly staff
21,Pizzeria San Remo, 4 stars ,5 years ago,"Good pizza, and a resident cat."
22,Pizzeria San Remo, 5 stars ,5 years ago,Good quattro stagioni on the sunny terrace.
23,Pizzeria San Remo, 5 stars ,6 years ago,Is the best pizza in Amsterdam
24,Pizzeria San Remo, 5 stars ,3 years ago,Best pizza in town....
25,Pizzeria San Remo, 5 stars ,3 years ago,Good food
26,Pizzeria San Remo, 5 stars ,8 months ago,Super pizza's
27,Pizzeria San Remo, 5 stars ,3 years ago,Excellent pizzas!
28,Pizzeria San Remo, 4 stars ,7 years ago,Great italian food!
29,Pizzeria San Remo, 5 stars ,5 months ago,"(Translated by Google) delicious pizza, but you can order so many more! and easy to reach location, the restaurant still exudes the old atmosphere, and you dream away with every bite, but the Italy you know from movies, and if you're lucky …"
30,Pizzeria San Remo, 4 stars ,3 weeks ago,"(Translated by Google) Still straight forward, without any hassles, good food in real Amsterdam North.
Fortunately, the Americans are back. …"
31,Pizzeria San Remo, 5 stars ,3 months ago,"(Translated by Google) Top restaurant. It could just be in Italy instead of Amsterdam-North. Do you like good food, just drop by or order. …"
32,Pizzeria San Remo, 5 stars ,3 years ago,"(Translated by Google) San Remo the best pizza in Amsterdam Noord!
Authentic Italian pizzas made by real Italians. …"
33,Pizzeria San Remo, 4 stars ,6 months ago,(Translated by Google) This pizzaria has delicious pizzas. Definitely recommended 👍👍👍. The other dishes are also delicious.🍝 …
34,Pizzeria San Remo, 5 stars ,7 months ago,(Translated by Google) It was very nice and the pizzas were really tasty! The service was very friendly and the restaurant was beautifully designed. Gladly again! …
35,Pizzeria San Remo, 5 stars ,3 years ago,"(Translated by Google) Very good pizzas, good quantity and quality. Very close workers. …"
36,Pizzeria San Remo, 4 stars ,9 months ago,"(Translated by Google) Pizzas 🍕 that taste good and are also filling. Had it delivered by San Remo for the first time and that was not disappointing.
1 tip: I miss the format on the website 😉😁 …"
37,Pizzeria San Remo, 5 stars ,2 years ago,"(Translated by Google) Very tasty pizza, nice staff, very good service

(Original) …"
38,Pizzeria San Remo, 4 stars ,a year ago,"(Translated by Google) I ate a delicious pizza straight from the brick oven, very large so you must have a good appetite!
the service could be better, more customer-friendly should be. …"
39,Pizzeria San Remo, 4 stars ,2 years ago,"(Translated by Google) Delicious pizzas !!
Very tasty soil and well invested.
Staff friendly. …"
40,Pizzeria San Remo, 5 stars ,11 months ago,(Translated by Google) These pizzas are so delicious. Well topped and with a bit of garlic. …
41,Pizzeria San Remo, 1 star ,2 years ago,"(Translated by Google) Worst pizza in years, got three pizzas that were soggy and salty with a much too thick uneven bottom. Parma ham dried out. Miss of the month, despite the good reviews …"
42,Pizzeria San Remo, 1 star ,2 years ago,"(Translated by Google) Recently eaten here, taste is not to argue but I think a pizza should be prepared with fresh dough and this is pulled out of the fridge and / or from the freezer and you can taste that (you can also see if you go to …"
43,Pizzeria San Remo, 5 stars ,3 years ago,"(Translated by Google) I have been coming here for almost 30 years! The pizzas are absolutely world class! Someone who has never eaten a San Remo pizza has not lived! Am addicted to the Pizza Shawarma myself, but they all taste fantastic. …"
44,Pizzeria San Remo, 5 stars ,3 years ago,"(Translated by Google) Delicious pizzas pasta and pasta 🍝 👍👍👍

(Original) …"
45,Pizzeria San Remo, 1 star ,3 years ago,"(Translated by Google) Super friendly staff and good food!
Update: New cook, everything too salty, pizzas not baked properly, and a lot of mibder invested than before! Too bad, because he was so good! …"
46,Pizzeria San Remo, 5 stars ,5 years ago,(Translated by Google) Every dish a wonderful treat😃 the portions are huge but just delicious. We will eat there again. The atmosphere rather simple and without frills. The wine gets a 3 the food 5stars. …
47,Pizzeria San Remo, 1 star ,4 years ago,(Translated by Google) Scammers are these owners! I was recently hit by one of these owners and threatened me and drove away without leaving their details. then they have their family give false witness statements in order to recover their …
48,Pizzeria San Remo, 5 stars ,a year ago,(Translated by Google) Very tasty pizza Margherita with a lot of garlic (which is delicious!) …
49,Pizzeria San Remo, 5 stars ,6 months ago,"(Translated by Google) It was so delicious and nice staff!

(Original) …"
50,Pizzeria San Remo, 5 stars ,a year ago,(Translated by Google) Tasty pizzas. Delivered well on time. Pizzas were delicious again. …
51,Pizzeria San Remo, 1 star ,a year ago,(Translated by Google) A ridiculously long wait. Is said an hour .. Which has been long. Then no one will come and call you .. It takes another half hour. Ridiculous! Never order here again! …
52,Pizzeria San Remo, 3 stars ,2 years ago,(Translated by Google) Delivery took more than an hour. Next time please let me know in advance. Nice pizzas for sure. …
53,Pizzeria San Remo, 5 stars ,2 years ago,"(Translated by Google) We have been coming here for 25 years.
Very satisfied with the quality of the food.
Casual cozy Italian atmosphere. …"
54,Pizzeria San Remo, 5 stars ,2 years ago,"(Translated by Google) Delicious eaten with the whole family, soup and 5 different pizzas, all 5 super tasty. …"
55,Pizzeria San Remo, 1 star ,2 years ago,(Translated by Google) Operation may be changed what a chagrin. Beef tenderloin for that money even smaller than a child's hand. Old bread. NEVER AGAIN …
56,Pizzeria San Remo, 1 star ,2 years ago,(Translated by Google) Has been waiting for my pizza for 2.5 hours. There is no delivery person inside. How …
57,Pizzeria San Remo, 5 stars ,3 years ago,(Translated by Google) delicious pizzas as you can only eat here…. # delekkerstepizzaever …
