,Name,Review Rate,Review Time,Review Text
0,Pleinzicht, 5 stars ,a month ago,"Lovely atmosphere, nice beer and a very welcoming fella behind the bar"
1,Pleinzicht, 5 stars ,2 years ago,One of the only bars in Amsterdam where you can sit up at the bar and almost immediately start shooting the breeze with the locals. I stayed at this bar for a couple of drinks and some good company. Turns out some of the locals here have great taste in music. Definitely happy to go back to Cage Pleinzicht next time.
2,Pleinzicht, 4 stars ,3 months ago,I've met cool local guy. They were friendly. Beer was good. So... Its ok.
3,Pleinzicht, 1 star ,7 months ago,"Incredibly terrible experience. Have been to this place several times, then show up supporting friends on Pride Day and was asked to leave not only from staff, but customers as well. Very disappointed and would not recommend to anyone wanting the Amsterdam experience."
4,Pleinzicht, 4 stars ,3 weeks ago,Great Bar but no a Café...
5,Pleinzicht, 5 stars ,2 years ago,"Smaller Pub but always a great atmosphere! Bartender always has a great attitude and knows the area, happy to help. Good selection of beers on tap, good selection of bottled beers, and liquors. Definitly one of my go to spots when I am in …"
6,Pleinzicht, 5 stars ,3 years ago,"An absolute gem of a bar. A welcoming, cozy bar with an attentive, kind staff. Always my home base for a night out in the area."
7,Pleinzicht, 1 star ,7 months ago,"Walked in with pride flags and wasn't allowed to order. They kicked us out saying it was full bc of ""corona measures""."
8,Pleinzicht, 5 stars ,2 years ago,The best pub in red light district. Come to meet Amsterdam people in pleinzicht!!
9,Pleinzicht, 5 stars ,3 years ago,We loved this place! Nice selection of drinks and great atmosphere. Both bartenders were great when we went (we went everyday we were there). Customers are also a ton of fun. Can’t wait to come back here when we return
10,Pleinzicht, 5 stars ,3 years ago,"Our absolute favorite bar in Amsterdam. Quick service, great location and our bartender Alex (and his wife, Emy) are THE best! Cafe Pleinzicht will always be a must on our Amsterdam vacations!"
11,Pleinzicht, 1 star ,a year ago,Very unfriendly staff. Coffee was cold and the Beer tasted awful and we had to wait 20 Minutes. There was still lipstick at our Glases. Never again!!!
12,Pleinzicht, 5 stars ,2 years ago,"Lovely old Brown café in the old center of Amsterdam. Love to be here, Nice bartender, always good music and great vibe!"
13,Pleinzicht, 5 stars ,2 years ago,"A wonderful local bar, with no pretensions. The beer is cold, the bar staff are great, and the crowd up for a laugh."
14,Pleinzicht, 5 stars ,a year ago,"Came here first time about 46 years ago when at Nautical School and last time just over a year ago, the pub had not changed too much although the rest of the ""hood"" had gone really down"
15,Pleinzicht, 1 star ,3 years ago,"Went to sit down on the bench outside to find my money to go in to buy a meal, owner came out screaming at me over and over ""For customers"" causing large groups of people to stop and look at us.  Was highly embarrassed."
16,Pleinzicht, 5 stars ,4 years ago,"Love it here, we come each time we visit. Small, cozy, good beer, and friendly staff!"
17,Pleinzicht, 5 stars ,5 years ago,"Fantastic. I don't speak a word of Dutch but the drinks are flowing, the music is great, and In having a good time!"
18,Pleinzicht, 5 stars ,2 years ago,Cool bar....great back round music and Alex the owner a bit of Craig.
19,Pleinzicht, 5 stars ,2 years ago,"Fantastic atmosphere, great music, and the owner is an absolute diamond"
20,Pleinzicht, 5 stars ,2 years ago,Great place. Really welcoming and with good prices
21,Pleinzicht, 1 star ,4 years ago,"Horrible treatment, specially the waitress, nice canal views tho. I rather go somewhere else."
22,Pleinzicht, 5 stars ,2 years ago,Absolute gem of a bar.  Jo will keep your glasses full and keep you laughing!
23,Pleinzicht, 3 stars ,2 years ago,"Nice place to hang out with frienda, bathroom needs improvement tho"
24,Pleinzicht, 5 stars ,4 years ago,Small and cozy place with good beer and good (rock) music
25,Pleinzicht, 5 stars ,2 years ago,Great atmosphere. Fun place
26,Pleinzicht, 5 stars ,2 years ago,Cosy and good value in n the day time. Friendly service.
27,Pleinzicht, 4 stars ,3 years ago,Nice pub for a few quick pints in the redlight
28,Pleinzicht, 5 stars ,2 years ago,Good atmosphere
29,Pleinzicht, 5 stars ,4 years ago,Great little pub. Always drop in when in town
30,Pleinzicht, 5 stars ,2 years ago,Best place in town to observe the midnight lurkers 😂
31,Pleinzicht, 4 stars ,3 years ago,"Nice atmosphere but a bit expensive, although it is the centre of Amsterdam"
32,Pleinzicht, 5 stars ,2 years ago,Always good for a local bier!
33,Pleinzicht, 5 stars ,8 months ago,Go for a local pub experience
34,Pleinzicht, 5 stars ,2 years ago,Great dutch pancakes and pea soup
35,Pleinzicht, 4 stars ,4 years ago,Cozy bar just inside the red light district.
36,Pleinzicht, 4 stars ,2 years ago,Lovely little pub
37,Pleinzicht, 5 stars ,2 years ago,Brilliant small pub
38,Pleinzicht, 3 stars ,3 years ago,Vague memory of being here so must be OK!
39,Pleinzicht, 5 stars ,2 years ago,Go here and find your life(:
40,Pleinzicht, 4 stars ,5 years ago,Good selection of beers
41,Pleinzicht, 5 stars ,2 years ago,Luv luv see you tomorrow
42,Pleinzicht, 5 stars ,2 years ago,Good food
43,Pleinzicht, 5 stars ,2 years ago,Loved it
44,Pleinzicht, 4 stars ,3 years ago,Nice with a nice atmosphere
