,Name,Review Rate,Review Time,Review Text
0,Pollux, 5 stars ,2 months ago,The best place to drink a good beer with friends. Perfect service 💗
1,Pollux, 5 stars ,2 years ago,The host is the highlight of this cafe. Not just friendly & courteous. She made us feel like we arrived at the long lost family in Nederland - she gave us complimentary cheese to tase with our Sauvignon Blanc & a toasted ham & cheese …
2,Pollux, 5 stars ,2 years ago,Stumbled on this place on a pub crawl. What a blast! Owner and bartender were sweet and attentive. Lots of locals and they talk to you. Music was upbeat pop and great fun as people sang along and danced. There is a tiny dance floor inside …
3,Pollux, 5 stars ,6 months ago,"So much Fun!!!! Great staff, great music and yummy cocktails, and shots named 'apple pie'!
Very friendly atmosphere and super easy to make new friends in there! Love it!"
4,Pollux, 5 stars ,4 years ago,Very cozy place. Friendly staff. We had a wonderful Dutch apple pie and fresh orange juice. Amazing both. Affordable prices. Nice to have a drink or hang out.
5,Pollux, 5 stars ,4 months ago,"Great bar, great vibes, friendly staff, free chips! What more could you want."
6,Pollux, 5 stars ,3 years ago,"Epic playlist, cozy, and very attentive staff. During several moments, the entire place was staffed by one person (besides the cook, I imagine) and he handled the crowd in a very efficient way. We enjoyed the place so much, we ended up …"
7,Pollux, 5 stars ,5 months ago,A perfect place to drink lightly in typical pub with nice people.
8,Pollux, 5 stars ,3 years ago,The best pub ever!Very friendly atmosphere and amazing staff!! Love it!!! Big variety in beers also!!!❤🍺🍺
9,Pollux, 5 stars ,4 years ago,Excellent place to breakfast! Nice decoration and great attention. The apple pie is delicious.
10,Pollux, 5 stars ,2 years ago,"A great little bar,  with super friendly staff that look after you with surprise snacks, great music, drinks and good selection of food!"
11,Pollux, 5 stars ,2 years ago,Quirky bar/Caffe funky décor ace selection of beer not far from central
12,Pollux, 5 stars ,2 years ago,Went there on our 1st holiday in Europe (from Australia) back in November 2018. It was a fantastic place. I am doing another trip this year in April and I can't wait to go there again. Great atmosphere and the beers where beautiful. Great staff and food as well. 👍👍
13,Pollux, 5 stars ,2 years ago,Nice coffee bar. Good staff.
14,Pollux, 5 stars ,4 months ago,we loved it Especially to the friendly staff.
15,Pollux, 5 stars ,5 years ago,Very nice bar. Staff are very social and friendly a great environment perfect for chilling and enjoying a beer. They have a big screen for watching football. Beer is not bad at all. The food looked and smelled great. They have outdoor seating which is perfect.
16,Pollux, 5 stars ,2 years ago,Loved our time at this bar!! We were visiting for the weekend and had to restrict ourselves from spending every night here. Percy and Justin are amazing bartenders/chefs/djs!! This would definitely be our local bar if we lived here.
17,Pollux, 5 stars ,3 years ago,Amazing place. Every minute spended there is full with positive emotions.Stuff is friendly.Verry good service.
18,Pollux, 5 stars ,4 years ago,"Very nice, comfortable place not far from the Central Station, and a strange, warm feeling to it. The staff are lovely and very welcoming, the beer's good & bar food is fine for a reasonable price. A perfect stop on your way to or back from the Eastern parts of the city."
19,Pollux, 5 stars ,a year ago,"Absolutely brilliant place,amazing staff who are very welcoming and quick service from then, the owner and his dog are so good.Prices are good for what you get and the beer is fantastic .also the cheese and ham tostie is great."
20,Pollux, 5 stars ,4 years ago,"Great bar just outside the bustling city centre. They have a good selection of beers, though not all of them are on the menu, best ask the bartender. The staff are friendly and helpful. The terrace looks out over Oosterdok and the Central Station."
21,Pollux, 5 stars ,3 weeks ago,Best pub ever
22,Pollux, 5 stars ,2 years ago,"The best place in Amterdam for eat and drink a beer.
Si must try the sandwich of goat cheese, walnut and honey, is delicious.
The music is perfect!
The owner is a wonderful woman!"
23,Pollux, 5 stars ,6 years ago,"Just round the corner from the main tourist areas and sure, it's on a busy road but what a find. Friendly, warm, welcoming and even an indoor smoking room with comfy armchairs. Don't bother if you're expecting a traditional touristy pub but if you want to save some money and chill out I reckon it's hard to beat."
24,Pollux, 5 stars ,a year ago,"Well, the last time I visited this cafe was somewhere in 1978. Looking at the interior pictures not that much seems to have changed. Gives me good nostalgic feelings. Had a hell of time there during my merchant navy school time (Kweekschool voor de Zeevaart, RIP inmiddels). Good to see that place is still there. Loved it."
