,Name,Review Rate,Review Time,Review Text
0,Radion, 5 stars ,5 months ago,"The place to dance! I went to parties with techno or psychedelic trance. 2 area's with their own bar. Enough toilets, enough lockers, but only cash money. Tokens for drinks available at the entrance. Also it's pretty far out of the centre, since the municipality want to decentralise tourism."
1,Radion, 5 stars ,3 weeks ago,"Professional and friendly employees.
Great atmosphere, i feel always welcome here.
And now they even have howling wolfe beer 🐺 🍺 🤩!"
2,Radion, 5 stars ,5 months ago,"Amazing place, one of the best parties of my life!!!!"
3,Radion, 4 stars ,2 years ago,It looks like a student's haunt - and is probably quite popular with the local younger generation - but I quite enjoyed this place. …
4,Radion, 5 stars ,2 years ago,"Great hip place to eat and drink! Very nice to sit outside on sunny evenings :) the location is a bid random but adds to the vibe. The food is really good, especially considering the prices!"
5,Radion, 5 stars ,4 months ago,"May be one of the best clubs in Amsterdam besides Shelter.
Fantastic location and great people!
Always a night to remember (((d[-_-]b)))"
6,Radion, 2 stars ,4 months ago,"I've always enjoyed this place, lovely pizzas, burgers, ambience & staff (5* rating). …"
7,Radion, 5 stars ,a month ago,Super nice bar and restaurant with vegan food. Good music and ambient.
8,Radion, 5 stars ,3 years ago,"great place! been there at a party (Burning Man Dutch Decom), great music, amazing people the place was fantastic. had a very good experience and I'm going back for sure! the setup of each room was real nice, there was a lounge room as well …"
9,Radion, 5 stars ,3 years ago,"Really good and fresh food!!! My favorite is Radion Burger- reach flavor, especially  the smoky taste of meat. Highly recommend if your are a burger lover!"
10,Radion, 5 stars ,2 weeks ago,Fantastic place to enjoy Techno with a great atmosphere and layout.
11,Radion, 1 star ,10 months ago,"Neighborhood place that all of a sudden decides to offer nothing but vegan. Such a shame. They used to serve nice food, so hope the owner sobers up and offers something for everyone. I don’t mind vegan dishes on a menu, just give us a choice..Especially as there not many nice places arounf."
12,Radion, 5 stars ,2 weeks ago,"Great vibe, prepare for the queue and lockers."
13,Radion, 5 stars ,a year ago,"Low key, non-pretentious water hole. Lots of locals, and mix of all kinds of them. Definitely worth visiting."
14,Radion, 5 stars ,8 months ago,"Great place to go to have a lunch, dinner and / or drink not to mention great parties in a openminded and safe environment. Definitely a place to be when you are young and looking for something special"
15,Radion, 5 stars ,2 years ago,"Really nice place. We were there 17:00-19:30. There were groups of young people sitting for a beer after work, families eating burgers and even people with dogs. Looks like a place for everyone. …"
16,Radion, 5 stars ,3 weeks ago,Best club in the city by far.
17,Radion, 5 stars ,2 years ago,"The best club I have ever been to. Was here for vault sessions closing party at ADE.
The layout the ,lights ,the smoke machines, and the sound system are …"
18,Radion, 5 stars ,2 years ago,Great widespread venue. Attended for the Dutch Decompression party and had a great time.
