,Name,Review Rate,Review Time,Review Text
0,Regular & Jack, 3 stars ,2 weeks ago,Simple bar with good cocktails!
1,Regular & Jack, 3 stars ,2 years ago,"This is a US-themed bar, like a traditional American Sports Bar in which you can sit up and enjoy wings whilst watching a game, or retire to the upstairs room in which football plays in larger screens. …"
2,Regular & Jack, 5 stars ,a month ago,Fantastic pub for a drink and watching the football 👏
3,Regular & Jack, 4 stars ,4 years ago,Awesome spot for hot dogs lovers. Excellent bar staff. Place to go!
4,Regular & Jack, 4 stars ,3 years ago,Called in during a snowy date in December.  Very quirky little bar serving excellent food. Sat upstairs at a table with a central beer pump which would have been great fun if we weren't driving later.  Nachos to share were huge and very tasty local sharing platter.
5,Regular & Jack, 5 stars ,4 years ago,"Nice service, nice pull pork, good beer.... Nice stop on my way to yet another museum:)"
6,Regular & Jack, 5 stars ,5 months ago,Amazing place to watch NFL and the people are AMAZING. Great spot for any type of night
7,Regular & Jack, 4 stars ,3 years ago,"Atmosphere, prices, location, amazing selection of beer, nice staff. A must try ""Double trouble burger"""
8,Regular & Jack, 3 stars ,3 years ago,"Good atmosphere, good beer, bar tender could have been nicer. Tourists obv. not welcome but other than that good"
9,Regular & Jack, 5 stars ,4 years ago,"Popular bar, excellent staff with friendly service. Meals served."
10,Regular & Jack, 3 stars ,3 years ago,I used to come here when it was called Balls to play Billiards. I enjoyed the place. This time around there was one very nice female bartender that always felt welcoming and nice. The others there are very indifferent and seems like they …
11,Regular & Jack, 2 stars ,2 years ago,"Good atmosphere
Grumpy waiter
Ordered chicken nachos and ended up with pork....🤮 …"
12,Regular & Jack, 4 stars ,3 years ago,"The nachos are delicious and good for two or more people. At the time I was there it was a football match and of course a lot of noise, but since this is a sports bar this is as expected. Once we ordered we were told that our table was …"
13,Regular & Jack, 5 stars ,2 years ago,Good food and the bartender was so kind with us.
14,Regular & Jack, 1 star ,3 years ago,"I had a really negative experience at this place with an insanely grumpy bar owner. If he thinks you are a tourist (I’m not, I live close by) he treats you like trash. …"
15,Regular & Jack, 5 stars ,3 years ago,"An absolutely wonderful pub in the city centre of Amsterdam. It's ideal place for meeting with friends, as the food and the drinks are awesome. Also if you're a sports person you can easily watch huge sports events like Premier League, Champions League, Volleyball, Basketball, Motor sports, Tennis etc."
16,Regular & Jack, 5 stars ,3 years ago,Lovely place and welcoming staff! The cocktails are well prepared
17,Regular & Jack, 5 stars ,4 years ago,Great place to stop for a beer and some familiar food. Great staff and good music.
18,Regular & Jack, 5 stars ,5 years ago,"Super sports bar with a wide variety of mixed drinks that are dangerously easy to drink. Large spaces for groups, I think the upstairs can be privatized - perfect spot for a casual birthday party. And the best bar food in the city. Wings, nachos, waffle fries - yum!"
19,Regular & Jack, 2 stars ,3 years ago,"The drinks tasted pretty good and the Ambiente was nice, but the waiter was impolite and the cocktails were overproced and small. I know that with the location of the bar I can not expect cheap prices but the ratio was indeed off. Finally I got to point out that the music was far to loud to the point were it only annoyed us."
