,Name,Review Rate,Review Time,Review Text
0,Restaurant 212, 5 stars ,4 months ago,"We had a wonderful lunch experience here. Really enjoyed sitting casually at the counter while watching the busy chefs in action. The service felt organic, without the usual stuffiness of fine dining. The lunch took about 4 h, after …"
1,Restaurant 212, 5 stars ,6 months ago,"The lunch was nice, good environment and nice service. If come for dinner, I think the atmosphere will be really good and cozy.
2 of us order the 5 course menu with the wine arrangement. The food is on the …"
2,Restaurant 212, 5 stars ,8 months ago,"Most of the food was amazing, and the wine pairing was well worth it. My main issues were:
1. The main course (lamb) was way too salty. The A5 Wagyu, however, was sublime. …"
3,Restaurant 212, 5 stars ,3 months ago,One of the best restaurants I've ever tried. Food is really amazing and having the tables in front of the kitchen is an incredible experience. It makes everything less formal and enjoyable. The staff was super kind and took really care of …
4,Restaurant 212, 5 stars ,8 months ago,We had a great dinner here. The open kitchen set up is great. We really enjoyed watching the kitchen staff put together these great dishes. We chose the 5 course set menu and it was excellent throughout. The lobster with black truffle and …
5,Restaurant 212, 2 stars ,7 months ago,"For someone like me who has passed the SVH Diploma Sociale Hygiëne in the Netherlands, I really cannot stand the hygiene on 212 how they handle the cheese, not to mention why this restaurant has got a 2* Michelin. Despite the expensive …"
6,Restaurant 212, 5 stars ,5 months ago,"Excellent Michelin style experience, but casual sheik ambience, great service, fun and light atmosphere, great location, nice wine parings and of course great food."
7,Restaurant 212, 5 stars ,8 months ago,Had my first wagyu A5 beef here. It's outstanding and it melted in my mouth. The beef was a unreal experience. All the food was delicious. …
8,Restaurant 212, 5 stars ,2 years ago,"Fine dining with a friendly service. Not in a presumptuous  way but more like feeling eating with friends or sitting At  hone near the bar kitchen, but with a very professional service. The staff were highly attentive and the whole lunch …"
9,Restaurant 212, 5 stars ,8 months ago,"Great experience. Good food and excellent service by a friendly and professional team is still possible 👍
Keep up the great work!"
10,Restaurant 212, 5 stars ,6 months ago,"An amazing dining experience. Really unique to be sitting, pretty much, in the kitchen. Respect for how ALL the team works and prepares the food. The service is also very personal and efficient. Only had one issue...the toilets were not clean, and the odors on the way to them could/should be improved.  Definitely will be back !"
