,Name,Review Rate,Review Time,Review Text
0,Restaurant Azmarino, 5 stars ,2 years ago,"Great African restaurant. Food was freshly prepared and the Mongozo beer is definitely worth a try as it comes in unique flavors; we had coconut and mango. We ordered the chef's combinations special, which came with chicken, pork, and lamb. The lamb was our favorite. Since the food is made fresh, it does take a while, but worth the wait."
1,Restaurant Azmarino, 5 stars ,2 years ago,"Our friend took us here and she couldn’t pick a better place for dinner. Delicious food, drinks and very friendly atmosphere. The way the food is served is unlike anywhere else we’ve been before. If you ever come to Amsterdam you should definitely go here and experience it 👌🏻"
2,Restaurant Azmarino, 3 stars ,3 years ago,The food was tasty but the portions were too small for us. You can find some African beers! Family style place so the decor is a bit tacky but adds to the character I suppose :)
3,Restaurant Azmarino, 3 stars ,a year ago,"Food was tasty, but the servings were ridiculously small. For example 4€ for 2 tiny samossas. Cutlery was not provided, we had to use our hands. But that made it somehow authentic and we liked it.  The service was very kind.
I would rate it higher if servings were bigger."
4,Restaurant Azmarino, 5 stars ,4 years ago,"The nicest Ethiopian, Eritrean food I've had anywhere in the world. Simple, excellent food and relaxing environment, with friendly staff."
5,Restaurant Azmarino, 5 stars ,a year ago,"Azmarino has been and still is my favourite Ethiopian Restaurant in Amsterdam. I recommend to order the mixed plate, with the chef’s selection. It’s a variety of meats, vegetables and flavours. Or completely vegetarian if you like. Choose …"
6,Restaurant Azmarino, 5 stars ,a year ago,We had an awesome stay. The owner is really kind and the service was excellent. By far one of the most formative culinary experiences. …
7,Restaurant Azmarino, 4 stars ,3 years ago,Food was alright. I really liked the lady who served us. She was very nice.
8,Restaurant Azmarino, 5 stars ,8 months ago,Went here for dinner before the lockdown in October and the food was fabulous! Service was great and super friendly as well. Hope they reopen soon!!
9,Restaurant Azmarino, 5 stars ,5 years ago,"Food was delicious!  The whole African experience is very special.  The amount of food they serve is great.  I didn't expect I would get so full when I saw the plate, but magically in the end I didn't have any room for dessert.  Plus the service is great and the price is totally affordable."
10,Restaurant Azmarino, 5 stars ,5 years ago,"Went in thinking I wouldn't be full from the small portion of meat they served but boy, was i wrong. Food is amazing with excellent service. Unfortunately, we did not have room for dessert, would've love to try the chocolate cake though. Definitely recommend the banana and mango beer."
11,Restaurant Azmarino, 4 stars ,3 years ago,A nice Ethiopian restaurant with tasty dishes and great beers. Loved the mango beer served in a coconut :-) I also love the fact that you're supposed to eat with your hands from a big plate and share all the food together. Definitely a bonding experience.
12,Restaurant Azmarino, 3 stars ,2 years ago,"5/10 men's toilet is very small, ok clean, there was no more towels to dry hands."
13,Restaurant Azmarino, 5 stars ,3 years ago,Not enough good things can be said about this place. Truly local business with food for the soul. The African beers were a treat.
14,Restaurant Azmarino, 5 stars ,4 years ago,"Very impressed with the food, especially for the price! Great value, super friendly staff and nice atmosphere. Very filling considering the portion sizes. The mango beer was excellent as well. Could not recommend highly enough!"
15,Restaurant Azmarino, 5 stars ,6 years ago,"Such a fantastic restaurant and experience. Both the customers and Mek were incredibly friendly, but above all, the food is amazing. This was my first experience with Ethiopian food and I was blown away by the flavours. Will absolutely be back!"
16,Restaurant Azmarino, 5 stars ,4 years ago,"Simple, relaxed restaurant serving delicious food. The owners are also quite friendly which adds to the great experience. We tried the vegetarian and meat sample platter and loved everything on it. One note: the place is cash only!"
17,Restaurant Azmarino, 5 stars ,8 years ago,"One of my favourite places in Amsterdam for a casual meal out. The service is great, the prices are very reasonable and the food is delicious & there's always plently of it! …"
18,Restaurant Azmarino, 5 stars ,6 years ago,"Very authentic eastern african food, definitely an interesting experience using the special sour pancakes to eat the meal with. The hostess was helpful and very friendly. …"
19,Restaurant Azmarino, 3 stars ,5 years ago,"Tasteful food, but not served very warm. Portions are good, price is relatively low. The restaurant was quite cold during a winter evening.. Feels like a budget style restaurant, perhaps not the best choice for extended meals."
20,Restaurant Azmarino, 5 stars ,3 years ago,"Incredible food, so flavourful and savoury.I would recommend this restaurant to anyone visiting Amsterdam that enjoys eating out and is interested in trying something new! Waitstaff was very friendly, I would recommend trying the coconut beer."
21,Restaurant Azmarino, 5 stars ,a year ago,"Highly recommended! Awesome service, delicious African food and a nice atmosphere. Definitely will come back!"
22,Restaurant Azmarino, 2 stars ,3 years ago,"If you want to go for a classic Ethiopian experience, just order the main course and some beers.
Be sure to order the mango, coconut or banana beer. They're served in a …"
23,Restaurant Azmarino, 5 stars ,4 years ago,"Yummo!!!!Awesome communal eating. Veg optionz were delish. Great price for a full belly. Cute little place with quirky paintings and decor. Love love love it.
Clean bathrooms also."
24,Restaurant Azmarino, 5 stars ,2 years ago,Have been coming here for years; amazing food. Even possible to do 100% vegan. Best service in Amsterdam!!
25,Restaurant Azmarino, 4 stars ,2 years ago,A good taste of East Africa in Amsterdam. They were out of their signature salad. Injira was also too sour. Otherwise good food that's affordable
26,Restaurant Azmarino, 5 stars ,3 years ago,Authentic delicious East African food for very reasonable prices. Very friendly service. Try their amazing mango beer.
27,Restaurant Azmarino, 5 stars ,3 years ago,"This is a real gem in Amsterdam: great food, super friendly service, reasonable prices and you don't have to make a reservation! Absolutely love it!"
28,Restaurant Azmarino, 5 stars ,2 years ago,Amazing food! Absolutely loved both of the dishes we ordered. Would definitely come back.
29,Restaurant Azmarino, 5 stars ,4 years ago,Very interesting and definitely worth visiting!!! Food is extremely delicious and served very quickly. Selection of drinks and sides available. Can't miss it!!!
30,Restaurant Azmarino, 5 stars ,a year ago,"Amazing service, great food, out of the box and bonding eating experience. Bring a date, your friends or your mom:)"
31,Restaurant Azmarino, 4 stars ,10 years ago,I've eaten a lot of Ethiopian food.  This place is definitely above average.  The prices were also very reasonable and the service friendly and quick.
32,Restaurant Azmarino, 4 stars ,5 years ago,"Great food, wonderful ambience small and cozy, kind host, very well prepared dishes, the beers are a variety, the chocolate souffle with cake was absolutely mouth watering."
33,Restaurant Azmarino, 5 stars ,a year ago,"I like coconut beer and so tasty food, Friendly staff and a reasonable price  :)  LEKKER!!!!"
34,Restaurant Azmarino, 5 stars ,5 years ago,"Went there twice already since October. Super delicious, great deal, nicest staff, cosy setting! Better reserve!"
35,Restaurant Azmarino, 4 stars ,3 years ago,"Good food, nice beers and friendly staff. Close to de Pijp but down a nice quiet street so it's lovely to sit outside when it's sunny!"
36,Restaurant Azmarino, 5 stars ,5 years ago,Delicious food and great portion sizes. Absolutely stuffed by the end. Service was also fantastic!
37,Restaurant Azmarino, 4 stars ,4 years ago,"Nice atmosphere,  very friendly, decent prices,  great food. .. especially the beef and chicken dishes."
38,Restaurant Azmarino, 5 stars ,4 years ago,"I highly recommend this place. Good food, friendly atmosphere very reasonable prices. Great all round"
39,Restaurant Azmarino, 5 stars ,a year ago,Delicious and wonderful staff! Great banana beers 🍻
40,Restaurant Azmarino, 4 stars ,5 years ago,Nice place with friendly staff and excellent African plates. Don't miss the chocolate cake
41,Restaurant Azmarino, 5 stars ,5 years ago,"Great food and cozy place, people are real nice.
I recommend the banana beer"
42,Restaurant Azmarino, 4 stars ,3 years ago,"Really nice place to visit in Amsterdam. Away from the crowds, it has delicious dishes and beers."
43,Restaurant Azmarino, 5 stars ,5 years ago,"The food was delicious, and the service equally impeccable! A perfect 5/5, without question!"
44,Restaurant Azmarino, 5 stars ,4 years ago,"Friendy staff, really tasty food. I highly reccommend this restaurant."
45,Restaurant Azmarino, 5 stars ,4 years ago,"Friendly staff, great service, and very tasty food - all for a reasonable price!"
46,Restaurant Azmarino, 5 stars ,4 years ago,Wonderful couple that runs the place. The food is equally as wonderful. Neighborhood gem.
47,Restaurant Azmarino, 4 stars ,10 years ago,"Nice simple place, good food. If only the toilet seat would stay up"
48,Restaurant Azmarino, 5 stars ,7 years ago,"Super friendly staff, relaxed with tasty ass food not bad on the ol pocket either"
49,Restaurant Azmarino, 4 stars ,4 years ago,"Friendly staff, nice variety of food and good beer"
50,Restaurant Azmarino, 5 stars ,4 years ago,"Great staff, nice food, and very interesting experience."
51,Restaurant Azmarino, 5 stars ,11 years ago,Amazing food and excellent service. Simple and Good!
52,Restaurant Azmarino, 5 stars ,6 years ago,"best restaurant in amsterdam, we had a great time and a great meal"
53,Restaurant Azmarino, 5 stars ,5 years ago,Great african food for affordable prices with nice african beers
54,Restaurant Azmarino, 5 stars ,3 years ago,Great restaurant with a lovely owner !
55,Restaurant Azmarino, 4 stars ,5 years ago,"Good, inexpensive Ethiopian food."
56,Restaurant Azmarino, 5 stars ,5 years ago,Great Ethiopian food can be found here.
57,Restaurant Azmarino, 5 stars ,2 years ago,Great and delicious Food!
58,Restaurant Azmarino, 3 stars ,4 years ago,Walked all the way out to this place. It was closed. No further Information was provided
59,Restaurant Azmarino, 4 stars ,2 years ago,Food looks amazing
60,Restaurant Azmarino, 2 stars ,2 years ago,Terribly small samosas
61,Restaurant Azmarino, 4 stars ,3 years ago,Delicious
62,Restaurant Azmarino, 5 stars ,a month ago,"(Translated by Google) Delicious food. Spontaneous, cheerful fast service. The gentlemen give nice explanations about what you order and what the customs are. Highly recommended …"
63,Restaurant Azmarino, 5 stars ,2 years ago,(Translated by Google) Delicious eaten. We had the cook make a variety of dishes. Half vegetarian and half meat. Medium seasoned. We got a large bowl with anything and everything. You eat with your hands and a pancake of sourdough. …
64,Restaurant Azmarino, 5 stars ,4 years ago,"(Translated by Google) Coziness, bustle but still quiet.
Food is delicious, but the chocolate dessert is really divine! That fantastic taste .... home made ..... we will return, if only for that alone. …"
65,Restaurant Azmarino, 5 stars ,6 months ago,(Translated by Google) Delicious authentic and healthy food. Cozy space and friendly staff. Had a great evening. …
66,Restaurant Azmarino, 1 star ,2 weeks ago,"(Translated by Google) very tasty hebab pancake.

(Original)
hele lekker hebab pannekoek."
67,Restaurant Azmarino, 5 stars ,3 years ago,(Translated by Google) Delicious dishes I loved! And it stalls faster than you might think! …
68,Restaurant Azmarino, 4 stars ,5 years ago,"(Translated by Google) A nice African restaurant. Simple decor, but top service with a very sweet and grateful cook. The chef's specialty is definitely recommended: a plate with different kinds of meat dishes (also vegetarian) and you …"
69,Restaurant Azmarino, 5 stars ,3 years ago,(Translated by Google) Great every time !! Annemarie and Mek are having a party ...! …
70,Restaurant Azmarino, 5 stars ,4 years ago,(Translated by Google) Very good food in an informal atmosphere. Very good service that made us feel welcome. Qua East African restaurants in Amsterdam absolutely the best! …
71,Restaurant Azmarino, 5 stars ,6 years ago,"(Translated by Google) No frills restaurant: great food, pleasant service. Totally good for a good price. Come gladly. Especially increase the Ethiopian coffee! …"
72,Restaurant Azmarino, 5 stars ,a year ago,"(Translated by Google) Super good food and friendly staff, by far my favorite Ethiopian restaurant in Amsterdam. …"
73,Restaurant Azmarino, 5 stars ,3 years ago,"(Translated by Google) The food is SUPER delicious. The cook and the wait staff are
nice. REALLY A RECOMMENDED FOR EVERYONE. …"
74,Restaurant Azmarino, 5 stars ,2 years ago,(Translated by Google) African specialties and a marvelous gentleman who serves. I'm looking forward ma next time! …
75,Restaurant Azmarino, 4 stars ,6 years ago,(Translated by Google) Excellent value for money. Dishes can be combined. Many vega options. Recommended! …
76,Restaurant Azmarino, 3 stars ,4 years ago,"(Translated by Google) Fine food, but I don't like it enough to eat there again. …"
77,Restaurant Azmarino, 4 stars ,6 years ago,"(Translated by Google) Friendly service, no Amsterdam exaggerated pooh ha, nice kitchen and good price. …"
78,Restaurant Azmarino, 5 stars ,3 years ago,"(Translated by Google) Good food, nice owner and nice beer glasses 😉

(Original) …"
79,Restaurant Azmarino, 5 stars ,11 months ago,"(Translated by Google) Tasty African dishes.

(Original)
Lekkere Afrikaanse gerechten."
80,Restaurant Azmarino, 5 stars ,4 years ago,"(Translated by Google) Always very tasty and cozy!

(Original) …"
81,Restaurant Azmarino, 5 stars ,3 years ago,
82,Restaurant Azmarino, 4 stars ,2 years ago,"(Translated by Google) ㅌ 68 68 68 68 68 68 68 68 68
7748
66.9? 6.66666. …"
83,Restaurant Azmarino, 5 stars ,a month ago,
84,Restaurant Azmarino, 5 stars ,4 years ago,
85,Restaurant Azmarino, 5 stars ,3 years ago,
86,Restaurant Azmarino, 5 stars ,7 years ago,
87,Restaurant Azmarino, 4 stars ,2 years ago,
88,Restaurant Azmarino, 5 stars ,2 years ago,
89,Restaurant Azmarino, 3 stars ,5 years ago,
90,Restaurant Azmarino, 5 stars ,3 years ago,
91,Restaurant Azmarino, 5 stars ,2 years ago,
92,Restaurant Azmarino, 5 stars ,a year ago,
93,Restaurant Azmarino, 5 stars ,10 years ago,
94,Restaurant Azmarino, 5 stars ,8 years ago,
95,Restaurant Azmarino, 4 stars ,4 years ago,
96,Restaurant Azmarino, 4 stars ,3 years ago,
97,Restaurant Azmarino, 5 stars ,2 months ago,
98,Restaurant Azmarino, 5 stars ,2 months ago,
99,Restaurant Azmarino, 5 stars ,4 years ago,
100,Restaurant Azmarino, 5 stars ,3 years ago,
101,Restaurant Azmarino, 5 stars ,2 years ago,
102,Restaurant Azmarino, 5 stars ,5 months ago,
103,Restaurant Azmarino, 5 stars ,4 years ago,
104,Restaurant Azmarino, 5 stars ,7 months ago,
105,Restaurant Azmarino, 5 stars ,3 years ago,
106,Restaurant Azmarino, 5 stars ,2 years ago,
107,Restaurant Azmarino, 5 stars ,5 years ago,
108,Restaurant Azmarino, 5 stars ,2 years ago,
109,Restaurant Azmarino, 5 stars ,3 years ago,
110,Restaurant Azmarino, 4 stars ,2 years ago,
111,Restaurant Azmarino, 5 stars ,4 years ago,
112,Restaurant Azmarino, 4 stars ,3 years ago,
113,Restaurant Azmarino, 5 stars ,3 years ago,
114,Restaurant Azmarino, 4 stars ,2 years ago,
115,Restaurant Azmarino, 5 stars ,3 years ago,
116,Restaurant Azmarino, 5 stars ,4 years ago,
117,Restaurant Azmarino, 5 stars ,2 years ago,
118,Restaurant Azmarino, 5 stars ,a year ago,
119,Restaurant Azmarino, 5 stars ,3 years ago,
