,Name,Review Rate,Review Time,Review Text
0,Restaurant van Puffelen, 4 stars ,4 months ago,"Beautiful environment, the round table settings are ideal for group dining. The food is OK, though, not especially tasty, but the menu choices are good and varied."
1,Restaurant van Puffelen, 5 stars ,5 months ago,"We‘ve been several times to the Van Puffeln. One of the best restaurants in Amsterdam!
The atmosphere is amazing, really cozy. …"
2,Restaurant van Puffelen, 4 stars ,7 months ago,The staff were super nice and friendly. It is less a cafe though and more a restaurant. They had a small selection of teas and the cakes where basically 3 type of desserts.
3,Restaurant van Puffelen, 5 stars ,7 months ago,Very nice restaurant at the Prinsengracht. We were here for dinner. Very delicious!
4,Restaurant van Puffelen, 3 stars ,2 years ago,"Pretty restaurant that we have walked past and wanted to try. Overall it was good, not great. The service wasn’t the best. Friendly and helpful when they came by, but that was too infrequent. Things took longer than they should have, and …"
5,Restaurant van Puffelen, 1 star ,4 months ago,"As Dutch locals living in the area, we were curious about this place. Never been in there. Went for a quick afternoon drink. …"
6,Restaurant van Puffelen, 4 stars ,3 years ago,"Really nice place even if you visit it with a larger group of people. We had a three courses menu and apart from the steak (too dry, therefore only four stars) everything was super tasty. Service staff is very friendly and fast. …"
7,Restaurant van Puffelen, 2 stars ,5 months ago,"Service was OK, kinda slow.  If you're Dutch you get seated in the back of the restaurant where all the servers are with the best service.   If you're a tourist,  even with a reservation,  you'll get seated near the door and you'll wait …"
8,Restaurant van Puffelen, 5 stars ,5 months ago,"Beautiful location and restaurant / Cafe. There is seating up to and almost into the canal! I sat outside and did not go indoors, but it looked quite charming. A mix between old and new Amsterdam. Gezellig indeed. …"
9,Restaurant van Puffelen, 5 stars ,a year ago,Great food and friendly service.  We sat outside by the canal and it’s perfect to boat and people watching.  Very fresh ingredients and tasty dishes.
10,Restaurant van Puffelen, 4 stars ,a year ago,"I had a nice dinner at van Puffelen.
The meat quality was excellent.
The staff was really kind.
Thank you"
11,Restaurant van Puffelen, 3 stars ,a year ago,Service is pretty rude and arrogant. The view is very nice overlooking canals and bridges. The drunk were nice and pretty much good price quality ratio
12,Restaurant van Puffelen, 3 stars ,4 months ago,"Nice location, service as expected, good food- nothing spectacular, For the steaks I recommend to think about sous vide and better meat quality."
13,Restaurant van Puffelen, 1 star ,7 months ago,"I dont really like to place bad reviews online but this what not good at all!!!
First of all, the service was really but really slow.
Second of all, when finally me and my husband receives our meal, his food was …"
14,Restaurant van Puffelen, 5 stars ,5 months ago,"Great Food, nice sortiment of drinks, friendly waiters and a cozy atmosphere. Will come again…"
15,Restaurant van Puffelen, 1 star ,4 years ago,"I don't really like giving single star reviews, but when management consciously decides to offer a terrible service. It deserves this. The place was totally understaffed or overbooked. We had to wait an hour for our starter and another hour …"
16,Restaurant van Puffelen, 5 stars ,4 months ago,"The beef stew was excellent, as well as the service and the overall vibe. Many craft beers too."
17,Restaurant van Puffelen, 5 stars ,4 years ago,"Cozy and elegant place. You will find here menu with only three types of starter, main dishes and dessert. But each of them is really tasty. Ravioli with nuts are surprisingly nice and stake was amazing. Desserts are tasty too. We spent …"
18,Restaurant van Puffelen, 5 stars ,5 months ago,"Visited Amsterdam a few time and were eating at Van Puffelen everytime. Recommed 200% for good food, nice people and a cool location."
19,Restaurant van Puffelen, 5 stars ,a year ago,"Well it was a rainy day in Amsterdam so we were lucky to find a cozy place inside with a wonderful view on gracht through the large windows. As we came inside, the restaurant was quite empty, but soon there were lots of people - perhaps …"
20,Restaurant van Puffelen, 5 stars ,2 years ago,"Lovely place, great settings, good service and great food. Affordable prices on drinks, wine.
Can recommend it."
21,Restaurant van Puffelen, 5 stars ,3 years ago,Great location to watch boats and the world go by. Good quality drinks. Will be coming back to try their food..
22,Restaurant van Puffelen, 5 stars ,a year ago,"Great service, great food, great atmosphere. Thanks for making our day even more special. Highly recommend. They have a nice private area where you can celebrate any special event."
23,Restaurant van Puffelen, 2 stars ,4 months ago,"Got the order wrong. Then when asked to correct it, they made it seem like I asked for something different."
24,Restaurant van Puffelen, 5 stars ,2 years ago,"Sensacional place. Good food, interesting decoration and very polite waiters. Food is very good and the price is fair."
25,Restaurant van Puffelen, 4 stars ,3 years ago,"To be honest, food is plain fare, but reliably tasty. But it's atmosphere! It's the place for celebrations with three generations, and full of happy memories. A great place to go with kids and grandparents, or a group of friends or colleagues, not so much a romantic dinner for two."
26,Restaurant van Puffelen, 5 stars ,3 years ago,"This is a great place with fantastic food.  It is like two separate places with a casual bar with cafe food on one side and finer dining on the other. Great beers and drinks. We ate on the restaurant side and had salmon, steak and venison dishes. All very good. The bread and thai pumpkin soup were also excellent."
27,Restaurant van Puffelen, 5 stars ,3 years ago,"The atmosphere was great and the food the best of the best. The starter - carpaccio was delicious and light, the steak was on point, the dessert could have been more interesting, it was just a simple brownie with ice cream, but still very …"
28,Restaurant van Puffelen, 4 stars ,2 years ago,"Van Puffelen originally started its life as a typical Amsterdam brown cafe, but expanded over the years into two monument buildings and now incorporates a restaurant. …"
