,Name,Review Rate,Review Time,Review Text
0,Ristorante Italiano Gustatio, 5 stars ,a month ago,"Atmosphere: 5/5
Cozy and intimate dining room with about 10 tables. The atmosphere is unassuming, serving as the perfect backdrop for a superb meal …"
1,Ristorante Italiano Gustatio, 5 stars ,7 months ago,This place never disappoints! Me and my husband ate here like 2 weeks ago and the food was as always beyond delicious.. the owner recommended us a wine that went perfectly with my dish… and I haven’t even get to dessert which was amaaziing! …
2,Ristorante Italiano Gustatio, 5 stars ,3 months ago,"Nice place, food very tasty.
As Italian I really recommend this place!
The waitress was nice and friendly.
We will come back asap :)"
3,Ristorante Italiano Gustatio, 5 stars ,4 months ago,"The best carbonara that I've eaten in the Netherlands. They have a short cart, but the food is really good, with high quality and truly italian."
4,Ristorante Italiano Gustatio, 5 stars ,a month ago,"The food is really nice, a lot of different Italian pastas to choose from. The service was perfect, it was my boyfriend’s birthday and they even put a candle in the dessert, super lovely. I would recommend for a special occasion, make sure to reserve as the restaurant is quite small."
5,Ristorante Italiano Gustatio, 5 stars ,7 months ago,"We literally enjoyed every single moment of being in your restaurant- we were being served by a lovely, friendly and funny Italian girl, we just could feel the touch of Italy in the heart of Groningen! The food was amazing ! We are craving for more, see you soon😍
Ciao ciao 😘😘😘"
6,Ristorante Italiano Gustatio, 5 stars ,5 months ago,"Being Italian, I can say that Gustatio is a real Italian restaurant, we went there with our little daughter and they perfectly followed our requests, she definitely enjoyed her pasta al pesto at the fullest. …"
7,Ristorante Italiano Gustatio, 5 stars ,4 months ago,Spaghetti di mare was exactly how I wish and the rest also was delicious! I wasn't expecting to see full on a monday night but it was! Definitely will go there again
8,Ristorante Italiano Gustatio, 5 stars ,a month ago,"Might be my favorite place on Earth. The food is amazing, staff super friendly and they will happily talk to you to explain anything about the food! I always order something different when I come here and I’m truly never disappointed. …"
9,Ristorante Italiano Gustatio, 1 star ,2 weeks ago,"VERY DISAPPOINTED!!

4 years Michelin Guide …"
10,Ristorante Italiano Gustatio, 2 stars ,4 months ago,"Got food for takeaway and felt insanely scammed. The pasta was cold, the serving size was laughable, the taste was nothing special and the worst is thing was that i payed 13€ for that. While eating there might be a pleasant experience, …"
11,Ristorante Italiano Gustatio, 5 stars ,6 months ago,Great Italian place which I truly recommend! Amazing food and great staff! Little Italy in Groningen! 🇮🇹🇮🇹🇮🇹
12,Ristorante Italiano Gustatio, 5 stars ,8 months ago,"The service is really good and damn everything is so delicious!
Even this tiramisu!! It’s so good!! Definitely an authentic Italian restaurant in Groningen."
13,Ristorante Italiano Gustatio, 5 stars ,4 months ago,Amazing and authentic Italian restaurant with great dishes as well as good service and a good atmosphere
14,Ristorante Italiano Gustatio, 5 stars ,5 months ago,"Real, original, Italian cuisine with excellent Italian quality food. We ate an awesome pasta with Prosecco
Both restaurant responsible and staff are at the same time very kind and …"
