,Name,Review Rate,Review Time,Review Text
0,Ristorante Italiano Piccolo Mondo, 2 stars ,a month ago,waitress was very nice but the food was not. steak was undercooked badly and made me sick. chef may have just had a bad night but the creative choices put into each plate was overwhelming to look at.
1,Ristorante Italiano Piccolo Mondo, 5 stars ,4 months ago,"Absolutely wonderful, let me start by saying that my to-go order had freshly grated parm!!  From Veronica making deliciously dangerous drinks and great conversationalist,  to Roland, the attentive and kind manager.  Thank you for the …"
2,Ristorante Italiano Piccolo Mondo, 5 stars ,a year ago,Probably the best artichoke hearts I’ve ever had. The service and the food were excellent! This place is family owned and run and their giving their best!
3,Ristorante Italiano Piccolo Mondo, 5 stars ,6 months ago,"Amazing restaurant next door to Maddaloni Jewelers! They have 2 dishes that are always great here ""Chicken Piccolo"" and Their ""Salmon Marsala"" Dish with the potatoes cooked with shrimp and purple sauce your pour over the mix. well seasoned and great food and drinks. Always consistent and recommended"
4,Ristorante Italiano Piccolo Mondo, 3 stars ,a month ago,Went there for Valentine's Day Was a little disappointed. No special menu I had the bronnize And vegetables was way too oily didn't even finish it throughout the  Left over.
5,Ristorante Italiano Piccolo Mondo, 5 stars ,6 months ago,Have never had a bad meal here and I keep coming back for more.   Roland the owner is very hands on and takes personal pride and it shows.  He wants all of his customers to be satisfied with every aspect of the restaurant experience.   I have recommended this place to many and haven't heard a complaint.
6,Ristorante Italiano Piccolo Mondo, 5 stars ,10 months ago,Nice Italian restaurant with decent food and silent environment. Definitely worth a try.
7,Ristorante Italiano Piccolo Mondo, 5 stars ,3 months ago,"Absolutely incredible food and drinks . This is my go to spot. Mussels are incredible, they are in a sweet chili broth made with San marzano tomato, pancetta, onions and fresh herbs. The baked clams , short rib meatballs for second course , and lastly the stuffed Veal Chop Valdastona. Done . Always amazing . This is a must go to ."
8,Ristorante Italiano Piccolo Mondo, 5 stars ,a month ago,"Double cut pork chop always delivers. Artichoke app is unreal, and I don't care for artichokes."
9,Ristorante Italiano Piccolo Mondo, 4 stars ,5 months ago,"Alex, wonderful server. Food was really good but, kitchen was running extremely late on getting the orders out. Dessert should have been on them!"
10,Ristorante Italiano Piccolo Mondo, 5 stars ,2 years ago,One dish was better than the next. The parpadel bolonase was the best I've ever tasted. It was a hard dish to follow however the seared scallops with risotto was ridiculous as was the chicken picolo mundo. Highly recommended.
11,Ristorante Italiano Piccolo Mondo, 5 stars ,10 months ago,"The only thing better than the service was the food. Our waiter Alex was attentive, polite and timed the serving of every part of our dinner from appetizers to dessert.  The cocktail, The Messenger, was fantastic.  We will be coming back with friends in the near future."
