,Name,Review Rate,Review Time,Review Text
0,Roberto's Restaurant, 4 stars ,2 weeks ago,"Way too expensive but I loved it anyways.
The dining staff was over professional which made it worth it. I felt like I was in a modern Avanti movie restaurant including the perfect italian accent. Only …"
1,Roberto's Restaurant, 4 stars ,2 years ago,"Soup is a little bit salty. If adding some chips of bread on it, it could be better. The lamb smells good and tasty. The waiter service is good."
2,Roberto's Restaurant, 5 stars ,a month ago,"They deserve the Scudetto!!
Amazing place, excellent food & service. Happiness guaranteed."
3,Roberto's Restaurant, 3 stars ,2 years ago,"Food was very nice , but the service was confusing, uncoordinated, and at times absent. Given that the restaurant was mostly empty, that’s unnecessary."
4,Roberto's Restaurant, 4 stars ,4 years ago,"Very good service! The place has a good atmosphere and is well designed. The food however wasn't spectacular. We went for brunch, the fried fish with salsa Verde was very nice together with the other appetizers there where 2 pastas served, …"
5,Roberto's Restaurant, 3 stars ,2 years ago,"A decent traditional, authentic Italian restaurant. Highly professional staff. There is nothing wrong with the restaurant. But compared to the current offering of restaurants in Amsterdam,  also nothing that makes it memorable enough to justify the high price."
6,Roberto's Restaurant, 2 stars ,3 years ago,"Ordered the chicken with a side of spinach, both very very salty, so they made me the pasta which a bit better because it was basically dipped in butter. They still charged me for the chicken and side dish. Had to go to straight up to my hotel room and clean my teeth and i might clean them again. At least the waiter was nice."
7,Roberto's Restaurant, 5 stars ,8 years ago,I had never imagined that I'll find such a great Italian restaurant in the Netherlands and of course not in a hotel! However Roberto's is quite popular and for a reason - the pasta was nicely cooked and the wine selection - exceptional. I should also mention the charming interior - truly elegant and in European style.
8,Roberto's Restaurant, 4 stars ,2 years ago,"Nice Italian food.
The lobster was awesome."
9,Roberto's Restaurant, 3 stars ,9 years ago,"Nice restaurant, good decor.

Food is very good, traditional Italian dishes which are quite refined. The …"
10,Roberto's Restaurant, 5 stars ,4 years ago,Pasta the first night and beef fillet the second. Service was immaculately professional and food delectable. I do not easily rate 5 stars but this place truely deserves it.
11,Roberto's Restaurant, 5 stars ,3 years ago,"It was good to be there ..they treat us very good ,the birsteca fiorentina was amazing! We celebrate our 6 year wedding anniversary and yes succeed!!!!"
12,Roberto's Restaurant, 4 stars ,a year ago,"Always a treat to have diner here! The food is so good, the wines even better and the staff is absolute top!"
13,Roberto's Restaurant, 4 stars ,2 years ago,Good restaurant with very good food and professional staff. For the prices I would except a little bit more classy atmosphere
14,Roberto's Restaurant, 5 stars ,3 years ago,Surprisingly good. Top shelf food. Elegant atmosphere and service.  Nice wines. Reasonably priced.
15,Roberto's Restaurant, 5 stars ,3 years ago,"Amazing food, beautiful decorations and very friendly staff. The best expierence I've ever had."
16,Roberto's Restaurant, 5 stars ,a year ago,One of the best Italian restaurants in the Netherlands. Bit pricy but quality is amazing
17,Roberto's Restaurant, 5 stars ,3 years ago,"Great taste, great service"
18,Roberto's Restaurant, 5 stars ,3 years ago,Traditional Italian restaurant. Perfect for business and family meetings. Amazing service and great wines.
19,Roberto's Restaurant, 5 stars ,2 years ago,"We went for sunday lunch, amazing food and great service. We will definitely come back here again!.."
20,Roberto's Restaurant, 5 stars ,4 years ago,"One of the very best restaurants I've every been to, food was Michelin star quality staff are very attentive and knowledgeable about the food and drink well worth a visit if your in Amsterdam!!!!"
21,Roberto's Restaurant, 5 stars ,3 years ago,Great atmosphere and food. Friendly waiter and waitress. Highly recommended!!! :)
22,Roberto's Restaurant, 5 stars ,5 years ago,Wonderful servers and the food is delicious. Warm and cozy feeling.
23,Roberto's Restaurant, 5 stars ,4 years ago,"Good Italian food, go for both primi and secondi as the plates are quite small."
24,Roberto's Restaurant, 4 stars ,a year ago,Nice Italian with cozy atomosphere. Staff are friendly.
25,Roberto's Restaurant, 4 stars ,3 years ago,Lovely staff.. Great food.. Very nice 👌
26,Roberto's Restaurant, 4 stars ,2 years ago,Great breakfast. Wonderful service.
27,Roberto's Restaurant, 2 stars ,3 years ago,Expensive and small portions!! Meat was bland.
28,Roberto's Restaurant, 3 stars ,4 years ago,Food and service are good but overpriced.
29,Roberto's Restaurant, 5 stars ,4 years ago,Best restaurant on Amsterdam.
30,Roberto's Restaurant, 5 stars ,a year ago,Top
31,Roberto's Restaurant, 4 stars ,2 years ago,Good Italian food
32,Roberto's Restaurant, 5 stars ,3 years ago,Good food!
33,Roberto's Restaurant, 5 stars ,3 years ago,Perfect
34,Roberto's Restaurant, 5 stars ,2 months ago,"(Translated by Google) A beautiful and stylish restaurant with very nice and attentive staff.
The food was very delicious and our special requests were dealt with …"
35,Roberto's Restaurant, 5 stars ,a month ago,"(Translated by Google) was on our list for years, expectations have come true!

(Original) …"
36,Roberto's Restaurant, 5 stars ,2 years ago,(Translated by Google) Roberto's Italian restaurant / Hilton Amsterdam. Highly recommended. Price / quality perfect. Neat service. …
37,Roberto's Restaurant, 5 stars ,a year ago,"(Translated by Google) Dear people,

We have been a guest of Roberto's Restaurant several times with a fixed group of …"
38,Roberto's Restaurant, 4 stars ,3 years ago,"(Translated by Google) Elegant Italian restaurant located in the Hilton hotel. Very attentive service with 'own' host or hostess who keeps a close eye on the company when it comes to pouring, clearing, etc. This creates a somewhat formal …"
39,Roberto's Restaurant, 3 stars ,3 years ago,"(Translated by Google) Invited by Manlio Velli (Vino e Olio) for a press lunch, nice. The theme was “discovering the Campania stitch” starring chef Pasquale Vitale (Ristorante Pascalo) and wine producer Milena Pepe (Tenuta Cavalier Pepe). …"
40,Roberto's Restaurant, 5 stars ,2 years ago,"(Translated by Google) With the return of Davide Biginelli and Franz Conde, the kitchen is top notch again. The antipasti were unbeatable and the risotto with king prawn was also of superior quality. …"
41,Roberto's Restaurant, 3 stars ,3 years ago,(Translated by Google) It is a pity that when booking in this birthday year you will only be told upon arrival that the promised present as stated on the website will not be received. …
