,Name,Review Rate,Review Time,Review Text
0,Rooie Nelis, 4 stars ,4 years ago,"This is a lovely, hidden gem of a bar with a story behind it that I'll not ruin by putting it on here. When you enter, it's obvious that it's a special place with glamorous photos of the owners, quirky decor and traditional Dutch songs on a loop. Well worth a visit."
1,Rooie Nelis, 4 stars ,7 years ago,Tiny old traditional Jordaan bar where music and beer reign supreme. Decked out in glorious Dutch kitsch with every surface of the bar is covered in photographs of glorious moments from its past. The focal point is a letter by the queen thanking the owners for their hospitality...
2,Rooie Nelis, 5 stars ,4 years ago,"Nice somewhat small original ""Jordaan"" café.
The Jordaan is one of Amsterdam's places where in the past workers would live. They had a specific social community and their own way of life in this area. Even …"
3,Rooie Nelis, 5 stars ,3 years ago,"A typical bar in Amsterdam, with the original owners, aged 900, at the counter. Well worth a visit!"
4,Rooie Nelis, 3 stars ,2 years ago,"Old Amsterdam café, like it was in the old time. Personel is helpfull and friendly"
5,Rooie Nelis, 5 stars ,4 years ago,This is a place you don't want to miss when in Amsterdam. The queen of Jordaan still appears!
6,Rooie Nelis, 5 stars ,3 years ago,Lovely beer and lovely atmosphere! Highly recommended.
7,Rooie Nelis, 5 stars ,4 years ago,"Warm, welcoming, you can get real comfortable here!"
8,Rooie Nelis, 5 stars ,5 years ago,"Super kitschy, great music, very beautiful."
9,Rooie Nelis, 1 star ,2 years ago,This is a bar for old white Dutch guys.
10,Rooie Nelis, 5 stars ,3 years ago,One of the best bars in Amsterdam!
11,Rooie Nelis, 5 stars ,4 years ago,Love this place. Don’t skip it.
12,Rooie Nelis, 1 star ,5 years ago,Bunch of Unfriendly people.
13,Rooie Nelis, 5 stars ,2 years ago,top
14,Rooie Nelis, 5 stars ,3 years ago,Super
15,Rooie Nelis, 5 stars ,5 years ago,Cult
16,Rooie Nelis, 1 star ,3 years ago,(Translated by Google) It was fun until a comrade dropped his phone. Then the owner said we were kicking the bar. Which was not the case. We were just kicked out of the bar because you misinterpreted the sound! time for a new generation of …
17,Rooie Nelis, 1 star ,4 years ago,(Translated by Google) The barmeer has had his best time. He got angry when someone accidentally hit his arm against a picture frame when he wanted to take his glucose meter out of his bag. If there was any further reason I can imagine …
18,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) What a great pub with history and a wonderful atmosphere. Nice music and the bar owner, class. Nice and Amsterdam and clearly hahahaha. Love to drink a few delicious beers with the men here every year! …"
19,Rooie Nelis, 5 stars ,2 years ago,(Translated by Google) Really forget everything here.Gerrit and Fam. thank you very much for the great afternoon.Proost !! …
20,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) Typical Jordanian bar, worth a visit!

(Original) …"
21,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) Very nice pub! Was there with a friend of mine, and it was a lot of fun with a gentleman with an accordion, who all played different songs, mostly Dutch songs. …"
22,Rooie Nelis, 5 stars ,3 years ago,(Translated by Google) Very nice Jordanian pub with lots of memories on the wall. It was quieter when I was there and the manager had some nice stories about the pub. Received a sticker afterwards 😆 …
23,Rooie Nelis, 5 stars ,4 years ago,(Translated by Google) Wanted and found 😊 A cozy café in the Jordaan. Would love to come back for a delicious beer / drink😃 Greetings de Franekers …
24,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) My birth street, born next door to the bar. Still nice old-fashioned Amsterdam bar with honest Jordanian knives. …"
25,Rooie Nelis, 1 star ,3 years ago,(Translated by Google) Nice historical tent only I had to pay 20.25 for 4 beers and a baco. A little too much? …
26,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) Having been back another 25 years.
Still the most beautiful brown pub in the Jordaan .... …"
27,Rooie Nelis, 5 stars ,2 years ago,(Translated by Google) Great degree of nostalgia. I met my first visit 30 years ago and haven't changed anything in the cafe. 👍👍👍 …
28,Rooie Nelis, 5 stars ,6 years ago,"(Translated by Google) Like a cafe should be.
Gerrit and Sien are also two treasures !!
See you soon again ..... Die Boschenaar😉 …"
29,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) This is really a fantastic pub. Cosiness, cold beer, real Jordanian music. …"
30,Rooie Nelis, 5 stars ,3 years ago,(Translated by Google) Typical café in the Jordaan where conviviality has no time. …
31,Rooie Nelis, 4 stars ,3 years ago,"(Translated by Google) Is a super nostalgic Jordanian cafe
Nice service, recommended
Hazes cafe❤❤❤🍻🍻🍻 …"
32,Rooie Nelis, 5 stars ,5 years ago,"(Translated by Google) Legendary. (A requirement: switch button, hossen, mix with the company and have fun) …"
33,Rooie Nelis, 5 stars ,5 years ago,"(Translated by Google) Authentic Jordaan café, very cozy, relaxed sitting at the bar. …"
34,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Top tent

(Original)
Top tent"
35,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Very hospitable. Cozy pub with nice music!

(Original) …"
36,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Nice cozy cafe. Good innkeeper

(Original) …"
37,Rooie Nelis, 2 stars ,4 years ago,"(Translated by Google) No ""Jordanian"" atmosphere when visiting from outsiders

(Original) …"
38,Rooie Nelis, 3 stars ,3 years ago,"(Translated by Google) Too bad he went close next time better

(Original) …"
39,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Really amazing! Fantastic atmosphere

(Original) …"
40,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) Ancient and real Jordanian cafe

(Original)
Oeroud en echt Jordaans café"
41,Rooie Nelis, 5 stars ,5 years ago,"(Translated by Google) Always nice, good beer! #echtamsterdsms

(Original) …"
42,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Cozy cafe. friendly service

(Original) …"
43,Rooie Nelis, 4 stars ,3 years ago,"(Translated by Google) Nice cafe, very cozy

(Original)
Leuk cafe, zeer gezellig"
44,Rooie Nelis, 4 stars ,2 years ago,"(Translated by Google) Very gezelig had on King's

(Original) …"
45,Rooie Nelis, 5 stars ,6 years ago,"(Translated by Google) Feels like coming home while we live in braband

(Original) …"
46,Rooie Nelis, 4 stars ,3 years ago,"(Translated by Google) Cozy cafe nice owners

(Original) …"
47,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) Delicious, relaxed, enjoyment ..

(Original) …"
48,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Super cozy pub!

(Original)
Super gezellig kroegje!"
49,Rooie Nelis, 4 stars ,3 years ago,"(Translated by Google) Always cosy. Top

(Original)
Altijd gezellig. Top"
50,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) Best cafe in the Jordaan Amsterdam

(Original) …"
51,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) Always super fun

(Original)
Altijd super gezellig"
52,Rooie Nelis, 5 stars ,6 years ago,"(Translated by Google) It can't be any more cozy and authentic

(Original) …"
53,Rooie Nelis, 5 stars ,5 years ago,"(Translated by Google) Genuine Jordanian brown cafe

(Original)
Echt Jordaans bruin café"
54,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Top cafe!

(Original)
Top café!"
55,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) Beautifully beautiful cafe

(Original)
Prachtig mooi café"
56,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Real Amsterdam cafe

(Original)
Echt Amsterdams café"
57,Rooie Nelis, 5 stars ,3 years ago,
58,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Historic Jordanian cafe

(Original)
Historisch Jordaans café"
59,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Cozy!

(Original)
Gezellig!"
60,Rooie Nelis, 4 stars ,3 years ago,"(Translated by Google) Nice jordanian cafe

(Original)
Mooi jordanees café"
61,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Was TOP as always

(Original)
Was TOP zoals altijd"
62,Rooie Nelis, 5 stars ,2 years ago,"(Translated by Google) sentiment the Jordaan in Amsterdam

(Original) …"
63,Rooie Nelis, 3 stars ,2 years ago,"(Translated by Google) Very cosy

(Original)
Heel gezellig"
64,Rooie Nelis, 5 stars ,8 years ago,"(Translated by Google) It doesn't get any nicer than this

(Original) …"
65,Rooie Nelis, 5 stars ,3 years ago,
66,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Cozy

(Original)
Gezellig"
67,Rooie Nelis, 5 stars ,4 years ago,"(Translated by Google) Most beautiful tent in Amsterdam

(Original)
Mooiste tent van Amsterdam"
68,Rooie Nelis, 1 star ,4 years ago,"(Translated by Google) Too old round

(Original)
Te oud bollig"
69,Rooie Nelis, 5 stars ,5 years ago,"(Translated by Google) Cosiness!

(Original)
Gezelligheid!"
70,Rooie Nelis, 5 stars ,3 years ago,"(Translated by Google) Top top top top

(Original)
Top top top top"
71,Rooie Nelis, 5 stars ,2 years ago,
72,Rooie Nelis, 5 stars ,2 years ago,
73,Rooie Nelis, 4 stars ,5 years ago,
74,Rooie Nelis, 3 stars ,7 years ago,
75,Rooie Nelis, 1 star ,3 years ago,
76,Rooie Nelis, 3 stars ,2 years ago,
77,Rooie Nelis, 5 stars ,3 years ago,
78,Rooie Nelis, 4 stars ,4 years ago,
79,Rooie Nelis, 5 stars ,4 years ago,
80,Rooie Nelis, 3 stars ,2 years ago,
81,Rooie Nelis, 5 stars ,3 years ago,
82,Rooie Nelis, 5 stars ,4 years ago,
83,Rooie Nelis, 5 stars ,4 years ago,
84,Rooie Nelis, 4 stars ,2 years ago,
85,Rooie Nelis, 5 stars ,3 years ago,
86,Rooie Nelis, 4 stars ,4 years ago,
87,Rooie Nelis, 3 stars ,5 years ago,
88,Rooie Nelis, 5 stars ,4 years ago,
89,Rooie Nelis, 5 stars ,4 years ago,
90,Rooie Nelis, 5 stars ,3 years ago,
91,Rooie Nelis, 5 stars ,4 years ago,
92,Rooie Nelis, 4 stars ,3 years ago,
93,Rooie Nelis, 5 stars ,2 years ago,
94,Rooie Nelis, 3 stars ,3 years ago,
95,Rooie Nelis, 5 stars ,2 years ago,
96,Rooie Nelis, 4 stars ,5 years ago,
97,Rooie Nelis, 5 stars ,4 years ago,
98,Rooie Nelis, 4 stars ,4 years ago,
99,Rooie Nelis, 5 stars ,4 years ago,
100,Rooie Nelis, 5 stars ,2 years ago,
101,Rooie Nelis, 5 stars ,3 years ago,
102,Rooie Nelis, 5 stars ,3 years ago,
103,Rooie Nelis, 3 stars ,3 years ago,
104,Rooie Nelis, 5 stars ,2 years ago,
105,Rooie Nelis, 5 stars ,2 years ago,
106,Rooie Nelis, 5 stars ,4 years ago,
107,Rooie Nelis, 4 stars ,3 years ago,
108,Rooie Nelis, 5 stars ,3 years ago,
109,Rooie Nelis, 4 stars ,4 years ago,
110,Rooie Nelis, 5 stars ,3 years ago,
111,Rooie Nelis, 3 stars ,4 years ago,
112,Rooie Nelis, 5 stars ,3 years ago,
113,Rooie Nelis, 5 stars ,3 years ago,
114,Rooie Nelis, 4 stars ,4 years ago,
115,Rooie Nelis, 5 stars ,3 years ago,
116,Rooie Nelis, 1 star ,4 years ago,
117,Rooie Nelis, 4 stars ,4 years ago,
118,Rooie Nelis, 4 stars ,4 years ago,
119,Rooie Nelis, 4 stars ,3 years ago,
120,Rooie Nelis, 5 stars ,3 years ago,
121,Rooie Nelis, 4 stars ,3 years ago,
122,Rooie Nelis, 4 stars ,2 years ago,
123,Rooie Nelis, 5 stars ,3 years ago,
124,Rooie Nelis, 5 stars ,4 years ago,
125,Rooie Nelis, 5 stars ,2 years ago,
126,Rooie Nelis, 5 stars ,3 years ago,
127,Rooie Nelis, 5 stars ,3 years ago,
128,Rooie Nelis, 5 stars ,2 years ago,
129,Rooie Nelis, 3 stars ,3 years ago,
130,Rooie Nelis, 2 stars ,4 years ago,
131,Rooie Nelis, 5 stars ,3 years ago,
132,Rooie Nelis, 5 stars ,3 years ago,
133,Rooie Nelis, 5 stars ,3 years ago,
134,Rooie Nelis, 5 stars ,3 years ago,
135,Rooie Nelis, 5 stars ,5 years ago,
136,Rooie Nelis, 5 stars ,4 years ago,
137,Rooie Nelis, 5 stars ,3 years ago,
138,Rooie Nelis, 4 stars ,3 years ago,
139,Rooie Nelis, 3 stars ,4 years ago,
